"NO","CASE TYPES","USER GROUPING_NEW","USER GROUPING_OLD","SEGMENT","PRODUCT","SUB PRODUCT","CASE CATEGORY","CASE DESCRIPTION","NEW CASE DESCRIPTION","REQUIRED SUB-DESCRIPTION","SUB","DOC INTAKE","LIST KEBUTUHAN DOKUMEN","SUGGESTION","SUGGESTION - BREAKDOWN","LEVEL OF EFFORT","RANGE OF DAYS 
(ACTUAL SLA)","ACTUAL SLA
(DAYS)","TARGET SLA 
(DAYS)","BRI NOTES","TEAM NAME","T1 - AGENT CCT/FRONTLINER","T2.1 - SUPPORTING UNIT","T2.2 - SUPPORTING UNIT","T2.3 - SUPPORTING UNIT","T3.1 - PRODUCT OWNER","T3.2 - PRODUCT OWNER","T3.3 - PRODUCT OWNER","T4.1 - TECHNICAL TEAM","T4.2 - TECHNICAL TEAM","T4.3 - TECHNICAL TEAM","T5.1 - THIRD PARTY","T5.2 - THIRD PARTY","T5.3 - THIRD PARTY","TOTAL SLA","NEW SLA","STATUS","GIC","MAKER","CHECKER","SIGNER","COURTESY AWAL","KEBUTUHAN DATA","JENIS PRODUK DAN ATAU LAYANAN LKPBU","KATEGORI PERMASALAHAN LKPBU","JENIS TRANSAKSI LKPBU","PENYEBAB PENGADUAN LKPBU","JENIS PRODUK LBUT","SANDI JENIS  PRODUK LBUT","SEBAB PENGADUAN LBUT","SANDI PENYEBAB LBUT","ACTIVE","EXTERNAL_ID","ERROR"
"158","8206","Resolution Center","Service & Contact Center - CCT","UMKM","Loans","KUR","Third Party Support","Bantuan bagi Pelaku Usaha Mikro / BPUM","","0","Yes","No","No","Move to Resolution Center","","Medium","6 ~ 10","9","0","Proposed to delete","","1","","","","","","","","","","","","","1","0","","LCC-CCTNIK","","","","","","","","","","","","","","FALSE","8206","Product: bad value for restricted picklist field: KUR"
"160","8208","Resolution Center","Service & Contact Center - CCT","Individu Umum","Savings","Debit Card","Complaint - Non-Transaction","Cleansing kartu Debit menjadi Ber Chip","","1","Yes","No","No","Move to Resolution Center","Move to CCT","Very Low","0 ~ 2","0","0","Proposed to delete","","1","","","","","","","","","","","","","1","0","","LCC-CCTCALL","","","","","","","","","","","","","","FALSE","8208","Product: bad value for restricted picklist field: Debit Card"
"163","8219","Resolution Center","Service & Contact Center - CCT","Individu Umum","Savings","Debit Card","Complaint - Non-Transaction","Transaksi Dengan Debit Card Ditolak","","0","Yes","No","No","Move to Resolution Center","","Low","3 ~ 5","4","0","Proposed to delete","","1","","","","","","","","","","","","","1","0","","LCC-CCTCALL","","","","","","","","","","","","","","FALSE","8219","Product: bad value for restricted picklist field: Debit Card"
"170","8402","Resolution Center","Service & Contact Center - CCT","Individu Umum","Savings","Debit Card","Complaint - Non-Transaction","Kartu ATM Selalu Gagal Apabila Digunakan Transaksi","","0","Yes","No","No","Move to Resolution Center","","Very Low","0 ~ 2","1","0","Proposed to delete","","1","","","","","","","","","","","","","1","0","","RPT-MCH","","","","","","","","","","","","","","FALSE","8402","Product: bad value for restricted picklist field: Debit Card"
"181","8417","Resolution Center","Service & Contact Center - NFT","Individu Umum","Savings","Debit Card","Inquiry","Nasabah Bank Lain Terdebet di ATM BRI (duplikasi dengan call type 8420)","","0","Yes","No","No","Move to Resolution Center","Stay in NFT","Extremely High","21 ~ 70","26","0","Proposed to delete","","1","","","","","","","","","","","","","1","0","","LCC-CCTCALL","","","","","","","","","","","","","","FALSE","8417","Product: bad value for restricted picklist field: Debit Card"
"185","8421","Resolution Center","Service & Contact Center - CRS","All","All","All","Complaint - Non-Transaction","Tidak Bisa Melakukan Registrasi Layanan yang Ada di BRI","","0","Yes","No","No","Move to Resolution Center","","Very Low","0 ~ 2","1","3","Proposed to delete","","1","","","","","","","","","","","","","1","0","","LCC-CCTCALL","","","","","","","","","","","","","","FALSE","8421","Customer Segment: bad value for restricted picklist field: All"
"200","8444","Resolution Center","Service & Contact Center - CRS","All","Savings, Transaction Banking","Tabungan, Cash Management, Payment Solutions, Mobile Banking, Internet Banking","Third Party Support","Nasabah Bank Lain / Merchant Salah Transfer ke BRI","Nasabah Bank Lain Mengajukan Pengembalian Dana (Refund) akibat Salah Transfer ke BRI","0","Yes","No","No","Move to Resolution Center","","Very Low","0 ~ 2","0","10","Proposed to delete","T2.1 - CRS, T2.2 - Branch, T3.1 - NFT","1","1","1","","3","","","","","","","","","6","5","","LCC-CRC","","","","","","","","","","","","","","FALSE","8444","Customer Segment: bad value for restricted picklist field: All"
"203","8504","Resolution Center","Service & Contact Center - CCT","Individu Umum","Savings","Debit Card","Inquiry","Kartu ATM Rusak","","0","Yes","No","No","Move to Resolution Center","","Very Low","0 ~ 2","0","0","Proposed to Delete, masukan ke sub desc 8208","","1","","","","","","","","","","","","","1","0","","LCC-CCTCALL","","","","","","","","","","","","","","FALSE","8504","Product: bad value for restricted picklist field: Debit Card"
"207","8601","Resolution Center","Service & Contact Center - CRS","Individu Umum","Savings","Internet Banking","Platform & Device Support","Internet Banking ( sunset channel)","","0","Yes","No","No","Move to Resolution Center","","Very Low","0 ~ 2","0","0","Proposed to delete","","1","","","","","","","","","","","","","1","0","","LCC-CRC","","","","","","","","","","","","","","FALSE","8601","bad value for restricted picklist field: Internet Banking"
"212","8611","Resolution Center","Service & Contact Center - CCT","UMKM","Merchant Solutions","Payment Solutions","Request","Pengkinian Data Merchant","","0","Yes","No","No","Move to Resolution Center","","Very Low","0 ~ 2","0","1","Proposed to delete","","1","","","","","","","","","","","","","1","0","","LCC-CCTCALL","","","","","","","","","","","","","","FALSE","8611","bad value for restricted picklist field: Merchant Solutions"
"218","8617","Resolution Center","Funding & Retail Payment","UMKM","Merchant Solutions","Payment Solutions","Request","Merchant - Perangkat - Permintaan dokumen transaksi ke merchant","","0","Yes","No","No","Move to Resolution Center","","Extremely High","21 ~ 70","50","2","Proposed to delete","T2.1 - FST","1","2","","","","","","","","","","","","3","2","","RPT-MIM","","","","","","","","","","","","","","FALSE","8617","bad value for restricted picklist field: Merchant Solutions"
"230","8629","Resolution Center","Service & Contact Center - CCT","UMKM","Merchant Solutions","Payment Solutions","Complaint - Transaction","Merchant - Transaksi KK BRI/Kartu bank lain - Refund double posting (kendala system)","","0","Yes","No","No","Move to Resolution Center","","Very High","16 ~ 20","16","2","Proposed to delete","T2.1 - FST","1","5","","","","","","","","","","","","6","5","","RPT-MCO","","","","","","","","","","","","","","FALSE","8629","bad value for restricted picklist field: Merchant Solutions"
"237","8703","Resolution Center","Service & Contact Center - CCT","Individu Umum","Savings","Debit Card","Request","Enable / Disable Kartu ATM (kartu debit)","","0","Yes","No","No","Move to Resolution Center","","Very Low","0 ~ 2","0","0","Proposed to delete","","1","","","","","","","","","","","","","1","0","","LCC-CCTCALL","","","","","","","","","","","","","","FALSE","8703","Product: bad value for restricted picklist field: Debit Card"
"242","8709","Operational Risk","Operational Risk","Korporasi","Transaction Banking","Cash Management","Fraud / Suspicious Transactions","Investigasi Indikasi Fraud Internal","","0","Yes","Yes","No","No Change","","Extremely High","21 ~ 70","23","19","Proposed to delete","","1","","","","","","","","","","","","","1","0","","LCC-FBI","","","","","","","","","","","","","","FALSE","8709","bad value for restricted picklist field: Cash Management"
"246","8714","Resolution Center","Service & Contact Center - NFT","Individu Umum","Savings","Electronic Money","Complaint - Non-Transaction","Komplain BRIZZI Fuel Card","","0","Yes","No","No","Move to Resolution Center","Stay in NFT","Low","3 ~ 5","3","5","Proposed to delete, Gabung dengan komplain BRIZZI","T2.1 - NFT","1","5","","","","","","","","","","","","6","5","","LCC-ISSUER","","","","","","","","","","","","","","FALSE","8714","bad value for restricted picklist field: Electronic Money"
"247","8716","Operational Risk","Operational Risk","Korporasi","Transaction Banking","Cash Management","Fraud / Suspicious Transactions","Register Surat Bilateral Bank Lain (Penipuan)","","0","Yes","Yes","No","No Change","","Medium","6 ~ 10","6","20","Proposed to delete","","1","","","","","","","","","","","","","1","0","","LCC-FBI","","","","","","","","","","","","","","FALSE","8716","bad value for restricted picklist field: Cash Management"
"250","8803","Resolution Center","Service & Contact Center - NFT","All","Savings, Transaction Banking","Tabungan, Cash Management, Payment Solutions, Mobile Banking, Internet Banking","Complaint - Transaction","Nasabah BRI gagal Transfer & terdebet ke Rek BRI Syariah","","0","Yes","No","No","Move to Resolution Center","Stay in NFT","Low","3 ~ 5","2","14","Proposed to delete","","1","","","","","","","","","","","","","1","0","","LCC-ISSUER","","","","","","","","","","","","","","FALSE","8803","Customer Segment: bad value for restricted picklist field: All"
"260","8903","Resolution Center","Service & Contact Center - CRS","All","All","All","Third Party Support","Komplain Antar Bank","","0","Yes","No","No","Move to Resolution Center","","Very Low","0 ~ 2","1","19","Proposed to delete","","1","","","","","","","","","","","","","1","0","","LCC-CRC","","","","","","","","","","","","","","FALSE","8903","Customer Segment: bad value for restricted picklist field: All"
"262","8910","Funding & Retail Payment","Funding & Retail Payment","Individu Umum","Savings","Giro","Complaint - Transaction","Komplain Kliring di Teller","","0","Yes","No","No","Move to Resolution Center","","Medium","6 ~ 10","7","5","Proposed to delete","","1","","","","","","","","","","","","","1","0","","SRK-RTGKL","","","","","","","","","","","","","","FALSE","8910","bad value for restricted picklist field: Giro"
"263","8911","Resolution Center","Service & Contact Center - NFT","Individu Umum","Savings","Mobile Banking","Complaint - Transaction","Komplain BRImo Payment","","0","Yes","No","No","Move to Resolution Center","Stay in NFT","Very High","16 ~ 20","16","19","Proposed to delete","","1","","","","","","","","","","","","","1","0","","LCC-ISSUER","","","","","","","","","","","","","","FALSE","8911","bad value for restricted picklist field: Mobile Banking"
"265","8914","Resolution Center","Service & Contact Center - CRS","All","Savings, Transaction Banking","Tabungan, Cash Management, Payment Solutions, Mobile Banking, Internet Banking","Platform & Device Support","Komplain Kios K (sunset channel)","","0","Yes","No","No","Move to Resolution Center","","Very Low","0 ~ 2","0","19","Proposed to delete","","1","","","","","","","","","","","","","1","0","","LCC-CRC","","","","","","","","","","","","","","FALSE","8914","Customer Segment: bad value for restricted picklist field: All"
"268","8918","Resolution Center","Service & Contact Center - CRS","All","All","All","Products / Promotion Inquiry","Produk Kerjasama Lainnya","","0","Yes","No","No","Move to Resolution Center","","Very Low","0 ~ 2","0","8","Proposed to delete","T2.1 - CRS","1","1","","","","","","","","","","","","2","1","","LCC-CRC","","","","","","","","","","","","","","FALSE","8918","Customer Segment: bad value for restricted picklist field: All"
"271","8926","Resolution Center","Service & Contact Center - CRS","All","All","All","Customer Feedback / Sentiment Monitoring","Pengaduan di Media Cetak - terkait Pembayaran","","0","Yes","No","No","Move to Resolution Center","","Low","3 ~ 5","2","3","Proposed to delete","","1","","","","","","","","","","","","","1","0","","LCC-CRC","","","","","","","","","","","","","","FALSE","8926","Customer Segment: bad value for restricted picklist field: All"
"272","8928","Resolution Center","Service & Contact Center - CRS","All","All","All","Customer Feedback / Sentiment Monitoring","Liputan Media Elektronik - terkait Pembayaran","","0","Yes","No","No","Move to Resolution Center","","Very Low","0 ~ 2","1","3","Proposed to delete","","1","","","","","","","","","","","","","1","0","","LCC-CRC","","","","","","","","","","","","","","FALSE","8928","Customer Segment: bad value for restricted picklist field: All"
"273","8929","Resolution Center","Service & Contact Center - CRS","All","All","All","Customer Feedback / Sentiment Monitoring","Publikasi/Tulisan Di Tempat Umum - terkait Pembayaran","","0","Yes","No","No","Move to Resolution Center","","Very Low","0 ~ 2","0","3","Proposed to delete","","1","","","","","","","","","","","","","1","0","","LCC-CRC","","","","","","","","","","","","","","FALSE","8929","Customer Segment: bad value for restricted picklist field: All"
"274","8930","Resolution Center","Service & Contact Center - CRS","All","All","All","Customer Feedback / Sentiment Monitoring","Publikasi Negatif Lainnya - terkait Pembayaran","","0","Yes","No","No","Move to Resolution Center","","Very Low","0 ~ 2","0","3","Proposed to delete","","1","","","","","","","","","","","","","1","0","","LCC-CRC","","","","","","","","","","","","","","FALSE","8930","Customer Segment: bad value for restricted picklist field: All"
"275","8931","Resolution Center","Service & Contact Center - CRS","All","All","All","Customer Feedback / Sentiment Monitoring","Pengaduan di Media Cetak - tidak terkait Pembayaran","","0","Yes","No","No","Move to Resolution Center","","Very Low","0 ~ 2","0","3","Proposed to delete","","1","","","","","","","","","","","","","1","0","","LCC-CRC","","","","","","","","","","","","","","FALSE","8931","Customer Segment: bad value for restricted picklist field: All"
"276","8933","Resolution Center","Service & Contact Center - CRS","All","All","All","Customer Feedback / Sentiment Monitoring","Liputan Media Elektronik - tidak terkait Pembayaran","","0","Yes","No","No","Move to Resolution Center","","Low","3 ~ 5","2","3","Proposed to delete","T2.1 - CRS","1","3","","","","","","","","","","","","4","3","","LCC-CRC","","","","","","","","","","","","","","FALSE","8933","Customer Segment: bad value for restricted picklist field: All"
"288","8981","Resolution Center","Service & Contact Center - CRS","All","All","All","Third Party Support","Other Partners (propose to delete)","","0","Yes","No","No","Move to Resolution Center","","Low","3 ~ 5","2","0","Proposed to delete","","1","","","","","","","","","","","","","1","0","","LCC-CRC","","","","","","","","","","","","","","FALSE","8981","Customer Segment: bad value for restricted picklist field: All"
"289","8982","Funding & Retail Payment","Funding & Retail Payment","UMKM","Merchant Solutions","EDC/QRIS","Complaint - Transaction","Transaksi QRIS Laporan dari Merchant","","0","Yes","No","No","Move to Resolution Center","","Very Low","0 ~ 2","1","4","Proposed to delete","","1","","","","","","","","","","","","","1","0","","RPT-MCO","","","","","","","","","","","","","","FALSE","8982","bad value for restricted picklist field: Merchant Solutions"
"290","8983","Resolution Center","Service & Contact Center - CCT","UMKM","Merchant Solutions","Payment Solutions","Request","Pembatalan Transaksi / Refund Merchant","","0","Yes","No","No","Move to Resolution Center","","Very Low","0 ~ 2","0","14","Proposed to delete","","1","","","","","","","","","","","","","1","0","","LCC-CCTCALL","","","","","","","","","","","","","","FALSE","8983","bad value for restricted picklist field: Merchant Solutions"
"291","8984","Resolution Center","Service & Contact Center - CCT","UMKM","Merchant Solutions","Payment Solutions","Platform & Device Support","Status Mesin EDC tidak Bisa Digunakan","","0","Yes","No","No","Move to Resolution Center","","Very Low","0 ~ 2","0","3","Proposed to delete","","1","","","","","","","","","","","","","1","0","","LCC-CCTCALL","","","","","","","","","","","","","","FALSE","8984","bad value for restricted picklist field: Merchant Solutions"
"293","8986","Resolution Center","Service & Contact Center - CCT","UMKM","Merchant Solutions","Payment Solutions","Complaint - Transaction","Pembayaran Settlement Merchant (gagal settlement)","","0","Yes","No","No","Move to Resolution Center","","Very Low","0 ~ 2","0","14","Proposed to delete","","1","","","","","","","","","","","","","1","0","","LCC-CCTCALL","","","","","","","","","","","","","","FALSE","8986","bad value for restricted picklist field: Merchant Solutions"
"296","9001","Resolution Center","Service & Contact Center - NFT","All","All","All","Products / Promotion Inquiry","BRI Agro","","0","Yes","No","No","Move to Resolution Center","Stay in NFT","Very Low","0 ~ 2","0","19","Proposed to delete","","1","","","","","","","","","","","","","1","0","","LCC-ACQ","","","","","","","","","","","","","","FALSE","9001","Customer Segment: bad value for restricted picklist field: All"
"301","9999","Resolution Center","Service & Contact Center - NFT","Individu Umum","Savings","Electronic Money","Complaint - Transaction","Gagal Transaksi BRIZZI","","0","Yes","No","No","Move to Resolution Center","Stay in NFT","Medium","6 ~ 10","7","2","Proposed to delete","","1","","","","","","","","","","","","","1","0","","LCC-ISSUER","","","","","","","","","","","","","","FALSE","9999","bad value for restricted picklist field: Electronic Money"
