"NO","CASE TYPES","USER GROUPING_NEW","USER GROUPING_OLD","SEGMENT","PRODUCT","SUB PRODUCT","CASE CATEGORY","CASE DESCRIPTION","NEW CASE DESCRIPTION","REQUIRED SUB-DESCRIPTION","SUB","DOC INTAKE","LIST KEBUTUHAN DOKUMEN","SUGGESTION","SUGGESTION - BREAKDOWN","LEVEL OF EFFORT","RANGE OF DAYS 
(ACTUAL SLA)","ACTUAL SLA
(DAYS)","TARGET SLA 
(DAYS)","BRI NOTES","TEAM NAME","T1 - AGENT CCT/FRONTLINER","T2.1 - SUPPORTING UNIT","T2.2 - SUPPORTING UNIT","T2.3 - SUPPORTING UNIT","T3.1 - PRODUCT OWNER","T3.2 - PRODUCT OWNER","T3.3 - PRODUCT OWNER","T4.1 - TECHNICAL TEAM","T4.2 - TECHNICAL TEAM","T4.3 - TECHNICAL TEAM","T5.1 - THIRD PARTY","T5.2 - THIRD PARTY","T5.3 - THIRD PARTY","TOTAL SLA","NEW SLA","STATUS","GIC","MAKER","CHECKER","SIGNER","COURTESY AWAL","KEBUTUHAN DATA","JENIS PRODUK DAN ATAU LAYANAN LKPBU","KATEGORI PERMASALAHAN LKPBU","JENIS TRANSAKSI LKPBU","PENYEBAB PENGADUAN LKPBU","JENIS PRODUK LBUT","SANDI JENIS  PRODUK LBUT","SEBAB PENGADUAN LBUT","SANDI PENYEBAB LBUT","ACTIVE","EXTERNAL_ID","ERROR"
"156","8204","Resolution Center","Service & Contact Center - SIA","All","Servicing","Servicing - Layanan Contact Center","Customer Feedback / Sentiment Monitoring","Saran Nasabah Layanan Unit Kerja","Nasabah Komplain Terkait Layanan Unit Kerja","0","","0","","Move to Resolution Center","Stay in SIA","Medium","6 ~ 10","6","7","","T2.1 - SIA, T2.2 - Branch(Uker)","1","1","5","","","","","","","","","","","7","6","","LCC-IML","","","","1B","Regular Banking","Penghimpunan Dana Lainnya","#N/A","#N/A","Lainnya : Kepuasan Nasabah Terhadap Layanan","Lainnya","XX","Lainnya","999","TRUE","1568204","Customer Segment: bad value for restricted picklist field: All"
"157","8205","Resolution Center","Service & Contact Center - QAS","All","Servicing","Servicing - Layanan Contact Center","Customer Feedback / Sentiment Monitoring","Saran Nasabah layanan Contact Center","Nasabah Komplain Terkait Layanan Contact Center","0","","0","","Move to Resolution Center","Stay in QAS","High","11 ~ 15","12","3","","T2.1 - QAS, Include Infomedia","1","2","","","","","","","","","","","","3","2","","LCC-QSC","","","","1B","Regular Banking","Penghimpunan Dana Lainnya","#N/A","#N/A","Lainnya : Kepuasan Nasabah Terhadap Layanan","Lainnya","XX","Lainnya","999","TRUE","1578205","Customer Segment: bad value for restricted picklist field: All"
"162","8222","Resolution Center","Service & Contact Center - NFT","All","Transaction Banking","Transaction Solution","Complaint - Transaction","Komplain RTGS/Kliring IB","Nasabah Komplain Transaksi RTGS Melalui E-Channel","0","","0","","Move to Resolution Center","Stay in NFT","Very Low","0 ~ 2","1","3","Sub: RTGS","T2.1 - NFT(ISSUER), Include POD(SRK)","1","3","","","","","","","","","","","","4","3","","LCC-ISSUER","Agent","Supervisor","Manager","1B","Regular Banking","RTGS","#N/A","#N/A","Gangguan / kerusakan perangkat dan sistem teknologi informasi","RTGS","SI","Permasalahan/kerusakan pada Sistem Teknologi Informasi","20","TRUE","1628222","Customer Segment: bad value for restricted picklist field: All"
"163","8226","Resolution Center","Service & Contact Center - CRS","Individu Umum, Individu Priority & Private","Transaction Banking","Transaction Solution","Complaint - Transaction","BRIfast Remittance - Transfer Internasional (Gagal Transfer International namun saldo tetap berkurang)","Nasabah Komplain Gagal Transfer International (BRIFast Remmitance)","1","1. Selisih Kurs Refund
2. Dana tidak diterima di rekening tujuan
3. Salah Transfer","0","","No Change","Move to INT. TBC sementara di CRS dulu","Low","3 ~ 5","2","10","Sub: Selisih Kurs Refund, Dana tidak diterima di rekening tujuan, Salah Transfer Note: Butuh konfirmasi dgn POD terkait penggunaan DiO. TBC","T2.1 - CRS , Include POD(RSP), Include POD(ORC)","1","3","","","","","","","","","","","","4","3","","LCC-CRC","","","","1B","Regular Banking","Remitance","#N/A","#N/A","Gangguan / kerusakan perangkat dan sistem teknologi informasi","Remitansi","RT","Permasalahan/kerusakan pada Sistem Teknologi Informasi","20","TRUE","1638226","Customer Segment: bad value for restricted picklist field: Individu Umum, Individu Priority &amp; Private"
"164","8227","Resolution Center","Service & Contact Center - NFT","All","Transaction Banking","Transaction Solution","Complaint - Transaction","Transfer BI fast gagal, Rekening terdebet","Nasabah Komplain Gagal Transfer BI-Fast dan saldo berkurang","0","","0","","Move to Resolution Center","Stay in NFT","Low","3 ~ 5","3","10","","T2.1 - NFT(ISSUER), Include POD(RSP), Include Bank Peserta BI-FAST","1","5","","","","","","","","","","","","6","5","","LCC-ISSUER","Agent","Supervisor","Manager","1B","Regular Banking","Electronic Banking","#N/A","#N/A","Gangguan / kerusakan perangkat dan sistem teknologi informasi","Kliring","KR","Permasalahan/kerusakan pada Sistem Teknologi Informasi","20","TRUE","1648227","Customer Segment: bad value for restricted picklist field: All"
"167","8401","Distribution Network","Distribution Network","All","Transaction Banking","Transaction Solution","Platform & Device Support","Status mesin ATM/CDM/CRM tidak bisa digunakan / Offline","Nasabah Komplain Mesin ATM/CDM/CRM tidak bisa digunakan","0","","0","","No Change","","Very Low","0 ~ 2","1","0","CHM perlu terintegrasi (mirroring) dengan Portal Echannel untuk create/update ticket ke vendor","T2.1 - DNR, T2.2 - Branch(Uker) include Vendor","1","1","2","","","","","","","","","","","4","3","","DNR - EOM","","","","1B","Regular Banking","ATM","#N/A","#N/A","Gangguan / kerusakan perangkat dan sistem teknologi informasi","ATM dan/atau Kartu Debet","AD","Permasalahan/kerusakan pada Sistem Teknologi Informasi","20","TRUE","1678401","Customer Segment: bad value for restricted picklist field: All"
"168","8403","Distribution Network","Distribution Network","Individu Umum","Servicing","Servicing - Layanan Cabang","Customer Feedback / Sentiment Monitoring","Kondisi galery mesin ATM/CRM BRI","Nasabah Komplain Kondisi Fasilitas ATM/CRM BRI","1","1. Kebersihan
2. Tampilan
3. CCTV,
4. AC
5. UPS","0","","No Change","","","","0","20","New Case Type - Sub: Kebersihan, Tampilan, CCTV, AC, UPS","T2.1 - DNR, T2.2 - Branch(Uker) include Vendor","1","1","","","2","","","","","","","","","4","3","","DNR - IOM","","","","1B","Regular Banking","Kartu ATM/Debit/Mesin ATM","Kegagalan/keterlambatan/ketidaksesuaian transaksi (mis: tarik/setor)","Terkait Sistem Pembayaran","Gangguan / kerusakan perangkat dan sistem teknologi informasi","ATM dan/atau Kartu Debet","AD","Permasalahan/kerusakan pada Sistem Teknologi Informasi","20","TRUE","1688403","Case Category: bad value for restricted picklist field: Customer Feedback / Sentiment Monitoring"
"172","8410","Resolution Center","Service & Contact Center - NFT","All","Transaction Banking","Transaction Solution","Complaint - Transaction","Kegagalan TAC / Transfer Lainnya Lewat BRI","Nasabah Komplain Gagal Transfer ke BRI","0","","0","","Move to Resolution Center","Stay in NFT","Low","3 ~ 5","2","10","Dekripsi belum final, Penambahan Call type terkait transaksi pindah buku (antar BRI)","T2.1 - NFT(ISSUER), T2.2 - Branch(Uker)","1","2","5","","","","","","","","","","","8","7","","LCC-ISSUER","Agent","Supervisor","Manager","1B","Regular Banking","ATM","#N/A","#N/A","Gangguan / kerusakan perangkat dan sistem teknologi informasi","ATM dan/atau Kartu Debet","AD","Permasalahan/kerusakan pada Sistem Teknologi Informasi","20","TRUE","1728410","Customer Segment: bad value for restricted picklist field: All"
"173","8411","Resolution Center","Service & Contact Center - CRS","All","Transaction Banking","Transaction Solution","Request","Salah Transfer antar BRI","Nasabah Mengajukan Permohonan Pengembalian Dana (Refund) akibat Salah Transfer antar BRI","0","","1","1. surat pernyataan (matrai)
2. ktp","Move to Resolution Center","","Medium","6 ~ 10","5","10","","T2.1 - CRS, T2.2 - Branch(Uker)","1","2","5","","","","","","","","","","","8","7","","LCC-CRC","","","","1C","Regular Banking","Tabungan","#N/A","#N/A","Kelalaian Konsumen","Transfer Dana","RM","Salah Transfer","50","TRUE","1738411","Customer Segment: bad value for restricted picklist field: All"
"174","8412","Resolution Center","Service & Contact Center - NFT","All","Transaction Banking","Transaction Solution","Complaint - Transaction","Nasabah BRI Gagal Transaksi Belanja di EDC BRI, Saldo Rekening Berkurang","Nasabah Komplain Gagal Pembayaran di EDC BRI dan saldo berkurang","0","","0","","Move to Resolution Center","Stay in NFT","Medium","6 ~ 10","6","9","","T2.1 - NFT(ISSUER), T3.1 - FST(MCO), T4.1 - NFT(ISSUER), Include POD","1","1","","","7","","","1","","","","","","10","9","","LCC-ISSUER","Agent","Supervisor","Manager","1B","Regular Banking","ATM","#N/A","#N/A","Gangguan / kerusakan perangkat dan sistem teknologi informasi","Lainnya","XX","Permasalahan/kerusakan pada Sistem Teknologi Informasi","20","TRUE","1748412","Customer Segment: bad value for restricted picklist field: All"
"175","8413","Resolution Center","Service & Contact Center - NFT","All","Transaction Banking","Transaction Solution","Complaint - Transaction","Nasabah BRI gagal tarik tunai & terdebet di ATM Link","Nasabah Komplain Gagal Tarik Tunai & Saldo Berkurang di ATM/CRM Link","0","","0","","Move to Resolution Center","Stay in NFT","Low","3 ~ 5","4","5","","T2.1 - NFT(ISSUER), Include POD(RSP), Include RINTIS","1","5","","","","","","","","","","","","6","5","","LCC-ISSUER","Agent","Supervisor","Manager","1B","Regular Banking","ATM","#N/A","#N/A","Gangguan / kerusakan perangkat dan sistem teknologi informasi","ATM dan/atau Kartu Debet","AD","Permasalahan/kerusakan pada Sistem Teknologi Informasi","20","TRUE","1758413","Customer Segment: bad value for restricted picklist field: All"
"176","8414","Resolution Center","Service & Contact Center - NFT","All","Transaction Banking","Transaction Solution","Complaint - Transaction","Nasabah BRI gagal tarik tunai & terdebet di ATM Bersama","Nasabah Komplain Gagal Tarik Tunai & Saldo Berkurang di ATM/CRM Bersama","0","","0","","Move to Resolution Center","Stay in NFT","Low","3 ~ 5","4","7","","T2.1 - NFT(ISSUER), Include POD(RSP), Include ARTAJASA","1","7","","","","","","","","","","","","8","7","","LCC-ISSUER","Agent","Supervisor","Manager","1B","Regular Banking","ATM","#N/A","#N/A","Gangguan / kerusakan perangkat dan sistem teknologi informasi","ATM dan/atau Kartu Debet","AD","Permasalahan/kerusakan pada Sistem Teknologi Informasi","20","TRUE","1768414","Customer Segment: bad value for restricted picklist field: All"
"177","8415","Resolution Center","Service & Contact Center - NFT","All","Transaction Banking","Transaction Solution","Complaint - Transaction","Nasabah BRI gagal tarik tunai & terdebet di ATM Cirrus","Nasabah Komplain Gagal Tarik Tunai & Saldo Berkurang di ATM/CRM Cirrus","0","","0","","Move to Resolution Center","Stay in NFT","Medium","6 ~ 10","7","45","","T2.1 - NFT(ISSUER), Include POD(RSP), Include CIRRUS","1","21","","","","","","","","","","","","22","21","","LCC-ISSUER","Agent","Supervisor","Manager","1B","Regular Banking","ATM","#N/A","#N/A","Gangguan / kerusakan perangkat dan sistem teknologi informasi","ATM dan/atau Kartu Debet","AD","Permasalahan/kerusakan pada Sistem Teknologi Informasi","20","TRUE","1778415","Customer Segment: bad value for restricted picklist field: All"
"178","8416","Resolution Center","Service & Contact Center - NFT","All","Transaction Banking","Transaction Solution","Complaint - Transaction","Nasabah BRI Gagal Transaksi Belanja di EDC Bank Lain atau melalui QRIS BRImo, Saldo Rekening Berkurang","Nasabah Komplain Gagal Pembayaran di EDC Bank Lain dan saldo berkurang","0","","0","","Move to Resolution Center","Stay in NFT","High","11 ~ 15","11","14","Untuk QRIS di buatkan Call Type Baru","T2.1 - NFT(ISSUER)","1","10","","","","","","","","","","","","11","10","","LCC-ISSUER","Agent","Supervisor","Manager","1B","Regular Banking","Electronic Banking","#N/A","#N/A","Gangguan / kerusakan perangkat dan sistem teknologi informasi","ATM dan/atau Kartu Debet","AD","Permasalahan/kerusakan pada Sistem Teknologi Informasi","20","TRUE","1788416","Customer Segment: bad value for restricted picklist field: All"
"179","8418","Operational Risk","Operational Risk","Individu Umum","Servicing","Transaction Solution","Fraud / Suspicious Transactions","sanggahan transaksi/tidak merasa bertransaksi (dengan kartu )","Nasabah Melaporkan Sanggahan Transaksi Kartu Debit","1","1. Indikasi adanya fraud internal
2. Non Fraud Internal","0","","No Change","","Low","3 ~ 5","2","10","Sub: indikasi adanya fraud internal","T2.1 - ORD(FBI)","1","10","","","","","","","","","","","","11","10","","LCC-FBI","","","","1B","Regular Banking","ATM","#N/A","#N/A","Kelalaian Konsumen","ATM dan/atau Kartu Debet","AD","Usaha pengambilan data secara ilegal - Skimming","63","TRUE","1798418","bad value for restricted picklist field: Transaction Solution"
"180","8419","Operational Risk","Operational Risk","Individu Umum","Servicing","Transaction Solution","Fraud / Suspicious Transactions","sanggahan transaksi/tidak merasa bertransaksi ( tanpa kartu )","Nasabah Melaporkan Sanggahan Transaksi Non-Kartu","1","1. Indikasi adanya fraud internal
2. Non Fraud Internal","0","","No Change","","Low","3 ~ 5","2","14","Sub: indikasi adanya fraud internal","T2.1 - ORD(FBI)","1","10","","","","","","","","","","","","11","10","","LCC-FBI","","","","1B","Regular Banking","Electronic Banking","#N/A","#N/A","Kelalaian Konsumen","Delivery Channel - Internet Banking","IB","Usaha pengambilan data secara ilegal - Lainnya","69","TRUE","1808419","bad value for restricted picklist field: Transaction Solution"
"181","8425","Resolution Center","Service & Contact Center - CCT","All","Servicing","Mobile Banking","Request","Pen-delete-an Status Registrasi Layanan yang Ada di BRI","Nasabah Mengajukan Penghapusan Layanan BRImo","0","","0","","Move to Resolution Center","Move to CCT","Very Low","0 ~ 2","0","0","Change GIC to CCT","T1 - Agent CCT/Frontliner","1","","","","","","","","","","","","","1","0","","LCC-CRC","","","","1A","Regular Banking","Electronic Banking","#N/A","#N/A","Kelalaian Konsumen","ATM dan/atau Kartu Debet","AD","Usaha pengambilan data secara ilegal - Lainnya","69","TRUE","1818425","Customer Segment: bad value for restricted picklist field: All"
"182","8426","Resolution Center","Service & Contact Center - NFT","All","Transaction Banking","Transaction Solution","Complaint - Transaction","Nasabah Link Terdebet Tarik Tunai di ATM BRI","Nasabah Jaringan LINK Gagal Tarik Tunai dan Saldo Berkurang di ATM/CRM BRI","0","","0","","Move to Resolution Center","Stay in NFT","Very Low","0 ~ 2","0","0","","T2.1 - NFT(ACQUIRER), T2.2 - Branch(Uker)","1","2","3","","","","","","","","","","","6","5","","LCC-ACQ","Agent","Supervisor","Manager","1B","Regular Banking","ATM","#N/A","#N/A","Gangguan / kerusakan perangkat dan sistem teknologi informasi","ATM dan/atau Kartu Debet","AD","Permasalahan/kerusakan pada Sistem Teknologi Informasi","20","TRUE","1828426","Customer Segment: bad value for restricted picklist field: All"
"183","8427","Resolution Center","Service & Contact Center - NFT","All","Transaction Banking","Transaction Solution","Complaint - Transaction","Nasabah ATM Bersama Terdebet Tarik Tunai di ATM BRI","Nasabah Jaringan BERSAMA Gagal Tarik Tunai dan Saldo Berkurang di ATM/CRM BRI","0","","0","","Move to Resolution Center","Stay in NFT","Low","3 ~ 5","3","0","","T2.1 - NFT(ACQUIRER), T2.2 - Branch(Uker)","1","2","3","","","","","","","","","","","6","5","","LCC-ACQ","Agent","Supervisor","Manager","1B","Regular Banking","ATM","#N/A","#N/A","Gangguan / kerusakan perangkat dan sistem teknologi informasi","ATM dan/atau Kartu Debet","AD","Permasalahan/kerusakan pada Sistem Teknologi Informasi","20","TRUE","1838427","Customer Segment: bad value for restricted picklist field: All"
"184","8428","Resolution Center","Service & Contact Center - NFT","All","Transaction Banking","Transaction Solution","Complaint - Transaction","Nasabah Prima Terdebet Tarik Tunai di ATM BRI","Nasabah Jaringan PRIMA Gagal Tarik Tunai dan Saldo Berkurang di ATM/CRM BRI","0","","0","","Move to Resolution Center","Stay in NFT","Very Low","0 ~ 2","0","0","","T2.1 - NFT(ACQUIRER), T2.2 - Branch(Uker)","1","2","3","","","","","","","","","","","6","5","","LCC-ACQ","Agent","Supervisor","Manager","1B","Regular Banking","ATM","#N/A","#N/A","Gangguan / kerusakan perangkat dan sistem teknologi informasi","ATM dan/atau Kartu Debet","AD","Permasalahan/kerusakan pada Sistem Teknologi Informasi","20","TRUE","1848428","Customer Segment: bad value for restricted picklist field: All"
"185","8429","Resolution Center","Service & Contact Center - NFT","All","Transaction Banking","Transaction Solution","Complaint - Transaction","Nasabah Cirrus Terdebet Tarik Tunai di ATM BRI","Nasabah Jaringan CIRRUS Gagal Tarik Tunai dan Saldo Berkurang di ATM/CRM BRI","0","","0","","Move to Resolution Center","Stay in NFT","Very Low","0 ~ 2","0","0","","T2.1 - NFT(ISSUER), T2.2 - Branch(Uker)","1","2","3","","","","","","","","","","","6","5","","LCC-ACQ","Agent","Supervisor","Manager","1B","Regular Banking","ATM","#N/A","#N/A","Gangguan / kerusakan perangkat dan sistem teknologi informasi","ATM dan/atau Kartu Debet","AD","Permasalahan/kerusakan pada Sistem Teknologi Informasi","20","TRUE","1858429","Customer Segment: bad value for restricted picklist field: All"
"187","8433","Resolution Center","Service & Contact Center - NFT","All","Transaction Banking","Transaction Solution","Complaint - Transaction","Pembayaran Tagihan Gagal, Saldo Berkurang","Nasabah Komplain Gagal Pembayaran Tagihan dan saldo berkurang","1","1. Pembayaran non-BRIVA
2. Pembayaran BRIVA","0","","Move to Resolution Center","Stay in NFT","Very Low","0 ~ 2","1","3","Sub: Pembayaran non-BRIVA diskusi dengan POD","T2.1 - NFT(ISSUER), Include POD(RSP)","1","3","","","","","","","","","","","","4","3","","LCC-ISSUER","Agent","Supervisor","Manager","1B","Regular Banking","ATM","#N/A","#N/A","Gangguan / kerusakan perangkat dan sistem teknologi informasi","ATM dan/atau Kartu Debet","AD","Permasalahan/kerusakan pada Sistem Teknologi Informasi","20","TRUE","1878433","Customer Segment: bad value for restricted picklist field: All"
"188","8434","Resolution Center","Service & Contact Center - NFT","All","Transaction Banking","Transaction Solution","Complaint - Transaction","Pengisian Pulsa HP gagal, Saldo Berkurang","Nasabah Komplain Gagal Pembelian Pulsa dan saldo berkurang","1","1. Provider Pulsa telkomsel
2. Provider Pulsa XL
3. Provider Pulsa Indosat
4. Lain-lain","0","","Move to Resolution Center","Stay in NFT","Low","3 ~ 5","4","7","Sub: Provider Pulsa (telkomsel,XL, etc)","T2.1 - NFT(ISSUER), Include POD(RSP)","1","6","","","","","","","","","","","","7","6","","LCC-ISSUER","Agent","Supervisor","Manager","1B","Regular Banking","ATM","#N/A","#N/A","Gangguan / kerusakan perangkat dan sistem teknologi informasi","ATM dan/atau Kartu Debet","AD","Permasalahan/kerusakan pada Sistem Teknologi Informasi","20","TRUE","1888434","Customer Segment: bad value for restricted picklist field: All"
