No,Case Types,User Grouping_New,User Grouping_Old,Segment,Product,Sub Product,Case Category,Case Description,New Case Description,Required Sub-Description,Sub,Doc Intake,List Kebutuhan Dokumen,Suggestion,Suggestion - Breakdown,Level of Effort,"Range of Days 
(Actual SLA)","Actual SLA
(days)","Target SLA 
(days)",BRI Notes,Team Name,T1 - Agent CCT/Frontliner,T2.1 - Supporting Unit,T2.2 - Supporting Unit,T2.3 - Supporting Unit,T3.1 - Product Owner,T3.2 - Product Owner,T3.3 - Product Owner,T4.1 - Technical Team,T4.2 - Technical Team,T4.3 - Technical Team,T5.1 - Third Party,T5.2 - Third Party,T5.3 - Third Party,Total SLA,New SLA,Status,GIC,Maker,Checker,Signer,Courtesy Awal,Kebutuhan Data,Jenis Produk dan atau Layanan LKPBU,Kategori Permasalahan LKPBU,Jenis Transaksi LKPBU,Penyebab Pengaduan LKPBU,Jenis Produk LBUT,Sandi Jenis  Produk LBUT,Sebab Pengaduan LBUT,Sandi Penyebab LBUT
115.0,7101,"Card, Digital Lending & Assset","Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Request,Permintaan Perhitungan Bunga Kartu Kredit,Nasabah Mengajukan Perhitungan Bunga Transaksi Kartu Kredit,,,,,No Change,,High,11 ~ 15,14.0,6.0,"Notes: Perlu Pengembangan System oleh APP untuk menghitung rincian bunga, Butuh perpanjangan SLA","T3.1 - CDD(SPD SCD), T3.2 - CDD(OPE ITEM), T3.3 - CDD(ACU UserCo), T4.1 - CRS",1.0,,,,2.0,4.0,3.0,1.0,,,,,,11.0,10.0,Done,KKD-PBK-KKPBK,,,,1B,Credit & Digital Lending,Kartu Kredit,,,Pemahaman karakteristik produk oleh Konsumen,Kartu Kredit,KK,Bunga/Biaya Lainnya,90.0
116.0,7200,"Card, Digital Lending & Assset","Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Request,Pengajuan Penghapusan Iuran Tahunan,Nasabah Mengajukan Penghapursan Iuran Tahunan Kartu Kredit,,,,,No Change,,Low,3 ~ 5,2.0,3.0,,T3.1 - CDD(OPE ITEM),1.0,,,,3.0,,,,,,,,,4.0,3.0,Done,KKD-OPS-ITEM,,,,1B,Credit & Digital Lending,,,,,Kartu Kredit,KK,Bunga/Biaya Lainnya,90.0
117.0,7201,"Card, Digital Lending & Assset","Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Request,Pengajuan Penghapusan Denda Keterlambatan,Nasabah Mengajukan Penghapusan Denda Keterlambatan Pembayaran Kartu Kredit,,,,,No Change,,Medium,6 ~ 10,8.0,3.0,,T3.1 - CDD(OPE ITEM),1.0,,,,5.0,,,,,,,,,6.0,5.0,Done,KKD-OPS-DELIVERY,,,,1B,Credit & Digital Lending,,,,,Kartu Kredit,KK,Bunga/Biaya Lainnya,90.0
118.0,7202,"Card, Digital Lending & Assset","Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Request,Pengajuan Penghapusan Biaya Over Limit,Nasabah Mengajukan Penghapusan Biaya Over Limit,,,,,No Change,,Medium,6 ~ 10,7.0,3.0,,T3.1 - CDD(OPE ITEM),1.0,,,,5.0,,,,,,,,,6.0,5.0,Done,KKD-OPS-ITEM,,,,1B,Credit & Digital Lending,,,,,Kartu Kredit,KK,Bunga/Biaya Lainnya,90.0
119.0,7203,"Card, Digital Lending & Assset","Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Request,Pengajuan Penghapusan Bunga,Nasabah Mengajukan Penghapusan Bunga Kartu Kredit,,,,,No Change,,Medium,6 ~ 10,8.0,3.0,,T3.1 - CDD(OPE ITEM),1.0,,,,5.0,,,,,,,,,6.0,5.0,Done,KKD-OPS-MSU,,,,1B,Credit & Digital Lending,,,,,Kartu Kredit,KK,Bunga/Biaya Lainnya,90.0
120.0,7204,"Card, Digital Lending & Assset","Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Request,Pengajuan Penghapusan Biaya Materai,Nasabah Mengajukan Penghapusan Biaya Materai,,,,,No Change,,Extremely High,21 ~ 70,22.0,8.0,,T3.1 - CDD(OPE ITEM),1.0,,,,5.0,,,,,,,,,6.0,5.0,Done,KKD-OPS-ITEM,,,,1B,Credit & Digital Lending,,,,,Kartu Kredit,KK,Bunga/Biaya Lainnya,90.0
121.0,7205,"Card, Digital Lending & Assset","Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Request,Pengajuan Penghapusan Biaya estatement,Nasabah Mengajukan Penghapusan Biaya E-statement,,,,,No Change,,Medium,6 ~ 10,9.0,20.0,,"T3.1 - CDD(OPE Delivery), T3.2 - CDD(OPE ITEM)",1.0,,,,2.0,5.0,,,,,,,,8.0,7.0,Done,KKD-AKK-ACQPR,,,,1B,Credit & Digital Lending,,,,,Kartu Kredit,KK,Bunga/Biaya Lainnya,90.0
122.0,7206,"Card, Digital Lending & Assset","Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Request,Pengajuan Penghapusan Biaya Pergantian kartu,Nasabah Mengajukan Penghapusan Biaya Pergantian Kartu Kredit,,,,,No Change,,Medium,6 ~ 10,7.0,3.0,,T3.1 - CDD(OPE ITEM),1.0,,,,5.0,,,,,,,,,6.0,5.0,Done,KKD-OPS-DELIVERY,,,,1B,Credit & Digital Lending,,,,,Kartu Kredit,KK,Bunga/Biaya Lainnya,90.0
123.0,7207,"Card, Digital Lending & Assset","Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Request,Pengajuan Penghapusan Biaya Kenaikan Limit,Nasabah Mengajukan Penghapusan Biaya Kenaikan Limit Kartu Kredit,,,,,No Change,,Medium,6 ~ 10,9.0,3.0,,"T3.1 - CDD(CLF-1 LIMIT), T3.2 - CDD(OPE ITEM)",1.0,,,,4.0,2.0,,,,,,,,7.0,6.0,Done,KKD-CRI-LIMIT,,,,1B,Credit & Digital Lending,,,,,Kartu Kredit,KK,Bunga/Biaya Lainnya,90.0
124.0,7208,"Card, Digital Lending & Assset","Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Request,Pengajuan Penghapusan Biaya Notifikasi,Nasabah Mengajukan Penghapusan Biaya Notifikasi Transaksi,,,,,No Change,,High,11 ~ 15,11.0,3.0,,T3.1 - CDD(OPE ITEM),1.0,,,,3.0,,,,,,,,,4.0,3.0,Done,KKD-PBK-KKPBK,,,,1B,Credit & Digital Lending,Kartu Kredit,Pemblokiran/Penutupan/perubahan rekening secara sepihak,Terkait Sistem Pembayaran,Pemahaman karakteristik produk oleh Konsumen,Kartu Kredit,KK,Bunga/Biaya Lainnya,90.0
125.0,7700,Funding & Retail Payment,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Fraud / Suspicious Transactions,Komplain Transaksi Kartu Kredit tidak di akui merchant BRI,Nasabah Melaporkan Sanggahan Transaksi Kartu Kredit BRI di Merchant BRI,,,1,"1. form sanggahan 
2. ktp kartu kredit",No Change,Move to FST,High,11 ~ 15,13.0,8.0,Notes: Membuat Pelaporan dengan call type 2203,"T3.1 - FST(TSC), T4.1 - CRS",1.0,,,,7.0,1.0,,,,,,,,9.0,8.0,Done,KKD-AKK-ACQPR,,,,1C,Credit & Digital Lending,Kredit/Pembiayaan Konsumsi,Jumlah Tagihan/Saldo Rekening,Terkait Sistem Pembayaran,Kelalaian Konsumen,Kartu Kredit,KK,Produk digunakan atau data disalahgunakan oleh orang lain,30.0
126.0,7701,"Card, Digital Lending & Assset","Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Fraud / Suspicious Transactions,Komplain Transaksi Tarik Tunai Kartu Kredit di ATM BRI Tidak Diakui (GIC - ORD),Nasabah Komplain Gagal Tarik Tunai Menggunakan Kartu Kredit di ATM BRI,,,1,"1. form sanggahan 
2. ktp kartu kredit",No Change,,Medium,6 ~ 10,8.0,8.0,,"T3.1 - CDD(OPE ITEM), Include POD(MSR)",1.0,,,,8.0,,,,,,,,,9.0,8.0,Done,KKD-OPS-ITEM,,,,1C,Credit & Digital Lending,Kredit/Pembiayaan Konsumsi,Jumlah Tagihan/Saldo Rekening,Terkait Sistem Pembayaran,Kelalaian Konsumen,Kartu Kredit,KK,Produk digunakan atau data disalahgunakan oleh orang lain,30.0
127.0,7702,"Card, Digital Lending & Assset","Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Fraud / Suspicious Transactions,Komplain Transaksi Tarik Tunai Kartu Kredit di ATM Bank Lain Tidak Diakui (GIC - ORD),Nasabah Komplain Gagal Tarik Tunai Menggunakan Kartu Kredit di ATM Bank Lain,,,1,"1. form sanggahan 
2. ktp kartu kredit",No Change,,Medium,6 ~ 10,7.0,,,"T3.1 - CDD(CHARGEBACK), T3.2 - CDD(OPE ITEM)",1.0,,,,4.0,3.0,,,,,,,,8.0,7.0,Done,KKD-RMG-CHARGEBACK,,,,1C,Credit & Digital Lending,Kredit/Pembiayaan Konsumsi,Jumlah Tagihan/Saldo Rekening,Terkait Sistem Pembayaran,Kelalaian Konsumen,Kartu Kredit,KK,Produk digunakan atau data disalahgunakan oleh orang lain,30.0
128.0,7703,Operational Risk,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Fraud / Suspicious Transactions,Komplain Transaksi Kartu Kredit tidak di akui merchant Bank Lain,Nasabah Melaporkan Sanggahan Transaksi Kartu Kredit BRI di Merchant Bank Lain,,,1,"1. form sanggahan 
2. ktp kartu kredit",No Change,Move to ORD,Medium,6 ~ 10,8.0,7.0,"Notes: Membuat Pelaporan dengan call type 2203, perlu konfirmasi dengan ORD","T3.1 - ORD(FBI), T3.2 - CDD(CHARGEBACK), T3.3 - CDD(OPE ITEM)",1.0,,,,3.0,3.0,2.0,,,,,,,9.0,8.0,Done,KKD-OPS-ITEM,,,,1C,Credit & Digital Lending,Kredit/Pembiayaan Konsumsi,Jumlah Tagihan/Saldo Rekening,Terkait Sistem Pembayaran,Kelalaian Konsumen,Kartu Kredit,KK,Produk digunakan atau data disalahgunakan oleh orang lain,30.0
129.0,7704,Operational Risk,Operational Risk,Individu Umum,Loans,Kartu Kredit,Fraud / Suspicious Transactions,Sanggahan Tarik Tunai Kartu (ATM BRI/bank Lain),Nasabah Melaporkan Sanggahan Transaksi tarik Tunai Kartu Kredit di ATM BRI/Bank Lain,,,1,"1. form sanggahan 
2. ktp kartu kredit",No Change,,Low,3 ~ 5,2.0,8.0,New Case Type -,T3.1 - ORD(FBI),1.0,,,,4.0,,,,,,,,,5.0,4.0,Partially Done,LCC-FBI,,,,1C,Credit & Digital Lending,Kartu Kredit,"Fraud, penipuan, kecurangan oleh pegawai dan/atau pihak lain",Terkait Sistem Pembayaran,Kelalaian Konsumen,Kartu Kredit,KK,Produk digunakan atau data disalahgunakan oleh orang lain,30.0
130.0,7705,"Card, Digital Lending & Assset","Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Complaint - Transaction,Transaksi Gagal di EDC Bank Lain Namun Ditagihkan,Nasabah Komplain Gagal Transaksi Kartu Kredit di EDC Bank Lain Namun ada Tagihan,,,1,"1. form sanggahan 
2. ktp kartu kredit",No Change,,Very Low,0 ~ 2,,8.0,New Case Type -,"T3.1 - CDD(CHARGEBACK), T3.2 - CDD(OPE ITEM)",1.0,,,,4.0,3.0,,,,,,,,8.0,7.0,Done,KD-RMG-CHARGEBACK,,,,1C,Credit & Digital Lending,Kartu Kredit,Kegagalan/Keterlambatan Transaksi,Terkait Sistem Pembayaran,Kelalaian Konsumen,Kartu Kredit,KK,Permasalahan/kerusakan pada Sistem Teknologi Informasi,20.0
131.0,7979,Resolution Center,Service & Contact Center - CCT,Korporasi,Savings,Giro,Inquiry,Nasabah Inti Kerjasama,Nasabah Inti Kerjasama (NIK) Menanyakan Informasi Pengunaan Cash Card,,,,,Move to Resolution Center,Move to CCT,Very Low,0 ~ 2,,19.0,,T1 - Agent CCT/Frontliner,1.0,,,,,,,,,,,,,1.0,,Done,LCC-CCTNIK,,,,1A,Regular Banking,,,,,Lainnya,XX,Lainnya,999.0
132.0,8001,Resolution Center,Service & Contact Center - CCT,All,Servicing,Government Programme,Third Party Support,Bansos-Pemindahan Kuota KPM,Nasabah Menanyakan Informasi pemindahan kuota KPM,,,,,Move to Resolution Center,Move to CCT,,,,,Done,T1 - Agent CCT/Frontliner,1.0,,,,,,,,,,,,,1.0,,Done,LCC-CCTNIK,,,,1A,Regular Banking,,,,,Lainnya,XX,Lainnya,999.0
133.0,8004,Funding & Retail Payment,Transaction Banking,Korporasi,Transaction Banking,Merchant Solutions,Platform & Device Support,Permasalahan BRIMOLA,Nasabah komplain terkait kendala Aplikasi BRIMOLA,,,,,Move to FST,Move to FST,Very Low,0 ~ 2,,,,T3.1- FST(MIM),1.0,,,,5.0,,,,,,,,,6.0,5.0,,KJT,,,,1B,Regular Banking,Electronic Banking,,,Gangguan / kerusakan perangkat dan sistem teknologi informasi,Lainnya,XX,Lainnya,999.0
134.0,8005,Funding & Retail Payment,Service & Contact Center - CCT,UMKM,Transaction Banking,Merchant Solutions,Platform & Device Support,Permasalahan GOVSTORE,Nasalah Komplain Permasalahan BRIstore/Merchant Kerjasama BRI,,,,,,,,,1.0,1.0,Done,T3.1- FST(MIM),1.0,,,,1.0,,,,,,,,,2.0,1.0,,LCC-CCTNIK,,,,1B,Regular Banking,,,,,Lainnya,XX,Permasalahan/kerusakan pada Sistem Teknologi Informasi,20.0
135.0,8008,Resolution Center,Service & Contact Center - CRS,Individu Umum,Servicing,Kartu Debit,Complaint - Non-Transaction,Permintaan Kartu ATM Kondisi Urgent,Nasabah Komplain Tidak Mendapatkan Kartu Debit Saat Datang ke Unit Kerja,,,,,Move to Resolution Center,,Low,3 ~ 5,3.0,14.0,,"T2.1 - CRS, T2.2 - Branch(Uker)",1.0,1.0,4.0,,,,,,,,,,,6.0,5.0,Done,LCC-CRC,,,,1B,Regular Banking,ATM,Kegagalan/Keterlambatan Transaksi,Terkait Sistem Pembayaran,Gangguan / kerusakan perangkat dan sistem teknologi informasi,ATM dan/atau Kartu Debet,AD,Lainnya,999.0
136.0,8102,Resolution Center,Service & Contact Center - CRS,All,Loans,"KPR, KUR, KMK, KI",Inquiry,Permasalahan Pinjaman (permintaan untuk penyesuaian ketentuan produk pinjaman),"Nasabah Menanyakan Cara, Syarat & Ketentuan Terkait Produk Pinjaman",,,,,Move to Resolution Center,,Very Low,0 ~ 2,,10.0,"Sub: TBC, notes: perlu ada call type khusus terkait Komplain",T1 - Agent CCT/Frontliner,1.0,,,,,,,,,,,,,1.0,,Done,LCC-CRC,,,,1A,Regular Banking,Kredit/Pembiayaan Kendaraan Bermotor,,,Pemahaman karakteristik produk oleh Konsumen,Lainnya,XX,Perubahan/Pemutusan Akad/Perjanjian/Kontrak,20.0
137.0,8103,Resolution Center,Service & Contact Center - CCT,Individu Umum,Servicing,Mobile Banking,Platform & Device Support,Aplikasi Qlola Mobile,Nasabah Komplain Terkait Menu Qlola,,,,,,,,,1.0,1.0,Done,T3.1 - TVC,1.0,,,,1.0,,,,,,,,,2.0,1.0,,TVC,,,,1B,Regular Banking,Sistem Pembayaran Lainnya,Lain-Lain : QIOLA APPS,Terkait Sistem Pembayaran,Gangguan / kerusakan perangkat dan sistem teknologi informasi,E - Commerce,EC,Permasalahan/kerusakan pada Sistem Teknologi Informasi,20.0
138.0,8104,Investment Service,Investment Service,Individu Umum,Servicing,Trustee & Wali Amanat,Complaint - Transaction,Trustee & Wali Amanat,Nasabah Menanyakan dan Komplain Mengenai Trustee dan Wali Amanat,1.0,"1. Informasi Jasa Layanan Trustee/Agen Penampungan/Agen Pembayaran
2. Distribusi Dana Trustee Tidak Sesuai PKS 
3. Reporting Transaksi Trustee
4. Informasi Umum Trustee
5. Informasi Jasa Layanan Wali Amanat
6. Informasi Umum Wali Amanat ",,,,,,,,,Done,T3.1 - INV(TCS),1.0,,,,10.0,,,,,,,,,11.0,10.0,,INV - TWA,,,,1B,Regular Banking,,,,,,,,
139.0,8105,Resolution Center,Service & Contact Center - CRS,Individu Umum,Investment,SBN,Products / Promotion Inquiry,"TRUSTEE, KUSTODIAN, ORI, SUBSIDIARIES","Nasabah Menanyakan Cara, Syarat & Ketentuan Terkait Produk Investasi",1.0,"1. Breakdown by Investment Product
2. Potential to generate leads",,,Move to Resolution Center,,Medium,6 ~ 10,9.0,6.0,"Sub: Breakdown by Investment Product, Potential to generate leads",T2.1- CRS,1.0,1.0,,,,,,,,,,,,2.0,1.0,Done,LCC-CCTNIK,,,,1B,Regular Banking,Pengelolaan Portofolio Efek Untuk Kepentingan Nasabah Secara Individual (KPD),,,Pemahaman karakteristik produk oleh Konsumen,Lainnya,XX,Lainnya,999.0
140.0,8106,Investment Service,Investment Service,Individu Umum,Investment,DPLK,Complaint - Transaction,DPLK Dana Pensiun Lembaga Keuangan (complain terkait DPLK),Nasabah Komplain Terkait Dana Pensiun Lembaga Keuangan (DPLK),1.0,"1. Claim DPLK Belum Terbayarkan
2. Progress Perubahan Jenis Investasi
3. Penarikan Sebagian Belum Terbayarkan
4. Dana Pengalihan Masuk/Keluar Belum Berhasil
5. Iuran DPLK Belum Masuk ke Rekening DPLK
6. Pengiriman Ulang Portfolio/E-Statement DPLK
7. Bukti potong pajak pembayaran DPLK",,,,,Very Low,0 ~ 2,1.0,9.0,,T3.1 - INV(DPLK),1.0,,,,9.0,,,,,,,,,10.0,9.0,Done,DIS-DPLK,,,,1B,Regular Banking,Pengelolaan Portofolio Efek Untuk Kepentingan Nasabah Secara Individual (KPD),,,Pemahaman karakteristik produk oleh Konsumen,Lainnya,XX,Lainnya,999.0
141.0,8107,Transaction Banking,Transaction Banking,Korporasi,Servicing,Cash Management,Complaint - Non-Transaction,Pendaftaran User BRICAMS,Nasabah Mengajukan Pendaftaran User BRICAMS/Gagal Login,,,,,,,,,3.0,3.0,Done,T3.1-TRB(OHD),1.0,,,,3.0,,,,,,,,,4.0,3.0,,TRB,,,,1B,Regular Banking,Sistem Pembayaran Lainnya,Lain-Lain : QIOLA APPS,Terkait Sistem Pembayaran,Gangguan / kerusakan perangkat dan sistem teknologi informasi,E - Commerce,EC,Perubahan/Pemutusan Akad/Perjanjian/Kontrak,20.0
142.0,8108,Resolution Center,Service & Contact Center - CCT,Korporasi,Servicing,Cash Management,Platform & Device Support,Menu Layanan Qlola Apps,Nasabah Menanyakan Informasi Menu Layanan Qlola Apps,,,,,Move to Resolution Center,,Very Low,0 ~ 2,1.0,1.0,,T1 - Agent CCT/Frontliner,1.0,,,,,,,,,,,,,1.0,,Done,TVC,,,,1A,Regular Banking,Sistem Pembayaran Lainnya,Lain-Lain : QIOLA APPS,Terkait Sistem Pembayaran,Pemahaman karakteristik produk oleh Konsumen,E - Commerce,EC,Permasalahan/kerusakan pada Sistem Teknologi Informasi,20.0
143.0,8109,Resolution Center,Treasury Business,Korporasi,Servicing,Cash Management,Inquiry,Pembelian Valas via Qlola APPS,Nasabah Menanyakan Informasi Pembelian Valas via Qlola APPS,,,,,Move to Resolution Center,,Very Low,0 ~ 2,,1.0,,T1 - Agent CCT/Frontliner,1.0,,,,,,,,,,,,,1.0,,Done,TRB,,,,1A,Regular Banking,,,,,E - Commerce,EC,Permasalahan/kerusakan pada Sistem Teknologi Informasi,20.0
144.0,8110,Transaction Banking,Transaction Banking,Korporasi,Servicing,Cash Management,Complaint - Transaction,"Gagal generate kode Reference Qlola Remittance, namun dana terdebet","Nasabah komplain gagal generate code reference Qlola Remittance, namun dana terdebet",,,,,,,Medium,6 ~ 10,7.0,14.0,,T3.1-TRB(OHD),1.0,,,,3.0,,,,,,,,,4.0,3.0,Done,TRB,,,,1B,Regular Banking,Sistem Pembayaran Lainnya,Lain-Lain : QIOLA APPS,Terkait Sistem Pembayaran,Gangguan / kerusakan perangkat dan sistem teknologi informasi,E - Commerce,EC,Permasalahan/kerusakan pada Sistem Teknologi Informasi,20.0
145.0,8111,Transaction Banking,Transaction Banking,Korporasi,Servicing,Cash Management,Complaint - Transaction,Qlola Cash & Trade Transaksi,Nasabah komplain terkait kendala transaksi Qlola Cash & Trade Transaksi,,,,,,,Medium,6 ~ 10,8.0,14.0,,T3.1-TRB(OHD),1.0,,,,3.0,,,,,,,,,4.0,3.0,Done,TRB,,,,1B,Regular Banking,Sistem Pembayaran Lainnya,Lain-Lain : QIOLA APPS,Terkait Sistem Pembayaran,Gangguan / kerusakan perangkat dan sistem teknologi informasi,E - Commerce,EC,Permasalahan/kerusakan pada Sistem Teknologi Informasi,20.0
146.0,8112,Transaction Banking,Transaction Banking,Korporasi,Servicing,Cash Management,Fraud / Suspicious Transactions,Bank Garansi Palsu Qlola Apps,Nasabah melaporkan dugaan bank garansi palsu pada QLOLA Apps,,,,,,,,,5.0,5.0,Done,T3.1-TRB(OHD),1.0,,,,5.0,,,,,,,,,6.0,5.0,,TRB,,,,1B,Regular Banking,,,,,E - Commerce,EC,Permasalahan/kerusakan pada Sistem Teknologi Informasi,20.0
147.0,8113,Funding & Retail Payment,Transaction Banking,UMKM,Transaction Banking,Merchant Solutions,Complaint - Transaction,Konfirmasi Pembayaran dari Pangkalan ke Agen LPG via BRIMOLA,Nasabah menanyakan Konfirmasi Transaksi Pembayaran dari Pangkalan ke Agen LPG via BRIMOLA,,,,,No Change,Move to FST,Medium,6 ~ 10,6.0,14.0,Diskusi dengan DDB,T.3.1-FST(MIM),1.0,,,,5.0,,,,,,,,,6.0,5.0,,RPT-MCO,,,,1B,Regular Banking,Sistem Pembayaran Lainnya,Lain-Lain : QIOLA APPS,Terkait Sistem Pembayaran,Gangguan / kerusakan perangkat dan sistem teknologi informasi,E - Commerce,EC,Permasalahan/kerusakan pada Sistem Teknologi Informasi,20.0
148.0,8114,Transaction Banking,Transaction Banking,Korporasi,Servicing,Cash Management,Request,Reset user Qlola yang terblokir,"Nasabah komplain terkait username, password, reset atau sistem aplikasi down",,,,,,,,,,,Done,T1 - Agent CCT/Frontliner,1.0,,,,,,,,,,,,,1.0,,,TRB,,,,1A,Regular Banking,,,,,E - Commerce,EC,Lainnya,999.0
149.0,8115,Transaction Banking,Transaction Banking,Korporasi,Servicing,Cash Management,Complaint - Transaction,Permasalahan Cash Billing Management,"Nasabah komplain terkait invoice belum muncul, mutasi belum terupdate, rekening pinjaman belum aktif pada Cash Billing Management",,,,,,,,,3.0,3.0,Done,T3.1-TRB(OHD),1.0,,,,3.0,,,,,,,,,4.0,3.0,,TRB,,,,1B,Regular Banking,Electronic Banking,Kegagalan/Keterlambatan Transaksi,Terkait Sistem Pembayaran,Gangguan / kerusakan perangkat dan sistem teknologi informasi,E - Commerce,EC,Permasalahan/kerusakan pada Sistem Teknologi Informasi,20.0
150.0,8118,Transaction Banking,Transaction Banking,Korporasi,Servicing,Cash Management,Complaint - Transaction,Qlola Cash & Trade BRIVA,Nasabah komplain terkait pembayaran BRIVA,,,,,Move to Resolution Center,,Extremely High,21 ~ 70,44.0,3.0,,T3.1-TRB(OHD),1.0,,,,3.0,,,,,,,,,4.0,3.0,Done,TRB,,,,1B,Regular Banking,Sistem Pembayaran Lainnya,Lain-Lain : QIOLA APPS,Terkait Sistem Pembayaran,Gangguan / kerusakan perangkat dan sistem teknologi informasi,E - Commerce,EC,Permasalahan/kerusakan pada Sistem Teknologi Informasi,20.0
151.0,8124,Transaction Banking,Transaction Banking,Korporasi,Servicing,Cash Management,Complaint - Non-Transaction,Pembukaan Rekening GIRO via Qlola,Nasabah komplain terkait pembukaan rekening GIRO gagal terbentuk via website Qlola,,,,,,,,,5.0,5.0,Done,T3.1-TRB(OHD),1.0,,,,5.0,,,,,,,,,6.0,5.0,,TRB,,,,1B,Regular Banking,,,,,,,,
152.0,8200,Resolution Center,Micro Business,Individu Umum,Savings,Tabungan,Complaint - Transaction,"Digital Saving Simpedes (Bayar BRIVA, Gagal terbentuk)",Nasabah Komplain Gagal Proses Pembukaan Rekening Digital Saving - Simpedes,,,,,Move to Resolution Center,,Extremely High,21 ~ 70,26.0,5.0,Proposed to merge with 8203 tapi menunggu konfirmasi dari FST terkait proses di belakang,T3.1 - MBD,1.0,,,,5.0,,,,,,,,,6.0,5.0,Partially Done,MBD,,,,1B,Regular Banking,Tabungan,,,Gangguan / kerusakan perangkat dan sistem teknologi informasi,Delivery Channel - Internet banking,IB,Permasalahan/kerusakan pada Sistem Teknologi Informasi,20.0
153.0,8201,Resolution Center,Service & Contact Center - CCT,Individu Umum,Savings,Tabungan,Inquiry,"Informasi Status rekening, limitasi, penyetoran, no rekening tujuan",Nasabah Menanyakan Informasi Terkait Transaksi & Limitasi Rekening Simpanan,1.0,"1. Status rekening
2. limitasi
3. Setoran Awal
4. Penjelasan transaksi",,,Move to Resolution Center,,Very Low,0 ~ 2,,,"Sub: Status rekening, limitasi, Setoran Awal, Penjelasan transaksi",T1 - Agent CCT/Frontliner,1.0,,,,,,,,,,,,,1.0,,Done,LCC-CCTCALL,,,,1A,Regular Banking,ATM,,,Pemahaman karakteristik produk oleh Konsumen,ATM dan/atau Kartu Debet,AD,Lainnya,999.0
154.0,8202,Resolution Center,Service & Contact Center - CCT,All,Servicing,"Informasi Promo, Program, Produk",Products / Promotion Inquiry,Informasi Product Banking,Nasabah Menanyakan Informasi Product / Program Banking,,,,,Move to Resolution Center,,Very Low,0 ~ 2,,,,T1 - Agent CCT/Frontliner,1.0,,,,,,,,,,,,,1.0,,Done,LCC-CCTCALL,,,,1A,Regular Banking,Tabungan,,,Pemahaman karakteristik produk oleh Konsumen,ATM dan/atau Kartu Debet,AD,Lainnya,999.0
155.0,8203,Funding & Retail Payment,Funding & Retail Payment,Individu Umum,Savings,Digital Savings,Complaint - Transaction,Digital Saving Britama/Giro,Nasabah Komplain Gagal Proses Pembukaan Rekening Digital Saving,1.0,"1. Pembayaran sudah berhasil rekening gagal terbentuk
2. Setoran Awal Belum Masuk ke Rekening
3. Tidak Terima Email Pembentukan Rekening
4. Gagal Bayar BRIVA",,,No Change,,Medium,6 ~ 10,7.0,5.0,"Sub: Pembayaran sudah berhasil rekening gagal terbentuk, Setoran Awal Belum Masuk ke Rekening, Tidak Terima Email Pembentukan Rekening, Gagal Bayar BRIVA",T3.1 - FST(MIM),1.0,,,,5.0,,,,,,,,,6.0,5.0,Partially Done,Mass Banking,,,,1B,Regular Banking,Tabungan,,,Gangguan / kerusakan perangkat dan sistem teknologi informasi,Delivery Channel - Internet banking,IB,Permasalahan/kerusakan pada Sistem Teknologi Informasi,20.0
156.0,8204,Resolution Center,Service & Contact Center - SIA,All,Servicing,Servicing - Layanan Contact Center,Customer Feedback / Sentiment Monitoring,Saran Nasabah Layanan Unit Kerja,Nasabah Komplain Terkait Layanan Unit Kerja,,,,,Move to Resolution Center,Stay in SIA,Medium,6 ~ 10,6.0,7.0,,"T2.1 - SIA, T2.2 - Branch(Uker)",1.0,1.0,5.0,,,,,,,,,,,7.0,6.0,Done,LCC-IML,,,,1B,Regular Banking,Penghimpunan Dana Lainnya,,,Lainnya : Kepuasan Nasabah Terhadap Layanan,Lainnya,XX,Lainnya,999.0
157.0,8205,Resolution Center,Service & Contact Center - QAS,All,Servicing,Servicing - Layanan Contact Center,Customer Feedback / Sentiment Monitoring,Saran Nasabah layanan Contact Center,Nasabah Komplain Terkait Layanan Contact Center,,,,,Move to Resolution Center,Stay in QAS,High,11 ~ 15,12.0,3.0,,"T2.1 - QAS, Include Infomedia",1.0,2.0,,,,,,,,,,,,3.0,2.0,Done,LCC-QSC,,,,1B,Regular Banking,Penghimpunan Dana Lainnya,,,Lainnya : Kepuasan Nasabah Terhadap Layanan,Lainnya,XX,Lainnya,999.0
