Call Type Number,Active,Send to Drone?,Additional Details (Formulir Detail),Customer Segment,Product,Sub Product,Case Category,Case Type Description,Sub-Description,List of Required Documents,Team Name,Agent SLA,Level 1 OLA,Level 1 Escalation Team,Level 2 OLA,Level 2 Escalation Team,Level 3 OLA,Level 3 Escalation Team,Level 4 OLA,Level 4 Escalation Team,Total SLA,Total OLA,Maker,Checker,Signer,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,external_id
1015,TRUE,FALSE,"Nasabah melakukan pembayaran tagihan Akun CERIA
Tagihan bulan      : … ( b/s cycle )
Tanggal                : …
Nominal               : Rp. …
Kode BRIVA :
Melalui                 : ( sms banking, terminal ATM, phone banking, teller )
Dokumen yang dibutuhkan : bukti transaksi & Screen Capture aplikasi
ID CERIA :
NO Hp yang didaftarkan :

Tolong bantuannya untuk tindak lanjut. 
Terima kasih.",Individu Umum,Loans,KTA - Digital,Complaint - Transaction,Nasabah Komplain Pembayaran Tagihan CERIA Melalui BRIVA Tidak Berhasil ,,"1. ss home ceria
2. ss tagihan ceria 
3. selfie ktp 2 sisi
4. ktp",,1.0,4.0,DDB - Helpdesk,2.0,DDB - Operational,,,,,7.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1015
1016,TRUE,FALSE,"Nasabah mengajukan complain  autodebet ( tidak didebet/ terdebet …. Kali )
ID CERIA : 
NO HP yang terdaftar : 
Nomer Rekening :
Atas Nama :
Nominal yang di debet : 
Saldo rekening saat ini : (Cek Via Agent Leader)
Nominal saldo yang sudah dihold : (Cek Via Agent Leader)

Catat informasi dari nasabah (saldo tersedia/tidak)
Mohon ditindaklanjuti terima kasih

Note : 
Pastikan saldo rekening tersedia dan mencukupi (termasuk saldo minimum rekening Rp50.000,-)",Individu Umum,Loans,KTA - Digital,Complaint - Transaction,Nasabah Komplain Gagal Autodebet Pembayaran Tagihan CERIA,,"1. ss home ceria
2. ss tagihan ceria 
3. selfie ktp 2 sisi
4. ktp",,1.0,3.0,DDB - Helpdesk,2.0,DDB - Operational,,,,,6.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1016
1017,TRUE,FALSE,"Alasan pembatalan aplikasi, apakah sudah mendapatkan limit, apakah masih ada tagihan atau cicilan yang sedang berjalan. Dokumen pendukung (Screen capture info tagihan)",Individu Umum,Loans,KTA - Digital,Request,Nasabah Mengajukan Penutupan & Pembatalan Akun CERIA,,"1. ss home ceria
2. ss tagihan ceria 
3. selfie ktp 2 sisi
4. ktp",,1.0,4.0,DDB - Helpdesk,3.0,CDD - Clf-1 Credit Card Init - DATAM,,,,,8.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1017
1018,TRUE,FALSE,,Individu Umum,Loans,KTA - Digital,Complaint - Transaction,Nasabah Komplain Pembayaran Tagihan Ceria Non BRIVA Tidak Berhasil,,,,1.0,3.0,DDB - Helpdesk,2.0,DDB - Operational,,,,,6.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1018
1020,TRUE,FALSE,"Nasabah mengajukan pergantian Nomor rekening auto debet CERIA
Dari (rekening lama) :
Menjadi (rekening baru) : 
Alasan :
Alamat email untuk kirim dokumen :
Tolong bantuannya untuk tindak lanjut. 
Dokumen yang dibutuhkan : 
(Screen Capture dari aplikasi CERIA (pada menu PROFILE) Buku tabungan tampak depan, Foto KTP nasabah, Surat pernyataan, dan foto selfie)

Mohon bantuannya. Terima kasih.",Individu Umum,Loans,KTA - Digital,Request,Nasabah Mengajukan Perubahan Data Nomor Rekening CERIA,,"1. ss home ceria
2. ss tagihan ceria 
3. selfie ktp 2 sisi
4. ktp",,1.0,3.0,DDB - Helpdesk,5.0,CDD - Clf-1 Credit Card Init - DATAM,,,,,9.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1020
1024,TRUE,FALSE,"Nasabah menanyakan:
Billing statement / Informasi Tagihan, Status Pembayaran,
Sisa limit, Fee, Bunga, Late charge / akurasi jumlah tagihan
(Sudah informasikan cara pengecekan Billing Statement melalui aplikasi CERIA)",Individu Umum,Loans,KTA - Digital,Request,Nasabah Mengajukan Permintaan Billing Statement CERIA,,,,1.0,2.0,DDB - Helpdesk,2.0,DDB - Operational,,,,,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024
1025,TRUE,FALSE,,Individu Umum,Loans,KTA - Digital,Inquiry,Nasabah Menanyakan Informasi Kenaikan Limit CERIA,,,,1.0,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1025
1027,TRUE,FALSE,"Nasabah meminta surat Kolektabilitas lancar :
ID CERIA :
NO HP yang terdaftar :
Alasan pengajuan :
(dokumen surat pernyataan dan Screen Capture info tagihan dari aplikasi CERIA)
Mohon Bantuan untuk tindaklanjut",Individu Umum,Loans,KTA - Digital,Request,Nasabah Mengajukan Surat Keterangan Lunas Kolektibilitas produk CERIA,,"1. ss home ceria
2. ss tagihan ceria 
3. selfie ktp 2 sisi
4. ktp",,1.0,8.0,CDD - Coll Card & Digital Lending-CERIA,,,,,,,9.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1027
1028,TRUE,FALSE,"Nasabah mengajukan keringan pembayaran/Penjadwalan Ulang Tagihan (reschedule)
ID CERIA :
NO Hp yg didaftarkan:
Alasan :
Nasabah masih aktif bekerja/tidak :
Keterangan alamat kantor/rumah/nomor telpon yang baru :

Dokumen yang akan dikirimkan :
Surat permohonan nasabah dan/ atau penanggung atau ahli waris,
Fotocopy KTP Nasabah dan atau penanggung atau ahli waris,
tagihan yang lain (jika dibutuhkan)
screen capture yang menunjukkan kolektibilitas tidak lancar pada aplikasi CERIA",Individu Umum,Loans,KTA - Digital,Request,Nasabah Mengajukan Keringanan Bayar CERIA,"1. Reschedule
2. Pelunasan Dengan Discount","1. ss home ceria
2. ss tagihan ceria 
3. selfie ktp 2 sisi
4. ktp",,1.0,7.0,CDD - Coll Card & Digital Lending-CERIA,3.0,DDB - Operational,,,,,11.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1028
1036,TRUE,FALSE,"Nasabah mengajukan Penghapusan: denda keterlambatan / bunga
ID CERIA :
NO HP yg terdaftar :
Tagihan bulan : ( b/s cycle )
Nominal : Rp . …
Alasan pengajuan : ...
Keterangan tambahan: ( jika tidak ada, field ini dikosongkan )
Tolong bantuannya untuk tindak lanjut.
Terima kasih.",Individu Umum,Loans,KTA - Digital,Request,"Nasabah Mengajukan Penghapusan Bunga, Denda Keterlambatan produk CERIA",,"1. ss home ceria
2. ss tagihan ceria 
3. selfie ktp 2 sisi
4. ktp",,1.0,8.0,CDD - Coll Card & Digital Lending-CERIA,,,,,,,9.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1036
1038,TRUE,FALSE,"Nasabah melaporkan tidak memiliki akun CERIA namun menerima Dana dari CERIA
Nominal dana yang diterima :
Tanggal dana masuk dari CERIA :
No Hp nasabah :
ID CERIA (lihat di Library) :
Keterangan tambahan :

Copy mutasi transaksi dari CHS
(Sarankan kirim dokumen : Surat pernyataan, Foto KTP, Foto KTP & Selfie)

Nasabah melaporkan tidak memiliki akun CERIA namun rekening terdebet untuk pembayaran CERIA
Nominal dana yang didebet :
Tanggal transaksi didebet :
No HP Nasabah :
Nomor rekening yang terdaftar :
ID CERIA (lihat di Library) :
Keterangan tambahan :

Copy mutasi transaksi dari CHS
(Sarankan kirim dokumen : Surat pernyataan, Foto KTP, Foto KTP & Selfie)",Individu Umum,Loans,KTA - Digital,Fraud / Suspicious Transactions,Nasabah Melaporkan Sanggahan Transaksi CERIA,,"1. ss home ceria
2. ss tagihan ceria 
3. selfie ktp 2 sisi
4. ktp",,1.0,3.0,DDB - Helpdesk,2.0,ORD - Fraud Management & Recovery Desk,2.0,CDD - ACU - CHARGEBACK,,,8.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1038
1100,TRUE,FALSE,"Nasabah menanyakan syarat dan ketentuan mengajukan kartu kredit BRI, sudah dijelaskan mengenai …
(diisi sesuai dengan penjelasan yang diberikan)

rilis
Nasabah menanyakan status aplikasi kartu kredit.
Sudah di infokan oleh CSR status kartu kredit yang dimaksud.
Copy dari LOS.","Individu Umum, Individu Priority & Private",Loans,Kartu Kredit,Inquiry,Nasabah Menanyakan Pengajuan Terkait Produk Kartu Kredit,"1. Cara, Syarat & Ketentuan
2. Status
3. Pembatalan",,,1.0,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100
1101,TRUE,FALSE,"Nasabah melaporkan tidak merasa pengajuan/memiliki/menggunakan kartu kredit BRI
Nasabah melaporkan tidak merasa pengajuan/memiliki/menggunakan kartu kredit BRI
namun cek cardlink/LOS sudah ada pengajuan/memiliki/tagihan kartu kredit BRI
Informasi data nasabah :
Nama Lengkap :
Tanggal Lahir :
Nomor KTP :
Alamat rumah :
Nomo kartu kredit yang terdaftar :
Nomor Hp yang aktif :
Copy Cur Ball dan 24 month profile dari PCHI
(sudah sarankan kirim dokumen : KTP, selfi dg ktp, surat pernyataan kronologis, surat keterangan bekerja masih aktif)",Individu Umum,Loans,Kartu Kredit,Fraud / Suspicious Transactions,Nasabah Melaporkan Sanggahan Kepemilikan Kartu Kredit,,1. Surat Pernyataan Nasabah,,1.0,14.0,ORD - Fraud Management & Recovery Desk,,,,,,,15.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1101
1201,TRUE,FALSE,"Sudah ada hasil status pengajuan kartu kredit Co Branding di LOS :

Nasabah menanyakan status pengajuan aplikasi kartu kredit
Pengajuan melalui apa:
Pengajuan ditanggal berapa:
Nomor KTP:
Nomor Ponsel yang didaftarkan:
Sudah infokan hasil pengajuan ( infokan sesuai LOS )
( Copy paste hasil pengecekan LOS )


Complain kendala pada saat pengajuan Kartu Co Branding :
Nasabah Complain tidak dapat pengajuan Co Branding :
Jenis kartu Co Branding :
Alasan :
Respon yang muncul di aplikasi :
Digital Sign : ( terima / tidak terima )
Alamat email :
No Hp yang terdaftar di aplikasi :
Keterangan tambahan :",Individu Umum,Loans,Kartu Kredit,Complaint - Non-Transaction,Nasabah Komplain Pengajuan Aplikasi Kartu Kredit Co-Branding,,,,1.0,10.0,CDD - Business Partnership Team - PRN,,,,,,,11.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1201
1202,TRUE,FALSE,"Nasabah mengajukan permintaan kartu pendamping
Jenis Kartu : ……

Mohon untuk ditindaklanjuti. Terima kasih
Cantumkan Month Profile

Nasabah mengajukan permintaan kartu tambahan
Nama calon pemegang kartu tambahan : ……
Status Hubungan dengan calon pemegang kartu tambahan : misal suami/ istri/ anak

CSR sudah menyarankan mengirimkan dokumen berupa KTP calon pemegang kartu tambahan.
Mohon untuk ditindaklanjuti. Terima kasih",Individu Umum,Loans,Kartu Kredit,Request,Nasabah Mengajukan Kartu Kredit Tambahan,"1. Add-on Basic
2. Add-on Supplement",1. ktp orang tambahan,,1.0,1.0,CDD - Clf-1 Credit Card Init - SSU,2.0,CDD - Clf-1 Credit Card Init - Verif,2.0,CDD - Clf-1 Credit Card Init - Analyst,,,6.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1202
1203,TRUE,FALSE,"Aktivasi kartu kredit < 6 bulan
No kartu kredit Utama /tambahan:
Nama pemegang kartu:
EXP Kartu :
Jam aktifasi :
Data Verifikasi : sesuai / tidak sesuai
salin status kartu kredit screen (PCHI) dan status cetak PIN di screen PCIH",Individu Umum,Loans,Kartu Kredit,Request,Nasabah Mengajukan Aktivasi Kartu Kredit,"1. Nomor Terdaftar
2. Nomor tidak Terdaftar",,,1.0,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1203
1204,TRUE,FALSE,"Nasabah mengajukan aktivasi kartu kredit tetapi nomor telepon tidak sesuai dengan cardlink
Nomor yang digunakan untuk menghubungi :
salin status kartu kredit screen (PCHI)",Individu Umum,Loans,Kartu Kredit,Request,Nasabah Mengajukan Aktivasi Kartu Kredit Melalui Petugas Proaktivasi,,,,1.0,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1204
1210,TRUE,FALSE,,Individu Umum,Servicing,Mobile Banking,Platform & Device Support,Nasabah gagal daftar BRIMO dan dihubungi oleh Agent untuk dipandu registrasi,,,,1.0,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1210
1211,TRUE,FALSE,"Nasabah ingin mengikuti program .....
Nomor telp yang bisa dihubungi : ....

Mohon bantuan tindak lanjut. Terima kasih.

Copy Month Profile PCHI","Individu Umum, Individu Priority & Private",Loans,Kartu Kredit,Request,Nasabah Mengajukan Cicilan Kartu Kredit Melalui Telesales,"1. Transaksi >7 Hari
2. Pengajuan Loan on Phone",,,1.0,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1211
1600,TRUE,FALSE,"Nasabah menanyakan/komplain promo/fitur kartu kredit …..:
Informasi di library : …………….
Sudah dijelaskan sesuai pertanyaan nasabah/pemegang kartu
(mhn dilakukan tindaklanjuti, jika informasi yang ditanyakan nsb tidak ada di library)
nomor ponsel nasabah yang bisa dihubungi :

copas mths profile pchi",Individu Umum,Loans,Kartu Kredit,Products / Promotion Inquiry,"Nasabah Menanyakan Informasi Promo, Program, dan Asuransi Kartu Kredit","1. Program
2. Promo
3. Asuransi",,,1.0,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600
1700,TRUE,FALSE,"Nasabah mengajukan pendaftaran asuransi
Nama asuransi :
Nomor telepon yang bisa dihubungi :
Copy month profile pchi",Individu Umum,Loans,Kartu Kredit,Third Party Support,Nasabah Mengajukan Pendaftaran Kepesertaan Asuransi Kerja Sama Kartu Kredit,,,,1.0,8.0,CDD - Strgy&Prod Credit Card&Dgtl Lend,,,,,,,9.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700
1701,TRUE,FALSE,"Nasabah mengajukan pembatalan asuransi….(nama asuransinya)
Alasan :
Solusi : Menyarankan menghubungi Perusahaan Asuransi
Copy PCHI Month Profile",Individu Umum,Loans,Kartu Kredit,Request,Nasabah Mengajukan Pembatalan Kepesertaan Asuransi Kerja Sama Kartu Kredit,,,,1.0,8.0,CDD - Strgy&Prod Credit Card&Dgtl Lend,,,,,,,9.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1701
1703,TRUE,FALSE,"CH bersedia ikut program Loan On Phone melalui Telesales
Nama Ch :
Nomor Rekening :
Dana ditransfer :
Tenor :
Bunga :
Cicilan per bulan :
Administrasi :
Exp date :
AVL INSTL :


Copy month profile pchi",Individu Umum,Loans,Kartu Kredit,Request,Telesales Melakukan Penawaran Pencairan Dana Tunai Kartu Kredit,"1. Nasabah Setuju
2. Nasabah Tidak Setuju",,,1.0,6.0,CDD - Business Operation Team - MSU,,,,,,,7.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1703
1707,TRUE,FALSE,"Nasabah mengajukan cicilan Belanja Ringan untuk transaksi
Tanggal : (ddmmyy)
Nama merchant/Lokasi :
Nominal :
Tenor : 6 Bulan
Bunga :
Cicilan per-bulan :
Exp Date Kartu :
Biaya admin :
Kode Approval Transaksi :
Status Transaksi : PCSD/PCTD/PCAI

 
Syarat dan ketentuan yang berlaku disetujui oleh nasabah.
 
Tolong bantuannya untuk tindak lanjut.
Terima kasih.

copy avail installment PCIC
copy month profile PCHI",Individu Umum,Loans,Kartu Kredit,Request,Nasabah Mengajukan Cicilan atas Transaksi kartu Kredit,"1. Cicilan 6 bulan
2. Cicilan 12 bulan
3. Cicilan Promo",,,1.0,5.0,CDD - Business Operation Team - MSU,,,,,,,6.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1707
1708,TRUE,FALSE,"Nasabah mengajukan pelunasan awal cicilan Belanja Ringan untuk transaksi

Nama Merchant :
Tanggal Transaksi :
Nominal Transaksi :
Tenor :
Bunga :
Kode Approval Cicilan :
Cicilan per-bulan :
Alasan Preterminated :
Nominal refund :
Sisa Cicilan :
Pinalti :
Sisa bunga yang belum tertagih :
Koreksi Biaya admin :
Koreksi bunga yang sudah tertagih :


Syarat dan ketentuan yang berlaku disetujui oleh nasabah.

Tolong bantuannya untuk tindak lanjut.
Terima kasih.
copy month profile PCHI","Individu Umum, Individu Priority & Private",Loans,Kartu Kredit,Request,Nasabah Mengajukan Pembatalan Cicilan Terhadap Transaksi Kartu Kredit,"1. Refund Merchant
2. Dobel Cicilan
3. Error Cicilan",,,1.0,3.0,CDD - Business Operation Team - MSU,2.0,CDD - ACU - OTO,,,,,6.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1708
1709,TRUE,FALSE,,"Individu Umum, Individu Priority & Private",Loans,Kartu Kredit,Request,Nasabah Mengajukan Pelunasan Awal Cicilan,,"1. surat pernyataan
2. ktp
3. kartu kredit",,1.0,3.0,CDD - Business Operation Team - MSU,3.0,CDD - ACU - OTO,,,,,7.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1709
1710,TRUE,FALSE,,Individu Umum,Loans,Kartu Kredit,Request,Nasabah Mengajukan Cicilan Promo,,,,1.0,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1710
1711,TRUE,FALSE,"Nasabah mengajukan pelunasan awal cicilan Belanja Ringan untuk transaksi

Nama Merchant :
Tanggal Transaksi :
Nominal Transaksi :
Tenor :
Bunga :
Kode Approval Cicilan :
Cicilan per-bulan :
Alasan Preterminated :
Nominal refund :
Sisa Cicilan :
Pinalti :
Sisa bunga yang belum tertagih :
Koreksi Biaya admin :
Koreksi bunga yang sudah tertagih :


Syarat dan ketentuan yang berlaku disetujui oleh nasabah.

Tolong bantuannya untuk tindak lanjut.
Terima kasih.
copy month profile PCHI",Individu Umum,Loans,Kartu Kredit,Request,Merchant Mengajukan Pembatalan Cicilan Terhadap Transaksi Kartu Kredit Nasabah BRI (FST),,,,1.0,3.0,CDD - Business Operation Team - MSU,2.0,CDD - ACU - OTO,,,,,6.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1711
1712,TRUE,FALSE,"Nasabah mengajukan pelunasan awal cicilan Belanja Ringan untuk transaksi

Nama Merchant :
Tanggal Transaksi :
Nominal Transaksi :
Tenor :
Bunga :
Kode Approval Cicilan :
Cicilan per-bulan :
Alasan Preterminated :
Nominal refund :
Sisa Cicilan :
Pinalti :
Sisa bunga yang belum tertagih :
Koreksi Biaya admin :
Koreksi bunga yang sudah tertagih :


Syarat dan ketentuan yang berlaku disetujui oleh nasabah.

Tolong bantuannya untuk tindak lanjut.
Terima kasih.
copy month profile PCHI",Individu Umum,Loans,Kartu Kredit,Request,Nasabah Menunggak Mengajukan Pelunasan Tagihan Kartu Kredit,,,,1.0,3.0,CDD - Business Operation Team - MSU,2.0,CDD - ACU - OTO,,,,,6.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1712
1713,TRUE,FALSE,,Individu Umum,Loans,Kartu Kredit,Request,Merchant Mengajuan konversi cicilan transaksi Kartu Kredit BRI,,,,,2.0,FST - Merchant Care & Operation,6.0,CDD - Business Operation Team - MSU,,,,,8.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1713
1714,TRUE,FALSE,"Nasabah menginginkan klaim asuransi
Alasan :
Solusi :

Copy PCHI",Individu Umum,Loans,Kartu Kredit,Complaint - Transaction,Nasabah Mengajukan Klaim Asuransi Kerja Sama Kartu Kredit,,,,1.0,10.0,CDD - Strgy&Prod Credit Card&Dgtl Lend,,,,,,,11.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1714
1716,TRUE,FALSE,,Individu Umum,Loans,Kartu Kredit,Request,Nasabah Mengajukan Cicilan 12 Bulan,,,,1.0,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1716
1719,TRUE,FALSE,"CH mengajukan cicilan belanja ringan via Telesales untuk transaksi
Tanggal : (ddmmyy)
Nama merchant/Lokasi :
Nominal :
Tenor :
Bunga :
Cicilan per-bulan :
Exp Date Kartu :
Biaya admin :
Kode Approval Transaksi :
Status Transaksi : PCSD/PCTD/PCAI
 
Syarat dan ketentuan yang berlaku disetujui oleh nasabah.
 
Tolong bantuannya untuk tindak lanjut.
Terima kasih.

copy avail installment PCIC
copy month profile PCHI",Individu Umum,Loans,Kartu Kredit,Request,Nasabah Mengajukan Cicilan Melalui Telesales,"1. Cicilan 6 bulan
2. Cicilan 12 bulan
3. Cicilan Promo",,,1.0,5.0,CDD - Business Operation Team - MSU,,,,,,,6.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1719
