No,Case Types,active,User Grouping_New,Segment,Product,Sub Product,Case Category,Case Description,New Case Description,Required Sub-Description,Sub,Doc Intake,List Kebutuhan Dokumen,Suggestion,Suggestion - Breakdown,Level of Effort,"Range of Days 
(Actual SLA)","Actual SLA
(days)","Target SLA 
(days)",BRI Notes,Team Name,T1 - Agent CCT/Frontliner,T2.1 - Supporting Unit,T2.2 - Supporting Unit,T3.1 - Product Owner,T4.1 - Technical Team,Total SLA,New SLA,Status,GIC,Maker,Checker,Signer,Courtesy Awal,Kebutuhan Data,Detail BRICare,Unnamed: 58,external_id
11,1015,TRUE,Digital Banking,Individu Umum,Loans,KTA - Digital,Complaint - Transaction,CERIA - Pembayaran Tagihan belum masuk,Nasabah Komplain Pembayaran Tagihan CERIA Melalui BRIVA Tidak Berhasil ,,,1,"1. Screen Shot bukti pembayaran briva
2. Screen Shot tagihan ceria 
3. selfie ktp 2 sisi
4. ktp",No Change,,Medium,6 ~ 10,6.0,20.0,,"T3.1 - DDB(Helpdesk), T3.2 - DDB(OPS CERIA)",1,,,6,,7,6,Done,DCE,,,,1C,Credit & Digital Lending,"Nasabah melakukan pembayaran tagihan Akun CERIA
 Tagihan bulan : … ( b/s cycle )
 Tanggal : …
 Nominal : Rp. …
 Kode BRIVA :
 Melalui : ( sms banking, terminal ATM, phone banking, teller )
 Dokumen yang dibutuhkan : bukti transaksi & Screen Capture aplikasi
 ID CERIA :
 NO Hp yang didaftarkan :
 
 Tolong bantuannya untuk tindak lanjut. 
 Terima kasih.",,1015
12,1016,TRUE,Digital Banking,Individu Umum,Loans,KTA - Digital,Complaint - Transaction,CERIA - Komplain Autodebet,Nasabah Komplain Gagal Autodebet Pembayaran Tagihan CERIA,,,1,"1. Screenshot Bukti Pembayaran Tagihan
2. Screen shot halaman tagihan Ceria
",No Change,,Medium,6 ~ 10,5.0,6.0,"SLA discuss with CDD, menunggu development tools di DDB","T3.1 - DDB(Helpdesk), T3.2 - DDB(OPS CERIA)",1,,,5,,6,5,Done,DCE,,,,1C,Credit & Digital Lending,"Nasabah mengajukan complain autodebet ( tidak didebet/ terdebet …. Kali )
 ID CERIA : 
 NO HP yang terdaftar : 
 Nomer Rekening :
 Atas Nama :
 Nominal yang di debet : 
 Saldo rekening saat ini : (Cek Via Agent Leader)
 Nominal saldo yang sudah dihold : (Cek Via Agent Leader)
 
 Catat informasi dari nasabah (saldo tersedia/tidak)
 Mohon ditindaklanjuti terima kasih
 
 Note : 
 Pastikan saldo rekening tersedia dan mencukupi (termasuk saldo minimum rekening Rp50.000,-)",Ada tambahan dokumen,1016
13,1017,TRUE,"Card, Digital Lending & Assset",Individu Umum,Loans,KTA - Digital,Request,CERIA - Penutupan & Pembatalan Akun CERIA,Nasabah Mengajukan Penutupan & Pembatalan Akun CERIA,,,1,"1. Screen Shot home ceria
2. ktp",No Change,,Medium,6 ~ 10,7.0,11.0,Move GIC,"T3.1 - DDB(Helpdesk), T3.2 - CDD(CLF-1 DATAM)",1,,,7,,8,7,Done,DCE,,,,1C,Credit & Digital Lending,"Alasan pembatalan/penutupan aplikasi :
apakah sudah mendapatkan limit:
apakah masih ada tagihan atau cicilan yang sedang berjalan:",,1017
14,1018,TRUE,Digital Banking,Individu Umum,Loans,KTA - Digital,Complaint - Transaction,Nasabah Komplain Pembayaran Tagihan Ceria,Nasabah Komplain Gagal Autodebet Manual CERIA,,,1,"1. Screen Shot tagihan ceria
2. Screen Shot bukti pembayaran",No Change,,Medium,6 ~ 10,6.0,6.0,Done,"T3.1 - DDB(Helpdesk), T3.2 - DDB(OPS CERIA)",1,,,5,,6,5,Done,DCE,,,,1B,Credit & Digital Lending,"Nasabah melakukan pembayaran tagihan Akun CERIA				Tagihan bulan      : … ( b/s cycle )					
Tanggal            : …						
Nominal            : Rp. …						
Dokumen yang dibutuhkan : bukti transaksi pembayaran & Screen Capture tagihan					
ID CERIA :						
NO Hp yang didaftarkan :
No rekening :						
						
Tolong bantuannya untuk tindak lanjut. 						
Terima kasih.				",,1018
15,1020,TRUE,"Card, Digital Lending & Assset",Individu Umum,Loans,KTA - Digital,Request,CERIA - Permintaan Perubahan Data Nasabah,Nasabah Mengajukan Perubahan Data Nomor Rekening CERIA,,,1,"1. Buku tabungan tampak depan
2. ktp
3. Surat pernyataan",No Change,,Medium,6 ~ 10,5.0,11.0,"Konfirmasi dengan CDD, Konfirmasi kembali dengan DDB","T3.1 - DDB(Helpdesk), T3.2 - CDD(CLF-1 DATAM)",1,,,8,,9,8,Done,DCE,,,,1C,Credit & Digital Lending,"Nasabah mengajukan pergantian Nomor rekening auto debet CERIA
 Dari (rekening lama) :
 Menjadi (rekening baru) : 
 Alasan :
 Alamat email untuk kirim dokumen :
 Tolong bantuannya untuk tindak lanjut. 
 Dokumen yang dibutuhkan : 
 (Buku tabungan tampak depan, Foto KTP nasabah, Surat pernyataan)
 
 Mohon bantuannya. Terima kasih.",,1020
16,1024,TRUE,Digital Banking,Individu Umum,Loans,KTA - Digital,Request,CERIA - Billing Statement (komplain terkait issue billing statement),Nasabah Mengajukan Permintaan Billing Statement CERIA,,,,,No Change,,Low,3 ~ 5,4.0,19.0,,"T3.1 - DDB(Helpdesk), T3.2 - DDB(OPS CERIA)",1,,,4,,5,4,Done,DCE,,,,1B,Credit & Digital Lending,"Nasabah menanyakan:
 Billing statement / Informasi Tagihan :
 Status Pembayaran:
 Sisa limit: 
 Fee: 
 Bunga: 
 Late charge / akurasi jumlah tagihan :
 (Sudah informasikan cara pengecekan Billing Statement melalui aplikasi CERIA)",,1024
17,1025,TRUE,Resolution Center,Individu Umum,Loans,KTA - Digital,Inquiry,CERIA - Kenaikan Limit,Nasabah Menanyakan Informasi Kenaikan Limit CERIA,,,,,Move to Resolution Center,Move to CCT,Very Low,0 ~ 2,,15.0,,T1 - Agent CCT/Frontliner,1,,,,,1,,Done,DCE,,,,1A,Credit & Digital Lending,xxx,,1025
18,1027,TRUE,"Card, Digital Lending & Assset",Individu Umum,Loans,KTA - Digital,Request,CERIA - Permintaan Surat Lunas Kolektibilitas,Nasabah Mengajukan Surat Keterangan Lunas Kolektibilitas produk CERIA,,,1,"1. Surat Pernyataan
2. Screen Shot tagihan ceria ",No Change,,High,11 ~ 15,11.0,19.0,Move GIC,T3.1 - CDD(CLL CERIA),1,,,8,,9,8,Done,DCE,,,,1C,Credit & Digital Lending,"Nasabah meminta surat Kolektabilitas lancar :
 ID CERIA :
 NO HP yang terdaftar :
 Alasan pengajuan :
 (dokumen surat pernyataan dan Screen Capture info tagihan dari aplikasi CERIA)
 Mohon Bantuan untuk tindaklanjut",,1027
19,1028,TRUE,Digital Banking,Individu Umum,Loans,KTA - Digital,Request,"CERIA - Permintaan Keringanan Bayar, Penjadwalan Ulang Tagihan",Nasabah Mengajukan Keringanan Bayar CERIA,1.0,"1. Reschedule
2. Pelunasan Dengan Discount",1,"1. Screen Shot kolekbilitas tidak lancar
2. Screen Shot tagihan ceria
3. Surat permohonan keringanan bayar
4. ktp nasabah/ahli waris",No Change,,High,11 ~ 15,11.0,15.0,"Sub: Reschedule, Pelunasan Dengan Discount","T3.1 - CDD(CLL CERIA), T3.2 - DDB(OPS CERIA)",1,,,1,,11,1,Done,DCE,,,,1C,Credit & Digital Lending,"Nasabah mengajukan keringan pembayaran/Penjadwalan Ulang Tagihan (reschedule)
 ID CERIA :
 NO Hp yg didaftarkan:
 Alasan :
 Nasabah masih aktif bekerja/tidak :
 Keterangan alamat kantor/rumah/nomor telpon yang baru :
 
 Dokumen yang akan dikirimkan :
 Surat permohonan nasabah dan/ atau penanggung atau ahli waris,
 Fotocopy KTP Nasabah dan atau penanggung atau ahli waris,
 tagihan yang lain (jika dibutuhkan)
 screen capture yang menunjukkan kolektibilitas tidak lancar pada aplikasi CERIA",,1028
2,1036,TRUE,"Card, Digital Lending & Assset",Individu Umum,Loans,KTA - Digital,Request,"CERIA - Penghapusan bunga, denda keterlambatan dll","Nasabah Mengajukan Penghapusan Bunga, Denda Keterlambatan produk CERIA",,,,,No Change,,High,11 ~ 15,10.0,8.0,Move GIC,T3.1 - CDD(CLL CERIA),1,,,8,,9,8,Done,DCE,,,,1C,Credit & Digital Lending,"Nasabah mengajukan Penghapusan: denda keterlambatan / bunga
 ID CERIA :
 NO HP yg terdaftar :
 Tagihan bulan : ( b/s cycle )
 Nominal : Rp . …
 Alasan pengajuan : ...
 Keterangan tambahan: ( jika tidak ada, field ini dikosongkan )
 Tolong bantuannya untuk tindak lanjut.
 Terima kasih.",,1036
21,1038,TRUE,"Card, Digital Lending & Assset",Individu Umum,Loans,KTA - Digital,Fraud / Suspicious Transactions,CERIA - Komplain Transaksi Tidak Diakui,Nasabah Melaporkan Sanggahan Transaksi CERIA,,,1,"1. selfie ktp 2 sisi
2. ktp
3. Surat sanggahan",No Change,,Medium,6 ~ 10,7.0,19.0,,"T3.1 - DDB(Helpdesk), T3.2 - ORD(FBI), T3.3 - CDD(ACU CHARGEBACK)",1,,,7,,8,7,Done,DCE,,,,1C,Credit & Digital Lending,"Nasabah melaporkan tidak merasa melakukan transaksi pada akun CERIA 
Nominal transaksi :        
Nama Merchant :                                                         
Tanggal transaksi :                                                         
No Hp nasabah :                                                         
ID CERIA :                                                                 
Keterangan tambahan :                                                         
Copy mutasi transaksi dari CLOS                                                
(Sarankan kirim dokumen : Surat pernyataan, Foto KTP, Foto KTP & Selfie)        ",,1038
22,1100,TRUE,Resolution Center,"Individu Umum, Individu Priority & Private",Loans,Kartu Kredit,Inquiry,"Status Pengajuan Aplikasi, Cara & Syarat [Sanggahan pengajuan kartu kredit]",Nasabah Menanyakan Pengajuan Terkait Produk Kartu Kredit,1.0,"1. Cara, Syarat & Ketentuan
2. Status
3. Pembatalan",,,Move to Resolution Center,Move to CCT,Very Low,0 ~ 2,1.0,,"Sub: Cara, Syarat & Ketentuan, Status, Pembatalan",T1 - Agent CCT/Frontliner,1,,,,,1,,Done,KKD-AKK-ACQPR,,,,1A,Credit & Digital Lending,"Nasabah menanyakan syarat dan ketentuan mengajukan kartu kredit BRI, sudah dijelaskan mengenai …
 (diisi sesuai dengan penjelasan yang diberikan)
 
 rilis
 Nasabah menanyakan status aplikasi kartu kredit.
 Sudah di infokan oleh CSR status kartu kredit yang dimaksud.
 Copy dari LOS.",,1100
23,1101,TRUE,Operational Risk,Individu Umum,Loans,Kartu Kredit,Fraud / Suspicious Transactions,Sanggahan Pengajuan Kartu Kredit,Nasabah Melaporkan Sanggahan Kepemilikan Kartu Kredit,,,1,"1. Surat Pernyataan Nasabah
2. Ktp
3. selfie ktp 2 sisi
4. Surat Keterangan Bekerja Aktif",No Change,,Very High,16 ~ 20,18.0,14.0,New Case Type -,T2.1 - ORD(FBI),1,1,,,,11,1,Done,LCC-FBI,,,,1C,Credit & Digital Lending,"Nasabah melaporkan tidak merasa pengajuan/memiliki/menggunakan kartu kredit BRI
 Nasabah melaporkan tidak merasa pengajuan/memiliki/menggunakan kartu kredit BRI
 namun cek cardlink/LOS sudah ada pengajuan/memiliki/tagihan kartu kredit BRI
 Informasi data nasabah :
 Nama Lengkap :
 Tanggal Lahir :
 Nomor KTP :
 Alamat rumah :
 Nomo kartu kredit yang terdaftar :
 Nomor Hp yang aktif :
 Copy Cur Ball dan 24 month profile dari PCHI
 (sudah sarankan kirim dokumen : KTP, selfi dg ktp, surat pernyataan kronologis, surat keterangan bekerja masih aktif)",,1101
24,1201,TRUE,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Complaint - Non-Transaction,Komplain aplikasi Kartu Kredit Co Branding (pengajuan kartu kredit),Nasabah Komplain Pengajuan Aplikasi Kartu Kredit Co-Branding,,,,,No Change,,Medium,6 ~ 10,9.0,13.0,,T3.1 - CDD(MPP PRN),1,,,1,,11,1,Done,KKD-MPP-PRN,,,,1B,Credit & Digital Lending,"Sudah ada hasil status pengajuan kartu kredit Co Branding di LOS :
 
 Nasabah menanyakan status pengajuan aplikasi kartu kredit
 Pengajuan melalui apa:
 Pengajuan ditanggal berapa:
 Nomor KTP:
 Nomor Ponsel yang didaftarkan:
 Sudah infokan hasil pengajuan ( infokan sesuai LOS )
 ( Copy paste hasil pengecekan LOS )
 
 
 Complain kendala pada saat pengajuan Kartu Co Branding :
 Nasabah Complain tidak dapat pengajuan Co Branding :
 Jenis kartu Co Branding :
 Alasan :
 Respon yang muncul di aplikasi :
 Digital Sign : ( terima / tidak terima )
 Alamat email :
 No Hp yang terdaftar di aplikasi :
 Keterangan tambahan :",,1201
25,1202,TRUE,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Request,Permintaan Kartu Tambahan,Nasabah Mengajukan Kartu Kredit Tambahan,1.0,"1. Add-on Basic
2. Add-on Supplement",1,1. ktp orang tambahan,No Change,,Low,3 ~ 5,3.0,14.0,"Sub: Add-on Basic, Add-on Supplement","T3.1 - CDD(CLF-1 SSU), T3.2 - CDD(CLF-1 Verif), T3.3 - CDD(CLF-1 Analyst)",1,,,5,,6,5,Done,KKD-AKK-SSU,,,,1C,Credit & Digital Lending,"Nasabah mengajukan permintaan kartu pendamping
 Jenis Kartu : ……
 
 Mohon untuk ditindaklanjuti. Terima kasih
 Cantumkan Month Profile
 
 Nasabah mengajukan permintaan kartu tambahan
 Nama calon pemegang kartu tambahan : ……
 Status Hubungan dengan calon pemegang kartu tambahan : misal suami/ istri/ anak
 
 CSR sudah menyarankan mengirimkan dokumen berupa KTP calon pemegang kartu tambahan.
 Mohon untuk ditindaklanjuti. Terima kasih",,1202
26,1203,TRUE,Resolution Center,Individu Umum,Loans,Kartu Kredit,Request,Aktivasi Kartu Kredit Melalui Call Center,Nasabah Mengajukan Aktivasi Kartu Kredit,1.0,"1. Nomor Terdaftar
2. Nomor tidak Terdaftar",,,Move to Resolution Center,,Very Low,0 ~ 2,,,"Sub: Nomor Terdaftar, Nomor tidak Terdaftar",T1 - Agent CCT/Frontliner,1,,,,,1,,krt,LCC-CCTCALL,,,,1A,Credit & Digital Lending,"Aktivasi kartu kredit < 6 bulan
 No kartu kredit Utama /tambahan:
 Nama pemegang kartu:
 EXP Kartu :
 Jam aktifasi :
 Data Verifikasi : sesuai / tidak sesuai
 salin status kartu kredit screen (PCHI) dan status cetak PIN di screen PCIH",,1203
27,1204,TRUE,Resolution Center,Individu Umum,Loans,Kartu Kredit,Request,Aktivasi Kartu Kredit Melalui Petugas Proaktivasi,Nasabah Mengajukan Aktivasi Kartu Kredit Melalui Petugas Proaktivasi,,,,,Move to Resolution Center,,Very Low,0 ~ 2,1.0,,"Proposed to merge as sub in 1203 (if possible bcs 1203 close at agent, 1204 agent--> telesales --> telesales close, but both 1203 & 1204 has same SLA)",T1 - Telesales,1,,,,,1,,Done,LCC-CCTTELE,,,,1B,Credit & Digital Lending,"Nasabah mengajukan aktivasi kartu kredit tetapi nomor telepon tidak sesuai dengan cardlink
 Nomor yang digunakan untuk menghubungi :
 salin status kartu kredit screen (PCHI)",,1204
28,1210,TRUE,Resolution Center,Individu Umum,Servicing,Mobile Banking,Platform & Device Support,Outbound Call Onboarding BRImo,Nasabah gagal daftar BRIMO dan dihubungi oleh Agent untuk dipandu registrasi,,,,,,,,,,,Done,T1 - Telesales,1,,,,,1,,,LCC-CCTCALL,,,,1A,Regular Banking,xxx,,1210
29,1211,TRUE,Resolution Center,"Individu Umum, Individu Priority & Private",Loans,Kartu Kredit,Request,Program Internal Telesales (agent inbound to outbond),Nasabah Mengajukan Cicilan Kartu Kredit Melalui Telesales,1.0,"1. Transaksi >7 Hari
2. Pengajuan Loan on Phone",,,Move to Resolution Center,Move to CCT,Very Low,0 ~ 2,,,"Sub: Transaksi >7 Hari, Pengajuan Loan on Phone",T2.1 - Telesales,1,1,,,,2,1,Done,LCC-CCTTELE,,,,1B,Credit & Digital Lending,"Nasabah ingin mengikuti program .....
 Nomor telp yang bisa dihubungi : ....
 
 Mohon bantuan tindak lanjut. Terima kasih.
 
 Copy Month Profile PCHI",,1211
3,1600,TRUE,Resolution Center,Individu Umum,Loans,Kartu Kredit,Products / Promotion Inquiry,Informasi promo dan program kartu kredit,"Nasabah Menanyakan Informasi Promo, Program, dan Asuransi Kartu Kredit",1.0,"1. Program
2. Promo
3. Asuransi",,,Move to Resolution Center,Move to CCT,Very Low,0 ~ 2,,,"Sub: Promo, Program, Asuransi",T1 - Agent CCT/Frontliner,1,,,,,1,,Done,KKD-MPP-MSD,,,,1A,Credit & Digital Lending,"Nasabah menanyakan/komplain promo/fitur kartu kredit …..:
 Informasi di library : …………….
 Sudah dijelaskan sesuai pertanyaan nasabah/pemegang kartu
 (mhn dilakukan tindaklanjuti, jika informasi yang ditanyakan nsb tidak ada di library)
 nomor ponsel nasabah yang bisa dihubungi :
 
 copas mths profile pchi",,1600
31,1700,TRUE,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Third Party Support,Pendaftaran asuransi kerja sama kartu kredit,Nasabah Mengajukan Pendaftaran Kepesertaan Asuransi Kerja Sama Kartu Kredit,,,,,No Change,,Medium,6 ~ 10,8.0,20.0,,"T3.1 - CDD(SPD SCD), Include Insurance Company",1,,,8,,9,8,Done,KKD-PBK-KKPBK,,,,1B,Credit & Digital Lending,"Nasabah mengajukan pendaftaran asuransi
 Nama asuransi :
 Nomor telepon yang bisa dihubungi :
 Copy month profile pchi",,1700
32,1701,TRUE,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Request,Pembatalan asuransi kerja sama kartu kredit,Nasabah Mengajukan Pembatalan Kepesertaan Asuransi Kerja Sama Kartu Kredit,,,,,No Change,,Low,3 ~ 5,2.0,,,"T3.1 - CDD(SPD SCD), Include Insurance Company",1,,,8,,9,8,Done,KKD-PBK-KKPBK,,,,1B,Credit & Digital Lending,"Nasabah mengajukan pembatalan asuransi….(nama asuransinya)
 Alasan :
 Solusi : Menyarankan menghubungi Perusahaan Asuransi
 Copy PCHI Month Profile",,1701
33,1703,TRUE,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Request,Permintaan Dana Segar (Loan on phone - kartu kredit),Telesales Melakukan Penawaran Pencairan Dana Tunai Kartu Kredit,1.0,"1. Nasabah Setuju
2. Nasabah Tidak Setuju",,,Move to Resolution Center,Telesales,Low,3 ~ 5,2.0,7.0,"Sub: Nasabah Setuju Pengajuan(terusin ke MSU), Nasabah Tidak Setuju Pengajuan(Close di agent); Menunggu konfirmasi OLA Telesales","T1 - Telesales, T3.1 - CDD(OPE MSU)",1,,,6,,7,6,Partially Done,KKD-OPS-MSU,,,,1B,Credit & Digital Lending,"CH bersedia ikut program Loan On Phone melalui Telesales
 Nama Ch :
 Nomor Rekening :
 Dana ditransfer :
 Tenor :
 Bunga :
 Cicilan per bulan :
 Administrasi :
 Exp date :
 AVL INSTL :
 
 
 Copy month profile pchi",,1703
