title,modified_time,jenis_produk,produk,varian_produk,nama_knowledge,isi_knowledge
Bancassurance - Bancassurance - Aurora Plus - Biaya,2024-03-27 15:49:54,Bancassurance,Bancassurance,Aurora Plus,Biaya,"Masa Bayar Premi & Masa Asuransi
MP : 5 Tahun, MA : 8 Tahun

Cara Bayar
Bulanan, Tahunan, dan Sekaligus
Premi
Mulai dari Rp67.500,-

*) dengan tetap mengacu kepada Uang Pertanggungan

minimum berdasarkan kategori Tertanggung.
*) Premi Bulanan
(dan bergantung pada Uang Pertanggungan dan Usia Masuk)
Uang Pertanggungan
Tertanggung Anak-anak: Rp30.000.000,- sd Rp1.000.000.000,-
Tertanggung Dewasa: Rp30.000.000,- sd Rp5.000.000.000,-"
Kartu Kredit - Kartu Kredit Umum - Easy Card - Syarat Pembukaan,2024-03-27 15:49:54,Kartu Kredit,Kartu Kredit Umum,Easy Card,Syarat Pembukaan,"1. Persyaratan Umum :
a. Min. income Rp3.000.000,00.
b. Usia min. 21 tahun atau 17 tahun sudah menikah.
c. Memiliki fix phone & contactable.

2. Persyaratan Dokumen :
a. Dokumen aplikasi dengan data terisi lengkap dan ditandatangani.
b. Dokumen identitas diri dan NPWP yang masih berlaku.
c. Dokumen bukti penghasilan atau SPT tahunan (bukti potong)."
Kartu Kredit - Kartu Kredit Umum - Touch - Limit,2024-03-27 15:49:54,Kartu Kredit,Kartu Kredit Umum,Touch,Limit,"1. Limit Kartu Kredit: Rp5.000.000 – Rp 149.999.999
2. Maximum Cash Advance: 60% dari sisa limit atau maksimal Rp10.000.000 per hari"
Kartu Kredit - Kartu Kredit Umum - Mastercard Platinum - Bunga,2024-03-27 15:49:54,Kartu Kredit,Kartu Kredit Umum,Mastercard Platinum,Bunga,"1. Bunga Transaksi Ritel: 1,75% per bulan (menyesuaikan ketentuan Bank Indonesia) 
2. Bunga Pengambilan Tunai: 1,75% per bulan (menyesuaikan ketentuan Bank Indonesia)"
Kartu Kredit - Kartu Kredit Co-Branding - Cobranding Traveloka Paylater Card - Bunga,2024-03-27 15:49:54,Kartu Kredit,Kartu Kredit Co-Branding,Cobranding Traveloka Paylater Card,Bunga,"1. Bunga Transaksi Ritel: 1,75% per bulan (menyesuaikan ketentuan Bank Indonesia)"
Kartu Kredit - Kartu Kredit Co-Branding - Cobranding Raya - Syarat Pembukaan,2024-03-27 15:49:54,Kartu Kredit,Kartu Kredit Co-Branding,Cobranding Raya,Syarat Pembukaan,"Persyaratan Umum :
1. Nasabah Bank Raya
2. Usia min. 21 tahun atau 17 tahun sudah menikah
3. Memiliki fix phone & contactable

Persyaratan Dokumen :
1. Dokumen aplikasi dengan data terisi lengkap dan ditandatangani
2. Dokumen identitas diri dan NPWP yang masih berlaku
3. Dokumen bukti penghasilan atau SPT tahunan (bukti potong)"
Kartu Kredit - Kartu Kredit Co-Branding - Cobranding BTN Platinum - Biaya,2024-03-27 15:49:54,Kartu Kredit,Kartu Kredit Co-Branding,Cobranding BTN Platinum,Biaya,"1. Annual Fee
a. Annual Fee Basic: Rp300.000
b. Annual Fee Supplement: Rp150.000
2. Biaya Overlimit: Rp75.000
3. Biaya Keterlambatan Pembayaran: 1% dari total tagihan atau maks. Rp100.000
4. Biaya Penggantian Kartu: Rp50.000
5. Biaya Pengiriman Tagihan Kertas: Rp20.000
6. Biaya Cetak Ulang Billing: Rp10.000
7. Biaya Copy Sales Draft Lokal: Rp25.000
8. Biaya Copy Sales Draft Internasional: Rp150.000
9. Biaya Penggantian PIN: Rp25.000
10. Biaya Ringkasan Transaksi Tahunan: Rp100.000
11. Biaya Kenaikan Limit: Rp50.000
12. Biaya Penagihan: Rp50.000
13. Biaya Admin Tarik Tunai: 6% atau min. Rp100.000
14. Biaya Materai Trx > Rp 5 juta: Rp10.000
15. Biaya SMS Notifikasi: Gratis
16. Biaya Pengiriman E-Statement: Rp5.000
17. Biaya Refund Saldo Kredit
a. Minimal Refund: Rp500.000
b. Rekening BRI: Rp25.000
c. Non BRI: Rp50.000
18. Min. Pembayaran 5% dari tagihan atau Rp50.000, khusus transaksi cicilan, minimal pembayaran sebesar tagihan cicilan per bulan
19. Biaya Admin Transaksi Internasional 2% dari transaksi yang ditagihkan
20. Jatuh tempo 17 hari sejak tanggal cetak tagih"
Kartu Kredit - Kartu Kredit Co-Branding - Cobranding Kartu Emas Pengadaian - Bunga,2024-03-27 15:49:54,Kartu Kredit,Kartu Kredit Co-Branding,Cobranding Kartu Emas Pengadaian,Bunga,"1. Bunga Transaksi Ritel: 0,75% per 15 hari (menyesuaikan ketentuan Bank Indonesia)
2. Bunga Pengambilan Tunai: 0,75% per 15 hari(menyesuaikan ketentuan Bank Indonesia)"
Kartu Kredit - Kartu Kredit Co-Branding - Mastercard Corporate KKP - Fitur,2024-03-27 15:49:54,Kartu Kredit,Kartu Kredit Co-Branding,Mastercard Corporate KKP,Fitur,"Fitur Unggulan
1. Worldwide Acceptance
2. Airport Lounge 1 Pax
3. Gratis Biaya-biaya kecuali Biaya Materai"
Kartu Kredit - Kartu Kredit Pemerintah - Kartu Kredit Indonesia - Fitur,2024-03-27 15:49:54,Kartu Kredit,Kartu Kredit Pemerintah,Kartu Kredit Indonesia,Fitur,"Fitur Unggulan
1. Hanya dapat digunakan untuk transaksi QRIS & EDC GPN
2. Airport Lounge 1 Pax
3. Gratis Biaya-biaya kecuali Biaya Materai"
Pinjaman - Briguna - Briguna - Biaya,2024-03-27 15:49:54,Pinjaman,Briguna,Briguna,Biaya,"1. Tidak ada biaya Provisi;
2. Tidak ada biaya Administrasi;
3. Premi Asuransi AMKKM/PIJAR ( ditawarkan )
4. Agunan tambahan : 
a. KUR s/d 100 juta tidak diperlukan agunakan tambahan
b. KUR > 100 juta sesuai kebijakan / penilaian penyalur"
E-Channel - Direct Debit - Direct Debit - Syarat Pembukaan,2024-03-27 15:49:54,E-Channel,Direct Debit,Direct Debit,Syarat Pembukaan,"1. Memiliki rekening simpanan BRI berkartu debit
(GPN & Mastercard)

2. Terdaftar secara Financial Mobile Banking fitur
Mobile Banking / Internet Banking (BRImo)"
E-Channel - IBBIZ - IBBIZ - Definisi,2024-03-27 15:49:54,E-Channel,IBBIZ,IBBIZ,Definisi,IBBIZ merupakan internet Banking BRI dengan fitur dan limit disesuaikan dengan nasabah yang mempunyai usaha segmen ritel dan UMKM
E-Channel - IBBIZ - IBBIZ - Fitur,2024-03-27 15:49:54,E-Channel,IBBIZ,IBBIZ,Fitur,"TRANSACTIONAL
1. Transfer BRI
2. Transfer Beda Bank (Online)
3. RTGS & Kliring
4. BI Fast
5. Transfer Massal
6. BPJS TK & KS
7. DO Pertamina
8. Penerimaan Negara (MPN)
9. Bayar PLN, Telkom, Selular, UE
10. Bayar BRIVA
11. Bayar Pinjaman
12. Bayar Invoice
13. Bayar Kartu Kredit

NON TRANSACTIONAL
1. Informasi Rekening
2. Download Mutasi Rekening Koran
3. Informasi Pinjaman
4. Report Merchant
5. Aktivasi Billing Management (Briva)
6. Buat Invoice (Upload Briva)
7. Pengelolaan Pengguna :
• Buat Maker, Checker
• Buka Blokir Maker & Checker
• Ubah Mode User Single User/ Multi User"
E-Channel - Aplikasi BRI Merchant - Aplikasi BRI Merchant - Fitur,2024-03-27 15:49:54,E-Channel,Aplikasi BRI Merchant,Aplikasi BRI Merchant,Fitur,"1. Monitoring Detail Transaksi
Merchant dapat melihat riwayat transaksi dari setiap EDC / QRIS yang dimiliki secara harian maksimum dalam kurun waktu 3 bulan. Merchant juga dapat menampilkan detail transaksi berupa digital sales draft yang dapat dibagikan.

2. Download Laporan Settlement
Merchant dapat melakukan download laporan transaksi per-MID secara harian maksimum dalam kurun waktu 1 bulan.

3. User Management
Pemilik Merchant sebagai super admin dapat melakukan pengaturan terhadap user meliputi penambahan user, permberian akses user, mengubah status user serta menghapus user."
E-Channel - Aplikasi BRI Merchant - Aplikasi BRI Merchant - Definisi,2024-03-27 15:49:54,E-Channel,Aplikasi BRI Merchant,Aplikasi BRI Merchant,Definisi,Aplikasi BRImerchant merupakan one stop app solution yang dapat menjawab kebutuhan merchant BRI.
Investasi - Investasi - SBR - Syarat Pembukaan,2024-06-14 03:52:57,Investasi,Investasi,SBR,Syarat Pembukaan,"Syarat & Ketentuan :
1. Individu / perorangan yang dibuktikan dengan KTP yang ber-NIK.
2. Pemesanan minimum Rp1.000.000,- dan kelipatannya, maksimal Rp 10.000.000.000,- 
(ketentuan minimum atau maksimum pembelian sesuai dengan ketentuan dari Kemenkeu)
3. Memiliki rekening Tabungan BRI BritAma/Simpedes/Giro BRI atas nama calon investor.
4. Mengisi Formulir Pemesanan."
Simpanan - Giro - Giro BRI Rupiah - Limit,2024-03-27 15:49:54,Simpanan,Giro,Giro BRI Rupiah,Limit,"1. Limit Maksimum Transaksi
a. Kartu Classic
a.1. Tarik Tunai : 10,000,000
a. 2. Pembelanjaan : 25,000,000
a. 3. Transfer sesama BRI : 
● ATM BRI : 250,000,000
● BRImo : 200,000,000
● IBBIZ BRI : 50,000,000,000
a. 4. Transfer Antar Bank
● ATM BRI : 20,000,000
● BRImo : 25,000,000
● IBBIZ BRI : 1,000,000,000
a. 5. Kliring IBBIZ BRI : 
● 500,000,000/transaksi
● 1,000,000,000/hari
a. 6. RTGS IBBIZ BRI : 
● 1,000,000,000/transaksi
● 5,000,000,000/hari
a.7. RTGS BRImo : 150.000.000/hari
a. 8. BI-Fast : 250,000,000/hari
a. 9. CMS : 
● 250,000,000/transaksi
● 50,000,000,000/hari
a.10. Pembayaran
● ATM / CRM BRI : 100,000,000
● BRImo : 100,000,000
● IBBIZ BRI : 5,000,000,000
● QRIS : 10.000.000
a. 11. Pembelian
● ATM / CRM BRI Pulsa : 1,000,000
   Non Pulsa : 100,000,000
● BRImo Pulsa : 1,000,000
   Non Pulsa : 100,000,000
● IBBIZ BRI : 5,000,000,000



b. Kartu Gold : 
b.1. Tarik Tunai  : 10,000,000
b. 2. Pembelanjaan : 50,000,000
b. 3.Transfer sesama BRI : 
● ATM BRI : 500,000,000
● BRImo : 200,000,000
● IBBIZ BRI : 50,000,000,000
b. 4.Transfer Antar Bank
● ATM BRI : 25,000,000
● BRImo : 25,000,000
● IBBIZ BRI : 1,000,000,000
b. 5. Kliring  IBBIZ BRI
● 500,000,000/transaksi
● 1,000,000,000/hari
b. 6. RTGS IBBIZ BRI : 
● 1,000,000,000/transaksi
● 5,000,000,000/hari
b.7 RTGS BRImo : 150.000.000/hari
b. 8. BI-Fast : 250,000,000/hari
b. 9. CMS
● 250,000,000/transaksi
● 50,000,000,000/hari
b. 10. Pembayaran
● ATM / CRM BRI : 100,000,000
● BRImo : 100,000,000
● IBBIZ BRI : 5,000,000,000
● QRIS : 10.000.000
b. 11. Pembelian
● ATM / CRM BRI Pulsa : 1,000,000
   Non Pulsa : 100,000,000
● BRImo Pulsa : 1,000,000
   Non Pulsa : 100,000,000
● IBBIZ BRI : 5,000,000,000

c. Kartu Platinum : 
c. 1. Tarik Tunai : 15,000,000
c. 2. Pembelanjaan : 1,000,000,000
c. 3. Transfer sesama BRI : 
● ATM BRI : 1,000,000,000
● BRImo : 200,000,000
● IBBIZ BRI : 50,000,000,000
c. 4.Transfer Antar Bank
● ATM BRI : 25,000,000
● BRImo : 50,000,000
● IBBIZ BRI : 1,000,000,000
c. 5. Kliring  IBBIZ BRI :
● 500,000,000/transaksi
● 1,000,000,000/hari
c. 6. RTGS IBBIZ BRI
● 1,000,000,000/transaksi
● 5,000,000,000/hari
c.7. RTGS BRImo : 550.000.000/hari
c. 8. BI-Fast : 500,000,000/hari
c. 9 CMS : 
● 250,000,000/transaksi
● 50,000,000,000/hari
c. 10. Pembayaran
● ATM / CRM BRI : 100,000,000
● BRImo : 1,000,000,000
● IBBIZ BRI : 5,000,000,000
● QRIS : 20.000.000
c.11. Pembelian
● ATM / CRM BRI Pulsa : 1,000,000
   Non Pulsa : 100,000,000
● BRImo Pulsa : 1,000,000
   Non Pulsa : 100,000,000
● IBBIZ BRI : 5,000,000,000"
Simpanan - Giro - Giro BRI Valas - Bunga,2024-03-27 15:49:54,Simpanan,Giro,Giro BRI Valas,Bunga,"0 s/d < 5 juta : 0,00%
5 juta s/d 25 juta : 0,25%
>25 juta s/d 100 juta : 0,25%
>100 juta s/d 1 Milyar : 1,00%
>1 Milyar : 2,00%"
Simpanan - Tabungan - Simpedes (Simpedes Umum) - Bunga,2024-03-27 15:49:54,Simpanan,Tabungan,Simpedes (Simpedes Umum),Bunga,"1. < 1 juta: 0.00%
2. > = 1 Juta s/d < 50  juta: 0.00%
3. > = 50 juta s/d < 500 juta: 0.10%
4. > = 500 juta s/d < 1 Milyar: 0.60%
5. > = 1 Milyar: 0.80%"
Simpanan - Tabungan - Simpedes UMi - Syarat Pembukaan,2024-03-27 15:49:54,Simpanan,Tabungan,Simpedes UMi,Syarat Pembukaan,"1. Nasabah dapat melakukan pembukaan secara digital melalui senyuM mobile di Playstore
2. Minimal 17 Tahun
3. KTP
3. Setoran awal dan saldo minimum: Rp0"
Simpanan - Tabungan - Britama (Umum) - Bunga,2024-03-27 15:49:54,Simpanan,Tabungan,Britama (Umum),Bunga,"1. < 1 juta - 0.00%
2. > = 1 Juta s/d < 50  juta  0.00%
3. > = 50 juta s/d < 500 juta  0.10%
4. > = 500 juta s/d < 1 Milyar  0.60%
5. > = 1 Milyar 0.80%"
Simpanan - Tabungan - Tabungan BRI Junio - Limit,2024-03-27 15:49:54,Simpanan,Tabungan,Tabungan BRI Junio,Limit,"1. Tarik tunai : Rp10.000.000
2. Setor tunai : Rp30.000.000
3. Transfer Antar Bank 
a. ATM : Rp10.000.000
b. BRImo : Rp25.000.000

4. Transfer Sesama Bank
a. ATM : Rp50.000.000
b. BRImo : 200.000.000

5. Pembayaran : Rp75.000.000
6. Pembelian (Voucher) : Rp100.000.000
7. Pembelian Pulsa : Rp1.000.000
8. Pembayaran BRIVA : Rp25.000.000
9. Belanja di EDC : Rp50.000.000
10. BI Fast : Rp250.000.000
11. QRIS : Rp10.000.000"
Simpanan - Tabungan - Tabungan BRI Junio - Fitur,2024-03-27 15:49:54,Simpanan,Tabungan,Tabungan BRI Junio,Fitur,"1. Mendapatkan Fasilitas Internet Banking (BRImo)
2. Mendapatkan Fasilitas Asuransi kecelakaan diri dengan saldo minimum Rp500.000"
Simpanan - Tabungan - Tabunganku - Limit,2024-03-27 15:49:54,Simpanan,Tabungan,Tabunganku,Limit,"1. Limit transaksi dalam 1 bulan ( Penarikan tunai, Pemindahan buku dan/atau transfer 
a. TabunganKu : Rp10.000.000
b. TabunganKu BSA : Rp5.000.000

2. Transaksi Antar Cabang (TAC) 
a. TabunganKu : Rp10.000.000
b. TabunganKu BSA : Rp5.000.000"
Simpanan - Tabungan - Tabunganku - Biaya,2024-03-27 15:49:54,Simpanan,Tabungan,Tabunganku,Biaya,"1. Biaya pemeliharaan Kartu Debit : Tidak ada
2. Penalti Dormant Perbulan
a. TabunganKu : Rp2.000
b. TabunganKu BSA : Tidak ada
3. Biaya Administrasi Bulanan : Tidak ada Biaya Administrasi
4. Biaya Penutupan Rekening:
a. TabunganKu : Rp20.000 
b. TabunganKu BSA : Rp 0"
Simpanan - Tabungan - Tabungan BRI Simpel - Fitur,2024-03-27 15:49:54,Simpanan,Tabungan,Tabungan BRI Simpel,Fitur,"1. Bukti Kepemilikan : Buku Tabungan
2. Status Dormant : Tidak bertransaksi selama 12 bulan berturut-turut. Saat dormant nasabah akan  dikenakan pinalti. Jika saldo rekening mencapai < saldo min, maka rekening  dapat ditutup otomatis oleh sistem
3. Batas Waktu Closed By System Pada Rekening  Bersaldo Nol : 90 hri
4. Layanan Transaksi : Di seluruh Unit Kerja BRI maupun di sekolah pada saat  Unit Kerja melakukan open table/pameran"
Simpanan - Deposito - Deposito On Call Valas - Definisi,2024-03-27 15:49:54,Simpanan,Deposito,Deposito On Call Valas,Definisi,Produk Deposito BRI yang dibuka dangan jangka waktu mulai dari 1 hari sampai dengan maksimal 29 hari sesuai perjanjian
Simpanan - Private - Private - Definisi,2024-03-27 15:49:54,Simpanan,Private,Private,Definisi,"BRI Private adalah kegiatan pelayanan dan jasa perbankan yang diberikan BRI secara eksklusif kepada Nasabah BRI Private yang bersifat personal dan customized, meliputi pelayanan dan jasa perbankan pada umumnya, jasa konsultasi perencanaan keuangan dan  investasi,  asuransi(bancassurance), perencanaan pensiun maupun konsultasi perencanaan waris."
Simpanan - Private - Private - Biaya,2024-03-27 15:49:54,Simpanan,Private,Private,Biaya,"1. Tipe A (3 x 5 x 24 inch )
a. Tarif Normal : Rp 200.000,-
b. Tiering Saldo > Rp 15 M s.d 100 M : Free
c. Tiering Saldo > 100 M : Free

2. Tipe B (3 x 10 x 24 inch)
a. Tarif Normal : Rp 500.000,-
b. Tiering Saldo > Rp 15 M s.d 100 M : Free
c. Tiering Saldo > 100 M : Free

3. Tipe C (5 x 10 x 24 inch)
a. Tarif Normal : Rp 650.000,-
b. Tiering Saldo > Rp 15 M s.d 100 M : Rp 325.000,-
c. Tiering Saldo > 100 M : Free

4. Tipe D (10 x 10 x 24 inch)
a. Tarif Normal : Rp 950.000,-
b. Tiering Saldo > Rp 15 M s.d 100 M : Rp 475.000,-
c. Tiering Saldo > 100 M : Free

5. Tipe E (15 x 10 x 24 inch) 
a. Tarif Normal : Rp 1.200.000,-
b. Tiering Saldo > Rp 15 M s.d 100 M : Rp 600.000,-
c. Tiering Saldo > 100 M : Free"
Investasi - Investasi - Reksa Dana - Fitur,2024-03-27 15:49:54,Investasi,Investasi,Reksa Dana,Fitur,"1. Pasar Uang
2. Pendapatan Tetap
3. Campuran
4. Saham
5. Terproteksi"
Investasi - Investasi - Sukuk (SR) - Definisi,2024-03-27 15:49:54,Investasi,Investasi,Sukuk (SR),Definisi,"Surat Berharga Syariah Negara selanjutnya disingkat SBSN (Sukuk Negara) adalah surat  berharga negara yang diterbitkan berdasarkan prinsip syariah, sebagai bukti atas bagian  penyertaan terhadap Asset SBSN, baik dalam mata uang rupiah maupun valuta asing.

SBSN yang diterbitkan khusus untuk investor individu Warga Negara Indonesia (WNI)  di Pasar Perdana disebut dengan Sukuk Negara Ritel.

Penerbitannya sesuai dengan prinsip syariah dan telah mendapatkan 
fatwa serta opini  syariah dari Dewan Syariah Nasional – 
Majelis Ulama Indonesia"
Bancassurance - Bancassurance - Davestera - Definisi,2024-03-27 15:49:54,Bancassurance,Bancassurance,Davestera,Definisi,Adalah produk asuransi yang memberikan langkah mudah untuk mengoptimalkan dana investasi kita.
Bancassurance - Bancassurance - Davestera - Fitur,2024-03-27 15:49:54,Bancassurance,Bancassurance,Davestera,Fitur,"Manfaat Utama :
- Meninggal dalam masa asuransi sebesar 100% JUP + Nilai Investasi
- Hidup pada akhir kontrak sebesar Nilai Investasi akhir kontrak
- Mengundurkan diri dalam masa asuransi sebesar Nilai Investasi pada saat mengundurkan diri

Manfaat Tambahan :
- Term
- Personal Accident
- Plus
- TP Disability
- Critical Illness
- Health Protection
- Hospitalization CP
- Waiver of Premium
- Payor Death Protection
- Payor Benefit
- Spouse Death Protection
- Spuose Benefit"
Kartu Kredit - Kartu Kredit Umum - Easy Card - Syarat Pencairan & Penutupan,2024-03-27 15:49:54,Kartu Kredit,Kartu Kredit Umum,Easy Card,Syarat Pencairan & Penutupan,"1. Tidak terdaftar asuransi
2. Tidak terdaftar autopayment
3. Tidak ada tagihan berjalan
4. Tagihan Rp0"
Kartu Kredit - Kartu Kredit Umum - Easy Card - Definisi,2024-03-27 15:49:54,Kartu Kredit,Kartu Kredit Umum,Easy Card,Definisi,"Kartu kredit untuk memenuhi kebutuhan hidup sehari – hari (daily needs)

Segmentasi & Target Potensial:
1. Usia 30 – 40 tahun
2. Kota ke-2, ke-3
3. Penghasilan Rp 3 – 5 juta per bulan
4. Behavior: Penggunaan kartu kredit untuk belanja kebutuhan sehari-hari dan gaya hidup hemat"
Kartu Kredit - Kartu Kredit Umum - Touch - Definisi,2024-03-27 15:49:54,Kartu Kredit,Kartu Kredit Umum,Touch,Definisi,"Kartu kredit pertama untuk anak muda yang aktif dan dinamis

Segmentasi & Target Potensial
1. First Jobber, sd 30 tahun
2. Kota ke-1, ke-2
3. Penghasilan Rp 3 – 10 juta per bulan
4. Penggunaan kartu kredit untuk transaksi online, suka mencicil, social-media savy"
Kartu Kredit - Kartu Kredit Umum - World Access - Syarat Pencairan & Penutupan,2024-03-27 15:49:54,Kartu Kredit,Kartu Kredit Umum,World Access,Syarat Pencairan & Penutupan,"1. Tidak terdaftar asuransi 
2. Tidak terdaftar autopayment 
3. Tidak ada tagihan berjalan 
4. Tagihan Rp0"
Kartu Kredit - Kartu Kredit Komersial - BRI Corporate Card - Syarat Pembukaan,2024-03-27 15:49:54,Kartu Kredit,Kartu Kredit Komersial,BRI Corporate Card,Syarat Pembukaan,"1. Debitur
a. Perusahaan Swasta/BUMN.
b. Plafond Kredit Komersial >= Rp50 miliar.
c. Kolektibilitas lancar.
d. Tidak termasuk dalam daftar hitam Bank Indonesia.
e. Usaha yang dikelola debitur mengalami perkembangan usaha.
f. Maksimal Corporate Credit Card Line (CCCL) 25% x GA/Bulan atau maksimal Rp5 miliar per grup.

2. Non Debitur/Non Nasabah
a. Perusahaan Tbk.
b. Perusahaan Korporasi berdasarkan terminologi BRI.
c. Perusahaan Multinasional
d. Pemberian fasilitas kredit harus di-cover oleh agunan kas penuh (fully cash collateral) sebesar 110% dari total limit.
e. Maksimal Corporate Credit Card Line (CCCL) 100/110 (25% x GA/Bulan) atau maksimal Rp5 miliar per grup.

3. KKP SATKER
a. Satker/Lembaga Negara.
b. Dasar Peraturan Menteri Keuangan No. 196/PMK.05/2018 tentang Tata Cara Pembayaran dan Penggunaan Kartu Kredit Pemerintah:
b.1 Belanja Keperluan Operasional.
b.2 Belanja Perjalanan Dinas.
b.3 Pembayaran Belanja Barang Maksimal Rp50 juta."
