title,modified_time,nama_program,deskripsi,benefit,syarat_dan_ketentuan,start,end
KPP  Private & Prioritas (1),2024-06-15 07:36:36,KPP  Private & Prioritas (1),"Program KPP Nasabah Private dan Prioritas (1)
a. Maksimal kuota realisasi Rp 250 miliar khusus Nasabah Private dan Prioritas dengan tujuan penggunaan:	
b. Baru (primary) dari Developer PKS BRI
c. Pembelian Baru Ready Stock Developer Non PKS BRI
d. Pembelian bekas khusus properti di dalam lingkungan
e. Perumahan Developer
f. Pembelian bekas dari Property Agent PKS
g. Take Over Top Up dan Top Up
h. Renovasi",Periode Program : 1 April s/d 31 Juli 2024,"1. Kategori Calon Debitur/Debitur, diatur dengan penjelasan sebagai berikut :
a. Fixed Income
b. Non-Fixed Income

2. Ketentuan:
a. Program simplifikasi dokumen merupakan simplifikasi verifikasi dokumen dan analisa kredit menggunakan laporan portofolio AUM nasabah prioritas BRI
b. Sudah menjadi Nasabah Prioritas minimal 12 bulan saat pengajuan KPR.
c. Maksimum plafond KPP yang dapat diberikan adalah sebesar maksimal 2 kali nilai AUM atau Rp.10 Miliar dengan tetap memperhatikan cashflow calon debitur dan kewajaran nilai agunan. Untuk plafond KPP diatas Rp. 10 Miliar maka analisa kredit mengikuti ketentuan internal yang berlaku
d. Portofolio AUM yang diperhitungkan hanya portofolio simpanan (tabungan, deposito, dan giro).

3. Suku Bunga Kredit
a. Suku Bunga 3.25% fixed 1 tahun, selanjutnya counter rate dengan Tenor min 5 tahun.
b. Suku Bunga 3.65% fixed 3 tahun, selanjutnya counter rate dengan Tenor min 8 tahun.
c. Suku Bunga 4.65% fixed 5 tahun, selanjutnya counter rate dengan Tenor min 10 tahun.

4. Biaya Biaya
a. Item Provisi dengan Biaya 0.5% dari plafond kredit
b. Item Administrasi dengan Biaya Rp.500.000 atau 0.1% dari plafond kredit.",2024-06-15 00:00:00,2024-07-31 00:00:00
KPP Retnsi Take Over Bank Lain,2024-06-15 07:50:12,KPP Retnsi Take Over Bank Lain,"Program KPP Retensi Take Over Bank Lain
Suku bunga yang diberikan khusus kepada debitur yang akan di take over oleh bank lain dengan menawarkan perubahan suku bunga existing yang akan memasuki dan telah memasuki masa floating menjadi suku bunga fixed kembali dengan kriteria riwayat debitur tidak pernah menunggak (riwayat kolek Lancar) serta dapat sekaligus menawarkan top up.",Periode Program : 1 April s/d 31 Juli 2024,"1. Kategori Calon Debitur/Debitur, diatur dengan penjelasan sebagai berikut :	
a. Fixed Income
b. Non-Fixed Income

2. Ketentuan:	
a. Suku bunga ini khusus diberikan kepada debitur yang akan di take over oleh bank lain dibuktikan dengan melampirkan bukti penawaran atau offering letter dari bank lain berupa surat resmi maupun surat elektronik. Jika sudah memenuhi syarat maka debitur dapat diberikan suku bunga khusus untuk fasilitas kpp existing yang akan dan telah memasuki masa floating.
b. Untuk debitur dengan sisa tenor pinjaman eksisting tidak sampai 8 tahun dapat diarahkan ke program lainnya yang sedang berlaku
c. Penawaran suku bunga retensi take over tersebut diberikan dengan tetap memperhatikan profitabilitas bagi BRI.
d. Perubahan suku bunga harus dilakukan dengan mekanisme Putusan Perubahan Suku Bunga oleh Pemimpin Unit Kerja
e. Suku bunga khusus untuk nasabah yang akan di TO oleh bank lain yang telah atau akan memasuki masa floating dengan maksimum tenor melanjutkan sisa tenor kredit awal tanpa perpanjangan jangka waktu.

3. Suku Bunga Kredit
a. Suku bunga Retensi 1 SB 5.50% fixed 5 tahun selanjutnya counter rate dan tidak ada Batasan Tenor.
b. Suku bunga Retensi 2 SB 6% fixed 5 tahun selanjutnya counter rate dan tidak ada Batasan Tenor.
c. Suku bunga Retensi 3 SB 6.5% fixed 5 tahun selanjutnya counter rate dan tidak ada Batasan Tenor.",2024-06-15 00:00:00,2024-07-31 00:00:00
KPP LEBARAN (1) 2024,2024-06-15 08:14:17,KPP LEBARAN (1) 2024,"Program KPP LEBARAN (1) 2024
Maksimal kuota realisasi Rp 1 Triliun Khusus Tujuan Penggunaan:
1.	Baru (primary) dari Developer PKS BRI
2.	Pembelian Baru Ready Stock Non Developer PKS BRI
3.	Pembelian bekas khusus properti di dalam lingkungan Perumahan Developer
4.	Pembelian baru dan bekas dari Property Agent PKS
5.	Take Over Top Up dan Top Up
6.	Renovasi",Periode Program : 1 April s/d 31 Juli 2024,"1. Kategori Calon Debitur/Debitur, diatur dengan penjelasan sebagai berikut :	
a. Fixed Income
b. Non-Fixed Income

2. Ketentuan:	
a. Unit Kerja agar menjelaskan kepada calon debitur bahwa pengendapan dana yang diblokir tidak dapat digunakan untuk membayar angsuran KPP.

3. Suku Bunga Kredit
a. Suku Bunga 3.25% fixed 1 tahun, selanjutnya counter rate dengan Tenor 5 tahun.
b. Suku Bunga 3.65% fixed 2 tahun, selanjutnya counter rate dengan Tenor 8 tahun.
c. Suku Bunga 4.65% fixed 3 tahun, selanjutnya counter rate dengan Tenor 10 tahun.
d. Suku Bunga 5.65% fixed 5 tahun, selanjutnya counter rate dengan Tenor 10 tahun.

4. Biaya Biaya
a. Item Provisi dengan Biaya 0.5% dari plafond kredit
b. Item Administrasi dengan Biaya Min Rp. 500Rb / 0.1% dari plafond kredit",2024-06-15 00:00:00,2024-07-31 00:00:00
Pekerja Dasar (Outsourcing),2024-03-27 15:38:27,Pekerja Dasar (Outsourcing),"Pekerja Dasar yang dimaksud yaitu Satpam, Penjaga Malam, Pengemudi, Pramubakti dan Payment Point.",,"1. Persyaratan Pekerja Satpam
a. Warga Negara Indonesia
b. laki-laki atau Perempuan
c. Usia : Minimal 20 Tahun dan batas usia dipekerjakan maksimal 45 tahun (belum berulang tahun ke 46).
d. Tinggi Badan minimum 165 Cm (laki-laki) dan 160 CM (perempuan) dengan berat badan seimbang
e. Pendidikan minimal SLTA
f. Berpenampilan menarik
g. Berbadan sehat sesuai Surat Keterangan dari Dokter
h. Mempunyai naluri yang tinggi terhadap pengamanan
i. Diutamakan mampu mengendarai kendaraan bermotor roda empat dan memiliki SIM A
j. Dapat bekerjasama dengan Petugas BRI dan pihak terkait dalam menjalankan tugasnya
k. Diutamakan berasal dari penduduk setempat
l. Bebas alkohol dan narkotika/obat-obatan terlarang, dibuktikan dengan Surat Keterangan dari Dokter
m. Tidak sedang dalam perkara pidana.
n. Berkelakuan baik dibuktikan dengan Surat Keterangan dari Pihak Kepolisian
o. Memiliki Sertifikat pendidikan SATPAM yang diterbitkan oleh Pihak Kepolisian.

2. Persyaratan Pekerja Penjaga Malam
a. Warga Negara Indonesia
b. laki-laki
c. Usia : Minimal 20 Tahun dan batas usia dipekerjakan maksimal 45 tahun (belum berulang tahun ke 46).
d. Tinggi Badan minimum 165 Cm (laki-laki) dan 160 CM (perempuan) dengan berat badan seimbang
e. Pendidikan minimal SLTP
f. Berbadan sehat sesuai Surat Keterangan dari Dokter
g. Mempunyai naluri yang tinggi terhadap pengamanan
h. Diutamakan mampu mengendarai kendaraan bermotor roda 2 dan memiliki SIM C
i. Dapat bekerjasama dengan Petugas BRI dan pihak terkait dalam menjalankan tugasnya
j. Diutamakan berasal dari penduduk setempat
k. Bebas alkohol dan narkotika/obat-obatan terlarang, dibuktikan dengan Surat Keterangan dari Dokter
l. Tidak sedang dalam perkara pidana
m. Berkelakuan baik dibuktikan dengan Surat Keterangan dari Pihak Kepolisian

3. Persyaratan Pekerja Pengemudi
a. Warga Negara Indonesia
b. laki-laki
c. Usia : Minimal 20 Tahun dan batas usia dipekerjakan maksimal 45 tahun (belum berulang tahun ke 47).
d. Pendidikan minimal SLTP
e. Berbadan sehat sesuai Surat Keterangan dari Dokter
f. Memiliki pengetahuan tentang mesin kendaraan bermotor roda empat
g. Minimal mempunyai SIM A dan dapat mengendarai kendaraan bermotor roda empat
h. Dapat bekerjasama dengan Petugas BRI dan pihak terkait dalam menjalankan tugasnya
i. Diutamakan berasal dari penduduk setempat
j. Bebas alkohol dan narkotika/obat-obatan terlarang, dibuktikan dengan Surat Keterangan dari Dokter
k. Tidak sedang dalam perkara pidana
l. Berkelakuan baik dibuktikan dengan Surat Keterangan dari Pihak Kepolisian

4. Persyaratan Pekerja Pramubakti
a. Warga Negara Indonesia
b. laki-laki/Perempuan
c. Usia : Minimal 20 Tahun dan batas usia dipekerjakan maksimal 44 tahun (belum berulang tahun ke 45) saat diterima sebagai Pramubakti.
d. Pendidikan minimal SLTP
e. Memilki SIM C dan dapat mengendarai sepeda motor
f. Sehat jasmani dan rohani sesuai Surat keterangan Dokter
g. Bebas alkohol dan narkotika/obat-obatan terlarang, dibuktikan dengan Surat Keterangan dari Dokter
h. Dapat bekerjasama dengan Petugas BRI dan pihak terkait dalam menjalankan tugasnya
i. Diutamakan berasal dari penduduk setempat
j. Tidak sedang dalam perkara pidana
k. Berkelakuan baik dibuktikan dengan Surat Keterangan dari Pihak Kepolisian

5. Persyaratan Pekerja Payment Point
a. Warga Negara Indonesia
b. laki-laki/Perempuan
c. Usia : Minimal 20 Tahun dan batas usia dipekerjakan maksimal 40 tahun (belum berulang tahun ke 41)
d. Pendidikan minimal SLTA
e. Penampilan menarik
f. Mampu berkomunikasi dengan baik
g. Mampu mengoperasikan komputer
h. Sanggup menjaga kerahasiaan Bank
i. Sehat jasmani dan rohani sesuai Surat keterangan Dokter
j. Bebas alkohol dan narkotika/obat-obatan terlarang, dibuktikan dengan Surat Keterangan dari Dokter
k. Dapat bekerjasama dengan Petugas BRI dan pihak terkait dalam menjalankan tugasnya
l. Diutamakan berasal dari penduduk setempat
m. Tidak sedang dalam perkara pidana
n. Berkelakuan baik dibuktikan dengan Surat Keterangan dari Pihak Kepolisia",,
BRILiaN Bright Scholarship Program (BBSP) Plus,2024-03-27 15:38:27,BRILiaN Bright Scholarship Program (BBSP) Plus,Program pendidikan bagi Pekerja Tetap BRI untuk menempuh pendidikan ke Strata Dua (S2) di Luar Negeri yang dibiayai Lembaga di Luar Perusahaan dengan persetujuan Perusahaan.,"1. Tuition fee
Berupa tunjangan pembiayaan semesteran selama aktif menjadi mahasiswa
2. Living Allowance
Berupa pemberian uang saku bulanan untuk masing masing penerima beasiswa
3. Pembinaan Komperhensif
Penerima beasiswa bright akan mendapat bimbingan langsung untuk peningkatan kapasitas keilmuan dan bersosial
4. Pemberdayaan Masyarakat
Pembinaan langsung untuk melakukan pengabdian di lingkungan masyarakat
5. Fasilitas Asrama
Penerima manfaat beasiswa bright scholarship mendapatkan tunjangan tempat tinggal asrama
6. Jaringan nasional dan internasional
Penerima beasiswa bright akan mendapatkan networking ke alumni penrima bright scholarship","1. Pendidikan terakhir Sarjana / Strata 1.
2. Pekerja Tetap BRI dengan minimal Corporate Band 5 / Corporate Title Assistant Manager.
3. Usia Pekerja maksimal 38 Tahun (belum berulang tahun ke-39 pada saat pendaftaran).
4. Direkomendasi oleh atasan, yaitu rekomendasi yang diberikan oleh pemimpin Unit Kerja tertinggi untuk pekerja di bawah binaannya, contohnya
5. Division Head (untuk pekerja di Kantor Pusat / Divisi yang bersangkutan). Rekomendasi disampaikan berupa Surat / Nota Dinas kepada Divisi HCD melalui DIO.
6. Dalam 3 (tiga) tahun terakhir tidak dikenakan Hukuman Disiplin atau tidak sedang dalam indikasi kasus / masa penundaan promosi akibat Hukuman Disiplin telah berakhir.
7.Tidak memiliki Tunggakan Kewajiban (Denda Ikatan Dinas, Pitung, Briguna, Kartu Kredit, dan Koperasi baik pekerja itu sendiri dan/atau kewajiban suami/istri di BRI, termasuk tunggakan kewajiban di Instansi lain).
8. Keikutsertaan dalam seleksi Program Pascasarjana (S-2) Luar Negeri Biaya Dinas BRI maksimal 2 (dua) kali, terhitung dari diberlakukannya ketentuan Surat Direksi No B.1542
9.Menyampaikan Letter of Acceptance (LoA) dari lembaga Pendidikan dan Disiplin Ilmu / Program Studi / Bidang Konsentrasi yang dibutuhkan Perusahaan, dengan melampirkan Bukti Dokumen.
10. Masa Kerja Efektif (MKE) minimal 3 tahun sejak diangkat sebagai Pekerja Tetap.
11. Bersedia menjalani ikatan dinas 3N+1 (N = masa pendidikan terhitung sejak tanggal keberangkatan).
12. Predikat SMK 2 (dua) tahun terakhir minimal ""Baik"" dan ""Sangat Baik"".
13. Menyampaikan Motivation Letter, yang berisi tentang motivasi mengikuti program serta komitmen kembali ke Perusahaan dan rencana kontribusi pada Perusahaan setelah pasca studi (Min 300, Max 500 kata).
14. Sumber pembiayaan dari lembaga di Luar dan diakui Perusahaan
15. BBSP dan BBSP Plus, Ikatan Dinas 3N + 1 ( N = Lama Pendidikan), Jika Pekerja mengundurkan diri dalam masa ikatan dinas besar penggantian sesuai dengan besar semua biaya yang telah dikeluarkan perusahaan mulai dari masa persiapan sampai dengan selesai sekolah.
16. Periode: Melihat kebutuan Perusahaan",,
BRILiaN Marketing Specialist Program (BMSP) for RM Priority,2024-03-27 15:38:27,BRILiaN Marketing Specialist Program (BMSP) for RM Priority,Program rekrutmen dan pengembangan yang dirancang untuk siapkan talenta-talenta potensial menjadi Relationship Manager Specialist.,-,"1. Fresh Graduate:
a. Pendidikan S.1 dari Universitas/Perguruan Tinggi dengan IPK min 3.00 (skala 4).
b. Usia maks 25 tahun (belum berulang tahun ke-26 pada saat tanggal 12 Februari 2024).
c. Memiliki SIM A/C.",,2024-02-11 00:00:00
KPP LEBARAN (2) 2024,2024-06-15 08:20:13,KPP LEBARAN (2) 2024,"Program KPP LEBARAN (2) 2024
Tanpa Kuota Program, khusus untuk tujuan penggunaan:	
1.	Pembelian Bekas (selain dari properti di dalam lingkungan perumahan developer)
2.	Pembangunan
3.	Take over only (tanpa Top Up)",Periode Program : 1 April s/d 31 Juli 2024,"1. Kategori Calon Debitur/Debitur, diatur dengan penjelasan sebagai berikut :	
a. Fixed Income
b. Non-Fixed Income

2. Ketentuan:	
a. Unit Kerja agar menjelaskan kepada calon debitur bahwa pengendapan dana yang diblokir tidak dapat digunakan untuk membayar angsuran KPP.
b. Mekanisme pembukuan reward wajib dilakukan melalui apllikasi SAP IEM.
c. Dana untuk pembelian voucher dapat dibayarkan secara tunai kepada RM dengan adanya verifikasi CRO Kanca dan melampirkan bukti dokumen pencairan kredit debitur.
d. RM wajib menyerahkan dokumen kepada fungsi CRO di Unit Kerja maksimal 5 hari kerja setelah anggaran pembelian hadiah diterima RM.
e. Klaim voucher dapat dilakukan maksimal 31 Juni 2024, setelah melewati tanggal tersebut tidak bisa dilakukan klaim.

3. Suku Bunga Kredit
a. Suku Bunga 7.50% fixed 3 tahun, selanjutnya counter rate dengan Tenor 5 tahun
b. Suku Bunga 8.00% fixed 5 tahun, selanjutnya counter rate dengan Tenor 8 tahun

4. Biaya Biaya
a. Item Provisi dengan Biaya 0.5% dari plafond kecil
b. Item Administrasi dengan Biaya Min Rp. 500 Rb / 0.1% dari plafond kredit",2024-06-15 00:00:00,2024-07-31 00:00:00
BRILiaN Young Leader,2024-03-27 15:38:27,BRILiaN Young Leader,"Program pengembangan bagi BRILiaN muda terpilih yang memberikan kesempatan akselerasi karier dan pengembangan eksklusif agar dapat menguasai kompetensi,pengetahuan, dan keterampilan yang dibutuhkan untuk menjadi Young Leader Indonesia.",Kesempatan akselerasi karier di BRI,"1. Persyaratan BYLI Band 1
a. Peserta merupakan 10 (sepuluh) Pekerja terpilih, diutamakan yang termasuk dalam BRILIAN Society Member (BSM) Band 1;
b. Usia maksimal 39 (tiga puluh sembilan) tahun dan belum berulang tahun ke 40 (empat puluh) pada saat proses pemilihan kandidat;
c. Memiliki kemampuan bahasa Inggris yang baik, setara nilai TOEFL minimal 500;
d. Tidak dalam masa hukuman disiplin / indikasi kasus;
e. Tidak memiliki tunggakan kewajiban

2. Persyaratan BYLI Band 2
a. Peserta merupakan 20 (dua puluh) Pekerja terpilih, diutamakan yang termasuk dalam BRILIAN Society Member (BSM) Band 2;
b. Usia maksimal 37 (tiga puluh tujuh) tahun dan belum berulang tahun ke 38 (tiga puluh delapan) pada saat proses pemilihan kandidat;
c. Memiliki kemampuan bahasa Inggris yang baik, setara nilai TOEFL minimal 500;
d. Tidak dalam masa hukuman disiplin / indikasi kasus;
e. Tidak memiliki tunggakan kewajiban

3. Persyaratan BYLI Band 3
a. Peserta merupakan 40 (empat puluh) Pekerja terpilih, diutamakan yang termasuk dalam BRILIAN Society Member (BSM) Band 3;
b. Usia maksimal 33 (tiga puluh tiga tahun dan belum berulang tahunke 34 (tiga puluh empat) pada saat proses pemilihan kandidat;
c. Memiliki kemampuan bahasa Inggris yang baik, setara nilai TOEFL minimal 500;
d. Tidak dalam masa hukuman disiplin / indikasi kasus;
e. Tidak memiliki tunggakan kewajiban.

4. Persyaratan BYLI Band 4
a. Peserta merupakan 60 (enam puluh) Pekerja terpilih, diutamakan yang termasuk dalam BRILIAN Society Member (BSM) Band 4;
b. Usia maksimal 31 (tiga puluh satu) tahun dan belum berulang tahun ke 32 (tiga puluh dua) pada saat proses pemilihan kandidat;
c. Memiliki kemampuan bahasa Inggris yang baik, setara nilai TOEFL minimal 500;
d. Tidak dalam masa hukuman disiplin / indikasi kasus;
e. Tidak memiliki tunggakan kewajiban.

5. Persyaratan BYLI Band 5
a. Peserta merupakan 80 (delapan puluh) Pekerja terpilih pada Band 5;
b. Usia maksimal 29 (dua puluh sembilan) tahun dan belum berulang tahun ke 30 (tiga puluh) pada saat proses pemilihan kandidat;
c. SMK terakhir minimal 2.80;
d. Hasil assessment minimal ""Good"";
e. Memiliki kemampuan bahasa Inggris yang baik, setara nilai TOEFL minimal 500;
f. Tidak dalam masa hukuman disiplin / indikasi kasus; 
g. Tidak memiliki tunggakan kewajiban.

6. Persyaratan BYLI Band 6
a. Peserta merupakan 100 (seratus) Pekerja terpilih pada Band 6,
b. yang merupakan Pekerja eks PPS / BFLP / BNLP; 2. Usia maksimal 27 (dua puluh tujuh) tahun dan belum berulang tahun ke 28 (dua puluh delapan) pada saat proses pemilihan kandidat;
c. SMK terakhir minimal 2.80 atau nilai akhir pendidikan BFLP / BNLP tertinggi sejumlah kuota yang ditetapkan (untuk Pekerja yang belum memiliki nilai SMK);
d. Hasil assessment minimal ""Good"";
e. Memiliki kemampuan bahasa Inggris yang baik, setara nilai TOEFL minimal 500;
f. Tidak dalam masa hukuman disiplin / indikasi kasus;
g. Tidak memiliki tunggakan kewajiban.",,
BRILiaN Scholarship Program (BSP),2024-03-27 15:38:27,BRILiaN Scholarship Program (BSP),Program beasiswa yang diberikan kepada mahasiswa S1 yang sedang menempuh pendidikan pada semester 5-7 perkuliahan. Program Beasiswa Bank BRI – BRILiaN Scholarship (BSP) adalah program pemberian beasiswa penuh sekaligus early recruitment oleh BRI.,"1. Penggantian Biaya Pendidikan / UKT Per Semester
2. Uang Saku Per Bulan
3. Fasilitas Laptop (Macbook Air)
4. Bantuan Biaya Skripsi
5. Asuransi
6. BSP Bootcamp Training
7. Mentoring with BRI Leaders
8. Jalur Internship Khusus BSP
9. Early Recruitment menuju BRILiaN Future Leader Program (BFLP)","1. Mahasiswa aktif yang sedang menempuh pendidikan S1 di Semester 5-7 
2. IPK minimal 3,25 dari skala 4,00 dan mampu mempertahankan sampai dengan akhir perkuliahan.
3. Bersedia menandatangani Surat Perjanjian dengan PT Bank Rakyat Indonesia (Persero) Tbk sebagai peserta BRILiaN Future Leader Program (BFLP) ketika dinyatakan lulus kuliah.
4. Mengumpulkan Ide Inovasi dengan tema “Financial Services for Generation Z” di tahapan selanjutnya.",,
BRIguna Non Payroll,2024-06-14 09:06:58,BRIguna Non Payroll,"BRIguna Non Payroll
Calon Debitur Baru dan Debitiur Suplesi khusus Instansi ASN (PNS Vertikal dan Horizontal), TNI, POLRI dan BUMN Group yang pembayaran payroll (Gaji dan/Tunkin) tidak dibayarkan melalui BRI.",Periode Program : 1 April s/d 30 Juni 2024,"1. Kategori Calon Debitur/Debitur, diatur dengan penjelasan sebagai berikut :
Calon Debitur Baru & Debitur ASN (PNS Vertikal dan Horizontal) TNI, POLRI dan BUMN Group yang Pembayaran payroll (Gaji dan/Tunkin) tidak dibayarkan Melalui BRI.

2. Ketentuan:	
a. Portofolio BRIguna Non Payroll Instansi/Perusahaan dengan Kolektibilitas DPK < 2,5% dan NPL 0%
b. Debitur Existing dapat diberikan Suplesi dengan syarat Kolektibilitas Lancar (Non Restrukturisasi)
c. Debitur baru dapat diberikan Program SBK BRIguna Non Payroll dengan syarat Unit Kerja Wajib memastikan tidak terjadi double financing & pinjaman sejenis di Bank lain)& SLIK Kolektibilitas Lancar
d. Unit Kerja Wajib memastikan bahwa kerjasama pemotongan Angsuran Kredit telah terlaksana dengan Bendahara/Petugas yang ditunjuk Instansi/Perusahaan
Setoran Angsuran Kredit oleh Bendahara wajib disetor ke Rek Penampungan Maksimal H + 2 setelah tanggal pembayaran payroll (khusus Instansi ASN, TNI & POLRI)
e. Wajib dilakukan pemblokiran 1x Angsuran (Pokok+Bunga) pada saat realisasi kredit

3. Suku Bunga Kredit
a. Segmen Take Over, Baru, Suplesi
b. Jangka Waktu : s/d 15 tahun
c. Suku Bunga Kredit : 13.00%

4. Biaya Provisi dan Administrasi Khusus
a. Biaya Provisi Take Over Baru : 0.5% x Plafond
b. Biaya Provisi Suplesi : 0.75% x Plafond
c. Biaya Administrasi Take Over s/d 200 Juta : Rp. 100.000
d. Biaya Administrasi Take over >200 s/d500 Juta : Rp. 200.000
e. Biaya Administrasi Take Over >500 Juta : Rp. 300.000",2024-06-14 00:00:00,2024-06-30 00:00:00
Program BRIncubator Tahun 2024,2024-03-27 15:38:27,Program BRIncubator Tahun 2024,"BRIncubator merupakan pelatihan dan kegiatan pengembangan UMKM yang telah lolos kurasi secara fokus, terstruktur, yang disertai dengan pendampingan. Tujuan dari program Brincubator adalah untuk menaik kelaskan
UMKM dari sisi peningkatan kapasitas serta kapabilitas UMKM secara digital dan fokus pada validasi ekspor","a. Peserta akan mendapatkan kurikulum yang dibutuhkan oleh pelaku usaha untuk naik kelas
b. Peserta program akan mendapatkan reward berupa tabungan usaha
c.  Akan diutamakan mengikuti program-program baik yang diinisiasi oleh BRI ataupun kolaborasi dengan Kementerian & Lembaga.","1. Pelaku usaha yang memenuhi kriteria dapat melakukan registrasi pada link https://bbri.id/BRIncubator2024 dengan mengisi data diri, profil usaha masing masing, dan penjelasan produk

2. UMKM memiliki kesempatan bergabung dengan memperhatikan syarat dan ketentuan, antara lain:
a. Memiliki Usaha produksi (termasuk pengolahan) & merupakan milik sendiri
b. Usaha telah berdiri minmal 6 (enam) bulan
c. Kategori : Food & Beverages, Fashion & Beauty, Home Decor & Craft
d. Merupakan nasabah BRI (Simpanan/Pinjaman)
e. Telah Memiliki toko online
f. Calon peserta bukan/belum pernah mengikuti program :
g.  Alumni BRILianpreneur 2019-2023
h.  Alumni BRIncubator 2018-2022
i.  Pengusaha Muda BRILian
j.  Growpreneur
k.  Bersedia menandatangani surat komitmen untuk mengikuti seluruh rangkaian pelatihan dan pendampingan
l.  Bersedia menyatakan bahwa seluruh data yang diinput atau yang diberikan merupakan data yang sebenarnya",2024-01-01 00:00:00,2024-12-31 00:00:00
BRILiaN Future Leader Program (BFLP),2024-03-27 15:38:27,BRILiaN Future Leader Program (BFLP),BRILiaN Future Leader Program (BFLP) adalah program perekrutan yang dibuka oleh BRI untuk menjaring kandidat potensial untuk menjadi pemimpin / leader BRI di masa depan.,,"Persyaratan BRILiaN Future Leader Program
1. Lulusan dari Perguruan Tinggi negeri / swasta dan diutamakan akreditasi A.
2. Lulusan S1 atau S2 dari Universitas terkemuka dengan Akreditasi A.
3. IPK minimal 3,00 (untuk lulusan S1) dan IPK minimal 3.25 (untuk lulusan S2).
4. Berusia maksimal 25 tahun untuk lulusan S1 (belum berulang tahun yang ke-26), dan maksimal 27 tahun untuk lulusan S2 (belum berulang tahun yang ke-28 ).
5. Bersedia mengikuti seluruh tahapan seleksi.
6. Belum menikah dan bersedia tidak menikah selama proses seleksi hingga selesai menjalani masa pendidikan BFLP.
7. Bersedia ditempatkan di seluruh Unit Kerja BRI dan BRI Group.
8. Bersedia menandatangani Surat Perjanjian dengan BRI atau BRI Group apabila dinyatakan diterima sebagai peserta BFLP. Mengikuti seluruh tahapan tes.

Masa ikatan dinas:
Peserta BRiLiaN Future Leader Program (BFLP) yang telah dinyatakan lulus dan diangkat sebagai Pekerja Tetap akan menjalani masa ikatan dinas selama 3 (tiga) tahun sejak diangkat. Apabila mengundurkan diri sebelum ikatan dinas berakhir maka wajib membayar denda sebesar Rp.200.000.000,- (dua ratus juta rupiah) dengan perhitungan proporsional sebagai berikut : (jumlah bulan sisa ikatan dinas / 36 bulan) X Rp.200.000.000,-",,
KPR BRI dan Sinar Mas Land,2024-06-14 03:53:36,KPR BRI dan Sinar Mas Land,"KPR BRI Kerjasama Sinar Mas Land
Buka Jalan Miliki Rumah Impian KPR BRI.
Dapatkan tambahan Promo menarik dari Sinar Mas Land sampai dengan 30 Juni 2024.","Tambahan Promo menarik dari Sinar Mas Land.
1. Diskon s.d 25%
2. Subsidi DP s.d 20%
3. Periode 1 Maret - 30 Juni 2024
4. Raih juga kesempatan mendapat hadiah langsung berupa 1 Unit Myza Flat-House di BSD City yang akan diundi pada akhir Periode.","1. Suku Bunga Khusus Developer Tier 2024. 
Maksimal kuota realisasi Rp 1 Triliun khusus properti berasal dari Developer Tier 1 dengan tujuan penggunaan: 
Baru (primary) dari Developer Tier 1 PKS BRI.
2. Take Over Account In House Developer PKS BRI dengan suku bunga yang berlaku sebagai berikut :
- 3.25% fixed 1 tahun lalu counter rate, minimum tenor 5 tahun
- 3.65% fixed 3 tahun lalu counter rate, minimum tenor 8 tahun
- 4.65% fixed 5 tahun lalu counter rate, minimum tenor 10 tahun
3. Maksimum tenor kredit 20 tahun.
4. Pengendapan dana minimal 1x angsuran dalam bentuk tabungan yang diblokir minimal selama masa fixed rate.
5. Penalti pelunasan maju sebagian: 5% dari dana yang disetor.
6. Penalti pelunasan maju seluruh: 5% dari sisa OS kemudian ditambah dengan bunga berjalan.
7. Uang Muka : Mulai 0% atau sesuai ketentuan LTV BI dan BRI.
8. Biaya Provisi : 0,5% dari plafon kredit.
9. Biaya Administrasi : Minimal Rp500.000 atau 0,1% dari plafon kredit.
10. Periode program KPR BRI kerjasama Sinar Mas Land: 1 April - 31 Juli 2024.",2024-06-14 00:00:00,2024-07-31 00:00:00
BRIguna Purna,2024-06-15 03:13:38,BRIguna Purna,"Program BRIguna Purna
Program pemasaran thematic BRIguna dalam rangka meningkatkan portofolio OS dan Debitur BRIguna Purna.",Periode Program : 1 April s/d 30 Juni 2024,"1. Kategori Calon Debitur/Debitur, diatur dengan penjelasan sebagai berikut :
a. Pensiunan Taspen
b. Pensiunan ASABRI
c. Pensiunan BUMN

2. Ketentuan
Khusus debitur/calon debitur dari Pensiunan Taspen dan Asabri, setiap debitur yang direalisasikan oleh Unit Kerja wajib dilakukan pemasangan Flagging Taspen dan Asabri.

3. Suku Bunga Kredit
a. Segmen Take Over, Jangka Waktu s/d 5 Tahun, Suku Bunga Kredit 11.50%
b. Segmen Baru, Jangka Waktu >5 Tahun s/d 10 tahun, Suku Bunga Kredit 12.00%
c. Segmen Suplesi, Jangka Waktu >10 tahun s/d 15 tahun, Suku Bunga Kredit 12.50%

4. Biaya Provisi dan Administrasi Khusus
a. Biaya Provisi Takeover : Free*
b. Biaya Provisi Baru : 0.5% x plafond
c. Biaya Provisi Suplesi : 0.75% x plafond
d. Biaya administrasi Take over : Free*
e. Biaya Administrasi s/d 200 juta : Rp. 100.000
f. Biaya Administrasi >200 s/d 500 Juta : Rp. 200.000
g. Biaya Administrasi >500",2024-06-15 00:00:00,2024-06-30 00:00:00
