No,Case Types,active,User Grouping_New,Segment,Product,Sub Product,Case Category,Case Description,New Case Description,Required Sub-Description,Sub,Doc Intake,List Kebutuhan Dokumen,Suggestion,Suggestion - Breakdown,Level of Effort,"Range of Days 
(Actual SLA)","Actual SLA
(days)","Target SLA 
(days)",BRI Notes,Team Name,T1 - Agent CCT/Frontliner,T2.1 - Supporting Unit,T2.2 - Supporting Unit,T3.1 - Product Owner,T4.1 - Technical Team,Total SLA,New SLA,Status,GIC,Maker,Checker,Signer,Courtesy Awal,Kebutuhan Data,Detail BRICare,Unnamed: 58,external_id,Cleaned Team Name,Level 1 Escalation Team,Level 2 Escalation Team,Level 3 Escalation Team,Level 4 Escalation Team
13.0,8909,False,Resolution Center,Individu Umum,Loans,KTA - Digital,Request,Komplain Kredit/Pembiayaan Lainnya,Komplain Kredit/Pembiayaan Lainnya,,,,,,,,,,,,T1 - Agent CCT/Frontliner,1.0,,,,,1.0,,,,,,,,,,,8909,T1-CCT/Frontliner,,,,
14.0,8924,False,Resolution Center,Individu Umum,Loans,KTA - Digital,Request,Informasi Safe Deposit,Informasi Safe Deposit,,,,,,,,,,,,T1 - Agent CCT/Frontliner,1.0,,,,,1.0,,,,,,,,,,,8924,T1-CCT/Frontliner,,,,
15.0,8804,False,Resolution Center,Individu Umum,Loans,KTA - Digital,Request,"Nasabah BRI Syariah gagal pembelian/pembayaran, saldo berkurang","Nasabah BRI Syariah gagal pembelian/pembayaran, saldo berkurang",,,,,,,,,,,,T1 - Agent CCT/Frontliner,1.0,,,,,1.0,,,,,,,,,,,8804,T1-CCT/Frontliner,,,,
16.0,1732,False,Resolution Center,Individu Umum,Loans,KTA - Digital,Request,Permintaan Penukaran Poin Kartu infinite,Permintaan Penukaran Poin Kartu infinite,,,,,,,,,,,,T1 - Agent CCT/Frontliner,1.0,,,,,1.0,,,,,,,,,,,1732,T1-CCT/Frontliner,,,,
17.0,8920,False,Resolution Center,Individu Umum,Loans,KTA - Digital,Request,Trade Finance,Trade Finance,,,,,,,,,,,,T1 - Agent CCT/Frontliner,1.0,,,,,1.0,,,,,,,,,,,8920,T1-CCT/Frontliner,,,,
18.0,8807,False,Resolution Center,Individu Umum,Loans,KTA - Digital,Request,Informasi dan Permintaan Token PLN Prabayar,Informasi dan Permintaan Token PLN Prabayar,,,,,,,,,,,,T1 - Agent CCT/Frontliner,1.0,,,,,1.0,,,,,,,,,,,8807,T1-CCT/Frontliner,,,,
19.0,8448,False,Resolution Center,Individu Umum,Loans,KTA - Digital,Request,Tidak ada deskripsi,Tidak ada deskripsi,,,,,,,,,,,,T1 - Agent CCT/Frontliner,1.0,,,,,1.0,,,,,,,,,,,8448,T1-CCT/Frontliner,,,,
20.0,8609,False,Resolution Center,Individu Umum,Loans,KTA - Digital,Request,Komplain T-bank & Transaksi Gagal dengan T-bank tapi Saldo Berkurang,Komplain T-bank & Transaksi Gagal dengan T-bank tapi Saldo Berkurang,,,,,,,,,,,,T1 - Agent CCT/Frontliner,1.0,,,,,1.0,,,,,,,,,,,8609,T1-CCT/Frontliner,,,,
21.0,8440,False,Resolution Center,Individu Umum,Loans,KTA - Digital,Request,Tidak ada deskripsi,Tidak ada deskripsi,,,,,,,,,,,,T1 - Agent CCT/Frontliner,1.0,,,,,1.0,,,,,,,,,,,8440,T1-CCT/Frontliner,,,,
22.0,1033,False,Resolution Center,Individu Umum,Loans,KTA - Digital,Request,CERIA - Blok E,CERIA - Blok E,,,,,,,,,,,,T1 - Agent CCT/Frontliner,1.0,,,,,1.0,,,,,,,,,,,1033,T1-CCT/Frontliner,,,,
23.0,3300,False,Resolution Center,Individu Umum,Loans,KTA - Digital,Request,Pelayanan Petugas Anti Attrition,Pelayanan Petugas Anti Attrition,,,,,,,,,,,,T1 - Agent CCT/Frontliner,1.0,,,,,1.0,,,,,,,,,,,3300,T1-CCT/Frontliner,,,,
24.0,8637,False,Resolution Center,Individu Umum,Loans,KTA - Digital,Request,Nasabah Bank Lain Gagal Transaksi QRIS Saldo Terdebet (Domestik),Nasabah Bank Lain Gagal Transaksi QRIS Saldo Terdebet (Domestik),,,,,,,,,,,,T1 - Agent CCT/Frontliner,1.0,,,,,1.0,,,,,,,,,,,8637,T1-CCT/Frontliner,,,,
25.0,1012,False,Resolution Center,Individu Umum,Loans,KTA - Digital,Request,CERIA - Transaksi CERIA Ditolak Karena Sistem Error,CERIA - Transaksi CERIA Ditolak Karena Sistem Error,,,,,,,,,,,,T1 - Agent CCT/Frontliner,1.0,,,,,1.0,,,,,,,,,,,1012,T1-CCT/Frontliner,,,,
26.0,8801,False,Resolution Center,Individu Umum,Loans,KTA - Digital,Request,"Nasabah BRI Syariah gagal transfer ke BRI, saldo berkurang","Nasabah BRI Syariah gagal transfer ke BRI, saldo berkurang",,,,,,,,,,,,T1 - Agent CCT/Frontliner,1.0,,,,,1.0,,,,,,,,,,,8801,T1-CCT/Frontliner,,,,
27.0,1022,False,Resolution Center,Individu Umum,Loans,KTA - Digital,Request,CERIA - Pengiriman Billing Statement,CERIA - Pengiriman Billing Statement,,,,,,,,,,,,T1 - Agent CCT/Frontliner,1.0,,,,,1.0,,,,,,,,,,,1022,T1-CCT/Frontliner,,,,
28.0,8218,False,Resolution Center,Individu Umum,Loans,KTA - Digital,Request,Buku Tabungan Salah Nama,Buku Tabungan Salah Nama,,,,,,,,,,,,T1 - Agent CCT/Frontliner,1.0,,,,,1.0,,,,,,,,,,,8218,T1-CCT/Frontliner,,,,
29.0,1031,False,Resolution Center,Individu Umum,Loans,KTA - Digital,Request,CERIA - Blok Q & P,CERIA - Blok Q & P,,,,,,,,,,,,T1 - Agent CCT/Frontliner,1.0,,,,,1.0,,,,,,,,,,,1031,T1-CCT/Frontliner,,,,
30.0,0,False,Resolution Center,Individu Umum,Loans,KTA - Digital,Request,Tidak ada deskripsi,Tidak ada deskripsi,,,,,,,,,,,,T1 - Agent CCT/Frontliner,1.0,,,,,1.0,,,,,,,,,,,0,T1-CCT/Frontliner,,,,
31.0,8003,False,Resolution Center,Individu Umum,Loans,KTA - Digital,Request,Bansos-Pembuatan rekening atas Rekening KPM yang gagal masuk terbentuk,Bansos-Pembuatan rekening atas Rekening KPM yang gagal masuk terbentuk,,,,,,,,,,,,T1 - Agent CCT/Frontliner,1.0,,,,,1.0,,,,,,,,,,,8003,T1-CCT/Frontliner,,,,
32.0,8702,False,Resolution Center,Individu Umum,Loans,KTA - Digital,Request,Permintan Pembukaan Blokir Kartu karena Forced PIN,Permintan Pembukaan Blokir Kartu karena Forced PIN,,,,,,,,,,,,T1 - Agent CCT/Frontliner,1.0,,,,,1.0,,,,,,,,,,,8702,T1-CCT/Frontliner,,,,
33.0,8634,False,Resolution Center,Individu Umum,Loans,KTA - Digital,Request,QRIS Dinamis - Refund Double Posting (Kendala Sistem),QRIS Dinamis - Refund Double Posting (Kendala Sistem),,,,,,,,,,,,T1 - Agent CCT/Frontliner,1.0,,,,,1.0,,,,,,,,,,,8634,T1-CCT/Frontliner,,,,
34.0,1034,False,Resolution Center,Individu Umum,Loans,KTA - Digital,Request,CERIA - Blok Z & W,CERIA - Blok Z & W,,,,,,,,,,,,T1 - Agent CCT/Frontliner,1.0,,,,,1.0,,,,,,,,,,,1034,T1-CCT/Frontliner,,,,
35.0,1001,False,Resolution Center,Individu Umum,Loans,KTA - Digital,Request,CERIA - Pembatalan Aplikasi,CERIA - Pembatalan Aplikasi,,,,,,,,,,,,T1 - Agent CCT/Frontliner,1.0,,,,,1.0,,,,,,,,,,,1001,T1-CCT/Frontliner,,,,
36.0,1021,False,Resolution Center,Individu Umum,Loans,KTA - Digital,Request,CERIA - Blok E,CERIA - Blok E,,,,,,,,,,,,T1 - Agent CCT/Frontliner,1.0,,,,,1.0,,,,,,,,,,,1021,T1-CCT/Frontliner,,,,
37.0,8422,False,Resolution Center,Individu Umum,Loans,KTA - Digital,Request,Tidak ada deskripsi,Tidak ada deskripsi,,,,,,,,,,,,T1 - Agent CCT/Frontliner,1.0,,,,,1.0,,,,,,,,,,,8422,T1-CCT/Frontliner,,,,
38.0,7800,False,Resolution Center,Individu Umum,Loans,KTA - Digital,Request,Komplain Transaksi Kartu Kredit Tertagih 2 kali,Komplain Transaksi Kartu Kredit Tertagih 2 kali,,,,,,,,,,,,T1 - Agent CCT/Frontliner,1.0,,,,,1.0,,,,,,,,,,,7800,T1-CCT/Frontliner,,,,
39.0,5204,False,Resolution Center,Individu Umum,Loans,KTA - Digital,Request,Permintan Kenaikan Limit Kartu Kredit (Khusus ANTI ATTR.),Permintan Kenaikan Limit Kartu Kredit (Khusus ANTI ATTR.),,,,,,,,,,,,T1 - Agent CCT/Frontliner,1.0,,,,,1.0,,,,,,,,,,,5204,T1-CCT/Frontliner,,,,
40.0,4205,False,Resolution Center,Individu Umum,Loans,KTA - Digital,Request,Permintaan Ubah Status SMS Notifikasi,Permintaan Ubah Status SMS Notifikasi,,,,,,,,,,,,T1 - Agent CCT/Frontliner,1.0,,,,,1.0,,,,,,,,,,,4205,T1-CCT/Frontliner,,,,
41.0,1004,False,Resolution Center,Individu Umum,Loans,KTA - Digital,Request,CERIA - Komplain Cicilan,CERIA - Komplain Cicilan,,,,,,,,,,,,T1 - Agent CCT/Frontliner,1.0,,,,,1.0,,,,,,,,,,,1004,T1-CCT/Frontliner,,,,
42.0,8608,False,Resolution Center,Individu Umum,Loans,KTA - Digital,Request,Mobile Cash (MOCASH) Transaksi Gagal dengan Mocash tapi Saldo Berkurang,Mobile Cash (MOCASH) Transaksi Gagal dengan Mocash tapi Saldo Berkurang,,,,,,,,,,,,T1 - Agent CCT/Frontliner,1.0,,,,,1.0,,,,,,,,,,,8608,T1-CCT/Frontliner,,,,
43.0,1030,False,Resolution Center,Individu Umum,Loans,KTA - Digital,Request,CERIA - Permintaan Ubah Data Namun Kartu Blok Collection,CERIA - Permintaan Ubah Data Namun Kartu Blok Collection,,,,,,,,,,,,T1 - Agent CCT/Frontliner,1.0,,,,,1.0,,,,,,,,,,,1030,T1-CCT/Frontliner,,,,
44.0,1019,False,Resolution Center,Individu Umum,Loans,KTA - Digital,Request,CERIA - Permintaan Salinan Billing Statement,CERIA - Permintaan Salinan Billing Statement,,,,,,,,,,,,T1 - Agent CCT/Frontliner,1.0,,,,,1.0,,,,,,,,,,,1019,T1-CCT/Frontliner,,,,
45.0,8921,False,Resolution Center,Individu Umum,Loans,KTA - Digital,Request,Derivatif,Derivatif,,,,,,,,,,,,T1 - Agent CCT/Frontliner,1.0,,,,,1.0,,,,,,,,,,,8921,T1-CCT/Frontliner,,,,
46.0,8101,False,Resolution Center,Individu Umum,Loans,KTA - Digital,Request,Pengaduan Kredit Pemilikan Rumah (KPR),Pengaduan Kredit Pemilikan Rumah (KPR),,,,,,,,,,,,T1 - Agent CCT/Frontliner,1.0,,,,,1.0,,,,,,,,,,,8101,T1-CCT/Frontliner,,,,
47.0,8216,False,Resolution Center,Individu Umum,Loans,KTA - Digital,Request,Pembayaran Tidak Sesuai Tagihan,Pembayaran Tidak Sesuai Tagihan,,,,,,,,,,,,T1 - Agent CCT/Frontliner,1.0,,,,,1.0,,,,,,,,,,,8216,T1-CCT/Frontliner,,,,
48.0,8934,False,Resolution Center,Individu Umum,Loans,KTA - Digital,Request,Publikasi/Tulisan Di Tempat Umum - tidak terkait Pembayaran,Publikasi/Tulisan Di Tempat Umum - tidak terkait Pembayaran,,,,,,,,,,,,T1 - Agent CCT/Frontliner,1.0,,,,,1.0,,,,,,,,,,,8934,T1-CCT/Frontliner,,,,
1.0,1000,True,Resolution Center,Individu Umum,Loans,KTA - Digital,Inquiry,"CERIA - Status Pengajuan, Aplikasi, Cara & Syarat",Nasabah Menanyakan Informasi Pengajuan Terkait CERIA,1.0,"1. Cara, Syarat & Ketentuan
2. Status",0,0,Move to Resolution Center,Move to CCT,Low,3 ~ 5,4.0,1.0,"Sub: Cara, Syarat & Ketentuan; Status; Pembatalan, Add new call type: komplain (T3.1- DDB(Helpdesk) (2 days), T3.2 - DDB (OPS) (2 days))",T1 - Agent CCT/Frontliner,1.0,,,,,1.0,0.0,Done,DCE,,,,1C,Credit & Digital Lending,"Information Cara pengajuan Ceria : 
Nasabah menanyakan Cara & Syarat pengajuan CERIA :                
Informasi di library : …………….                                
Sudah dijelaskan sesuai pertanyaan nasabah                                
nomor ponsel nasabah yang bisa dihubungi : 

Tanya status pengajuan Ceria : 
Nasabah menanyakan status pengajuan CERIA : 
Nomor Ponsel yang didaftarkan : 
Email yang didaftarkan : 
Nomor KTP : 
Nomor rekening BRI yang didaftarkan : 
Sudah infokan ...............         

Tanya PIN Ceria : 
Nasabah Menanyakan PIN CERIA
ID CERIA :
NO HP yg terdaftar : 
Alasan :  
Jika Butuh tindaklanjut membutuhkan screen Capture respon
                       ",,1000,T1-CCT/Frontliner,,,,
2.0,1002,True,Resolution Center,Individu Umum,Loans,KTA - Digital,Products / Promotion Inquiry,CERIA - Promo dan Program CERIA,Nasabah Menyakan Terkait Promo dan Program CERIA,0.0,,0,,Move to Resolution Center,Move to CCT,Very Low,0 ~ 2,1.0,4.0,,T1 - Agent CCT/Frontliner,1.0,,,,,1.0,0.0,Done,DCE,,,,1B,Credit & Digital Lending,xxx,,1002,T1-CCT/Frontliner,,,,
3.0,1003,True,Digital Banking,Individu Umum,Loans,KTA - Digital,Request,CERIA - Permintaan Pelunasan Awal Cicilan,Nasabah Mengajukan Pelunasan Awal Cicilan CERIA,0.0,,0,,Move to Resolution Center,,Low,3 ~ 5,4.0,4.0,Ada kasus kalau case tunggak sama case ga tunggak,"T3.1 - CDD(CLL CERIA), T3.2 - DDB(OPS CERIA)",1.0,,,2.0,,5.0,4.0,Done,DCE,,,,1B,Credit & Digital Lending,xxx,,1003,"T3.1-CDD(CLLCERIA),T3.2-DDB(OPSCERIA)",T3.1-CDD(CLLCERIA),T3.2-DDB(OPSCERIA),,
4.0,1005,True,"Card, Digital Lending & Assset",Individu Umum,Loans,KTA - Digital,Request,CERIA - Permintaan Blokir,Nasabah Mengajukan Pemblokiran CERIA,0.0,,0,,Move to Resolution Center,Move to CCT,Medium,6 ~ 10,8.0,2.0,Menunggu mendapatkan akses dari DDB,T3.1 - CDD(CLL CERIA),1.0,,,1.0,,2.0,1.0,Done,DCE,,,,1C,Credit & Digital Lending,"Nasabah mengajukan pemblokiran Sementara Akun Ceria
 Nomor ID :
 Alasan pemblokiran :
 
 Mohon bantuan tindak lanjut
 Terima kasih",,1005,T3.1-CDD(CLLCERIA),T3.1-CDD(CLLCERIA),,,
5.0,1006,True,Operational Risk,Individu Umum,Loans,KTA - Digital,Request,Nasabah Mengajukan Pengaktifan Akun Ceria Terblokir ,Nasabah Mengajukan Pengaktifan Akun Ceria Terblokir karena Fraud Detection System,0.0,,1,"1. Screen Shot home ceria
2. Surat Pernyataan (template oleh agent)
3. selfie ktp 2 sisi
4. ktp",No Change,,Medium,6 ~ 10,6.0,6.0,Done,T3.1 - ORD(FBI),1.0,,,8.0,,9.0,8.0,Done,DCE,,,,1B,Credit & Digital Lending,"Nasabah Request Buka/Release Blokir Akun Ceria FDS                                                
ID CERIA :                                                 
Limit CERIA yang diberikan :                                                 
Transaksi Terakhir:
Nomor yang menghubungi: Terdaftar/Tidak Terdaftar                                               
                                                
                                                
Keterangan tambahan   :                         (Copy keterangan block FDS)                        
                                                
( Lampirkan dokumen yang dibutuhkan )        ",,1006,T3.1-ORD(FBI),T3.1-ORD(FBI),,,
6.0,1009,True,Digital Banking,Individu Umum,Loans,KTA - Digital,Request,CERIA - Permintaan Buka Blokir R CERIA,Nasabah Mengajukan Pembukaan Blokir CERIA,0.0,,1,"1. Screen Shot home ceria
2. Surat Pernyataan (template oleh agent)
3. selfie ktp 2 sisi
4. ktp",Move to Resolution Center,,Medium,6 ~ 10,7.0,20.0,To be discussed with ORD,"T3.1 - DDB(Helpdesk), T3.2 - ORD(FBI), T3.3 - DDB(OPS CERIA)",1.0,,,2.0,,9.0,8.0,Partially Done,DCE,,,,1C,Credit & Digital Lending,"Nasabah Request Buka/Reales Blokir Akun Ceria
 ID CERIA :
 Limit CERIA yang diberikan :
 Alasan pembukaan blokir:
 Nomor yang menghubungi: Terdaftar/Tidak Terdaftar
 
 
 Keterangan tambahan :
 
 ( Lampirkan dokumen yang dibutuhkan )",,1009,"T3.1-DDB(Helpdesk),T3.2-ORD(FBI),T3.3-DDB(OPSCERIA)",T3.1-DDB(Helpdesk),T3.2-ORD(FBI),T3.3-DDB(OPSCERIA),
7.0,1010,True,Digital Banking,Individu Umum,Loans,KTA - Digital,Request,CERIA - Pembatalan Transaksi,Nasabah Mengajukan Pembatalan Transaksi CERIA,0.0,,1,"1. Screen Shot home ceria
2. Screen Shot transaksi gagal/pembatalan ceria
3. Screen Shot transaksi dibatalkan merchant 
",No Change,,Medium,6 ~ 10,6.0,8.0,,"T3.1 - DDB(Helpdesk), T3.2- DDB(OPS CERIA)",1.0,,,6.0,,9.0,8.0,Done,DCE,,,,1C,Credit & Digital Lending,"ID CERIA
 Tanggal transaksi
 Lokasi transaksi ( nama merchant )
 Nominal 
 Alasan pembatalan
 Keterangan tambahan",,1010,"T3.1-DDB(Helpdesk),T3.2-DDB(OPSCERIA)",T3.1-DDB(Helpdesk),T3.2-DDB(OPSCERIA),,
8.0,1011,True,Digital Banking,Individu Umum,Loans,KTA - Digital,Complaint - Transaction,CERIA - Gagal Transaksi CERIA,Nasabah Komplain Gagal Transaksi CERIA,0.0,,1,"1. Screen Shot transaksi gagal ceria 
",No Change,,Medium,6 ~ 10,6.0,19.0,,"T3.1 - DDB(Helpdesk), T3.2- DDB(OPS CERIA)",1.0,,,4.0,,7.0,6.0,Done,DCE,,,,1C,Credit & Digital Lending,"Nasabah menanyakan Aplikasi CERIA tidak bisa digunakan untuk bertransaksi 
 ID CERIA : 
 No Hp yang terdaftar : 
 Tanggal :
 Nominal :
 Merchant/lokasi :
 Respon Transaksi : 
 ",,1011,"T3.1-DDB(Helpdesk),T3.2-DDB(OPSCERIA)",T3.1-DDB(Helpdesk),T3.2-DDB(OPSCERIA),,
9.0,1013,True,"Card, Digital Lending & Assset",Individu Umum,Loans,KTA - Digital,Request,CERIA - Refund,Nasabah Mengajukan Pengembalian Dana (Refund) atas Pembayaran CERIA,0.0,,1,"1. Screen Shot home ceria
2. Screen Shot bukti pembayaran ceria ",No Change,,Medium,6 ~ 10,6.0,20.0,Team Name CDD perlu dikonfirmasi ulang,"T3.1 - DDB(Helpdesk), T3.2- DDB(OPS CERIA), T3.3 - CDD(OPE ITEM)",1.0,,,3.0,,9.0,8.0,Done,DCE,,,,1C,Credit & Digital Lending,"Nasabah mengajukan pengembalian Saldo Kredit
 ID Ceria:
 NO HP yang terdaftar : 
 Alasan :
 Nominal Limit saat ini : 
 Nominal limit yang diberikan :
 Selisih atau saldo Kredit : 
 Nomor Rekening tujuan : nomor rekening ...
 Atas nama : 
 
 (Dokumen Screen capture atas saldo kredit)
 Tolong bantuannya untuk tindak lanjut.",,1013,"T3.1-DDB(Helpdesk),T3.2-DDB(OPSCERIA),T3.3-CDD(OPEITEM)",T3.1-DDB(Helpdesk),T3.2-DDB(OPSCERIA),T3.3-CDD(OPEITEM),
10.0,1014,True,Digital Banking,Individu Umum,Loans,KTA - Digital,Complaint - Transaction,CERIA - Pinjaman Tunai (pencairan tidak berhasil masuk ke tabungan),Nasabah Komplain Pencairan Pinjaman Tunai CERIA Tidak Berhasil Masuk ke Rekening,0.0,,1,"1. Screen Shot gagal pinjaman tunai ceria 
2. Screen Shot pengurangan limit ceria",No Change,,Medium,6 ~ 10,7.0,20.0,Informasi pencairan dapat menggunakan Call Type 1000,"T3.1 - DDB(Helpdesk), T3.2 - DDB(OPS CERIA)",1.0,,,4.0,,8.0,7.0,Done,DCE,,,,1C,Credit & Digital Lending,"Laporan Komplain pengajuan Pinjaman tunai yang belum masuk ke rekening
 Nasabah melaporkan belum menerima dana tunai pada rekening:
 Nomor rekening tujuan:
 No Hp yang terdaftar pada CERIA :
 Nama pemilik rek tujuan :
 Mohon bantuannya. Terima kasih
 (membutuhkan dokumen screen capture pinjaman dana tunai dari aplikasi CERIA)
 ",,1014,"T3.1-DDB(Helpdesk),T3.2-DDB(OPSCERIA)",T3.1-DDB(Helpdesk),T3.2-DDB(OPSCERIA),,
11.0,1015,True,Digital Banking,Individu Umum,Loans,KTA - Digital,Complaint - Transaction,CERIA - Pembayaran Tagihan belum masuk,Nasabah Komplain Pembayaran Tagihan CERIA Melalui BRIVA Tidak Berhasil ,0.0,,1,"1. Screen Shot bukti pembayaran briva
2. Screen Shot tagihan ceria 
3. selfie ktp 2 sisi
4. ktp",No Change,,Medium,6 ~ 10,6.0,20.0,,"T3.1 - DDB(Helpdesk), T3.2 - DDB(OPS CERIA)",1.0,,,4.0,,7.0,6.0,Done,DCE,,,,1C,Credit & Digital Lending,"Nasabah melakukan pembayaran tagihan Akun CERIA
 Tagihan bulan : … ( b/s cycle )
 Tanggal : …
 Nominal : Rp. …
 Kode BRIVA :
 Melalui : ( sms banking, terminal ATM, phone banking, teller )
 Dokumen yang dibutuhkan : bukti transaksi & Screen Capture aplikasi
 ID CERIA :
 NO Hp yang didaftarkan :
 
 Tolong bantuannya untuk tindak lanjut. 
 Terima kasih.",,1015,"T3.1-DDB(Helpdesk),T3.2-DDB(OPSCERIA)",T3.1-DDB(Helpdesk),T3.2-DDB(OPSCERIA),,
12.0,1016,True,Digital Banking,Individu Umum,Loans,KTA - Digital,Complaint - Transaction,CERIA - Komplain Autodebet,Nasabah Komplain Gagal Autodebet Pembayaran Tagihan CERIA,0.0,,1,"1. Screenshot Bukti Pembayaran Tagihan
2. Screen shot halaman tagihan Ceria
",No Change,,Medium,6 ~ 10,5.0,6.0,"SLA discuss with CDD, menunggu development tools di DDB","T3.1 - DDB(Helpdesk), T3.2 - DDB(OPS CERIA)",1.0,,,3.0,,6.0,5.0,Done,DCE,,,,1C,Credit & Digital Lending,"Nasabah mengajukan complain autodebet ( tidak didebet/ terdebet …. Kali )
 ID CERIA : 
 NO HP yang terdaftar : 
 Nomer Rekening :
 Atas Nama :
 Nominal yang di debet : 
 Saldo rekening saat ini : (Cek Via Agent Leader)
 Nominal saldo yang sudah dihold : (Cek Via Agent Leader)
 
 Catat informasi dari nasabah (saldo tersedia/tidak)
 Mohon ditindaklanjuti terima kasih
 
 Note : 
 Pastikan saldo rekening tersedia dan mencukupi (termasuk saldo minimum rekening Rp50.000,-)",Ada tambahan dokumen,1016,"T3.1-DDB(Helpdesk),T3.2-DDB(OPSCERIA)",T3.1-DDB(Helpdesk),T3.2-DDB(OPSCERIA),,
13.0,1017,True,"Card, Digital Lending & Assset",Individu Umum,Loans,KTA - Digital,Request,CERIA - Penutupan & Pembatalan Akun CERIA,Nasabah Mengajukan Penutupan & Pembatalan Akun CERIA,0.0,,1,"1. Screen Shot home ceria
2. ktp",No Change,,Medium,6 ~ 10,7.0,11.0,Move GIC,"T3.1 - DDB(Helpdesk), T3.2 - CDD(CLF-1 DATAM)",1.0,,,4.0,,8.0,7.0,Done,DCE,,,,1C,Credit & Digital Lending,"Alasan pembatalan/penutupan aplikasi :
apakah sudah mendapatkan limit:
apakah masih ada tagihan atau cicilan yang sedang berjalan:",,1017,"T3.1-DDB(Helpdesk),T3.2-CDD(CLF-1DATAM)",T3.1-DDB(Helpdesk),T3.2-CDD(CLF-1DATAM),,
