No,Case Types,Active,User Grouping_New,Segment,Product,Sub Product,Case Category,Old Case Description,New Case Description,Required Sub-Description,Sub,Doc Intake,List Kebutuhan Dokumen,Agent SCC,Eskalasi Team 1 Full,Eskalasi Team 2 Full,Eskalasi Team 3 Full,Eskalasi Team 4 Full,Agent CCT/Frontliner,OLA Eskalasi team 1,OLA Eskalasi team 2,OLA Eskalasi team 3,OLA Eskalasi team 4,Total SLA,New SLA,Detail BRICare,external_id,Unnamed: 28
25,1202,TRUE,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Request,Permintaan Kartu Tambahan,Nasabah Mengajukan Kartu Kredit Tambahan,1.0,"1. Add-on Basic
2. Add-on Supplement",1.0,1. KTP Orang Tambahan,Agent CCT/Frontliner,CDD - Clf-1 Credit Card Init - SSU,CDD - Clf-1 Credit Card Init - Verif,CDD - Clf-1 Credit Card Init - Analyst,,1.0,1.0,2.0,2.0,,6,5,"Nasabah mengajukan permintaan kartu pendamping
 Jenis Kartu : ……
 
 Mohon untuk ditindaklanjuti. Terima kasih
 Cantumkan Month Profile
 
 Nasabah mengajukan permintaan kartu tambahan
 Nama calon pemegang kartu tambahan : ……
 Status Hubungan dengan calon pemegang kartu tambahan : misal suami/ istri/ anak
 
 CSR sudah menyarankan mengirimkan dokumen berupa KTP calon pemegang kartu tambahan.
 Mohon untuk ditindaklanjuti. Terima kasih",1202,
26,1203,TRUE,Resolution Center,Individu Umum,Loans,Kartu Kredit,Request,Aktivasi Kartu Kredit Melalui Call Center,Nasabah Mengajukan Aktivasi Kartu Kredit,1.0,"1. Nomor Terdaftar
2. Nomor tidak Terdaftar",0.0,,Agent CCT/Frontliner,,,,,1.0,,,,,1,0,"Aktivasi kartu kredit < 6 bulan
 No kartu kredit Utama /tambahan:
 Nama pemegang kartu:
 EXP Kartu :
 Jam aktifasi :
 Data Verifikasi : sesuai / tidak sesuai
 salin status kartu kredit screen (PCHI) dan status cetak PIN di screen PCIH",1203,
27,1204,TRUE,Resolution Center,Individu Umum,Loans,Kartu Kredit,Request,Aktivasi Kartu Kredit Melalui Petugas Proaktivasi,Nasabah Mengajukan Aktivasi Kartu Kredit Melalui Petugas Proaktivasi,0.0,,0.0,,Agent CCT/Frontliner,SCC - Contact Center  - Telesales,,,,1.0,,,,,1,0,"Nasabah mengajukan aktivasi kartu kredit tetapi nomor telepon tidak sesuai dengan cardlink
 Nomor yang digunakan untuk menghubungi :
 salin status kartu kredit screen (PCHI)",1204,
28,1210,TRUE,Resolution Center,Individu Umum,Servicing,Mobile Banking,Platform & Device Support,Outbound Call Onboarding BRImo,Nasabah gagal daftar BRIMO dan dihubungi oleh Agent untuk dipandu registrasi,0.0,,0.0,,Agent CCT/Frontliner,SCC - Contact Center  - Telesales,,,,1.0,,,,,1,0,xxx,1210,
29,1211,TRUE,Resolution Center,Individu Umum,Loans,Kartu Kredit,Request,Program Internal Telesales (agent inbound to outbond),Nasabah Mengajukan Cicilan Kartu Kredit Melalui Telesales,1.0,"1. Transaksi >7 Hari
2. Pengajuan Loan on Phone",0.0,,Agent CCT/Frontliner,SCC - Contact Center  - Telesales,,,,1.0,1.0,,,,2,1,"Nasabah ingin mengikuti program .....
 Nomor telp yang bisa dihubungi : ....
 
 Mohon bantuan tindak lanjut. Terima kasih.
 
 Copy Month Profile PCHI",1211,
30,1600,TRUE,Resolution Center,Individu Umum,Loans,Kartu Kredit,Products / Promotion Inquiry,Informasi promo dan program kartu kredit,"Nasabah Menanyakan Informasi Promo, Program, dan Asuransi Kartu Kredit",1.0,"1. Program
2. Promo
3. Asuransi",0.0,,Agent CCT/Frontliner,,,,,1.0,,,,,1,0,"Nasabah menanyakan/komplain promo/fitur kartu kredit …..:
 Informasi di library : …………….
 Sudah dijelaskan sesuai pertanyaan nasabah/pemegang kartu
 (mhn dilakukan tindaklanjuti, jika informasi yang ditanyakan nsb tidak ada di library)
 nomor ponsel nasabah yang bisa dihubungi :
 
 copas mths profile pchi",1600,
31,1700,TRUE,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Third Party Support,Pendaftaran asuransi kerja sama kartu kredit,Nasabah Mengajukan Pendaftaran Kepesertaan Asuransi Kerja Sama Kartu Kredit,0.0,,0.0,,Agent CCT/Frontliner,CDD - Strgy&Prod Credit Card&Dgtl Lend,,,,1.0,8.0,,,,9,8,"Nasabah mengajukan pendaftaran asuransi
 Nama asuransi :
 Nomor telepon yang bisa dihubungi :
 Copy month profile pchi",1700,
32,1701,TRUE,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Request,Pembatalan asuransi kerja sama kartu kredit,Nasabah Mengajukan Pembatalan Kepesertaan Asuransi Kerja Sama Kartu Kredit,0.0,,0.0,,Agent CCT/Frontliner,CDD - Strgy&Prod Credit Card&Dgtl Lend,,,,1.0,8.0,,,,9,8,"Nasabah mengajukan pembatalan asuransi….(nama asuransinya)
 Alasan :
 Solusi : Menyarankan menghubungi Perusahaan Asuransi
 Copy PCHI Month Profile",1701,
33,1703,TRUE,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Request,Permintaan Dana Segar (Loan on phone - kartu kredit),Telesales Melakukan Penawaran Pencairan Dana Tunai Kartu Kredit,1.0,"1. Nasabah Setuju
2. Nasabah Tidak Setuju",0.0,,Agent CCT/Frontliner,SCC - Contact Center  - Telesales,CDD - Business Operation Team - MSU,,,1.0,6.0,,,,7,6,"CH bersedia ikut program Loan On Phone melalui Telesales
 Nama Ch :
 Nomor Rekening :
 Dana ditransfer :
 Tenor :
 Bunga :
 Cicilan per bulan :
 Administrasi :
 Exp date :
 AVL INSTL :
 
 
 Copy month profile pchi",1703,
34,1707,TRUE,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Request,Permintaan Cicilan 6 bln (Bring 6 bln),Nasabah Mengajukan Cicilan atas Transaksi kartu Kredit,1.0,"1. Cicilan 3 bulan
2. Cicilan 6 bulan
3. Cicilan 12 bulan
4. Cicilan 18 bulan
5. Cicilan 24 bulan",0.0,,Agent CCT/Frontliner,CDD - Business Operation Team - MSU,,,,1.0,5.0,,,,6,5,"Nasabah mengajukan cicilan Belanja Ringan untuk transaksi
 Tanggal : (ddmmyy)
 Nama merchant/Lokasi :
 Nominal :
 Tenor : 3/6/12/18/24 Bulan
 Bunga :
 Cicilan per-bulan :
 Exp Date Kartu :
 Biaya admin :
 Kode Approval Transaksi :
 Status Transaksi : PCSD/PCTD/PCAI
 
 
 Syarat dan ketentuan yang berlaku disetujui oleh nasabah.
 
 Tolong bantuannya untuk tindak lanjut.
 Terima kasih.
 
 copy avail installment PCIC
 copy month profile PCHI",1707,
35,1708,TRUE,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Request,"Permintaan Pelunasan Awal Cicilan (Refund Merchant, Dobel Cicilan, Error Cicilan)",Nasabah Mengajukan Pembatalan Cicilan Terhadap Transaksi Kartu Kredit,1.0,"1. Refund Merchant
2. Dobel Cicilan
3. Error Cicilan",0.0,,Agent CCT/Frontliner,CDD - Business Operation Team - MSU,"CDD - Auth,Chrgbck & UserCo - OTO",,,1.0,3.0,2.0,,,6,5,"Nasabah mengajukan pelunasan awal cicilan Belanja Ringan untuk transaksi
 
 Nama Merchant :
 Tanggal Transaksi :
 Nominal Transaksi :
 Tenor :
 Bunga :
 Kode Approval Cicilan :
 Cicilan per-bulan :
 Alasan Preterminated :
 Nominal refund :
 Sisa Cicilan :
 Pinalti :
 Sisa bunga yang belum tertagih :
 Koreksi Biaya admin :
 Koreksi bunga yang sudah tertagih :
 
 
 Syarat dan ketentuan yang berlaku disetujui oleh nasabah.
 
 Tolong bantuannya untuk tindak lanjut.
 Terima kasih.
 copy month profile PCHI",1708,
36,1709,TRUE,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Request,Permintaan Pelunasan Awal Cicilan (Request Pemegang Kartu),Nasabah Mengajukan Pelunasan Awal Cicilan,0.0,,1.0,"1. Surat Pernyataan
2. KTP
3. Kartu Kredit",Agent CCT/Frontliner,CDD - Business Operation Team - MSU,"CDD - Auth,Chrgbck & UserCo - OTO",,,1.0,3.0,3.0,,,7,6,"Nasabah mengajukan pelunasan awal cicilan Belanja Ringan untuk transaksi
 
 Nama Merchant :
 Tanggal Transaksi :
 Nominal Transaksi :
 Tenor :
 Bunga :
 Kode Approval Cicilan :
 Cicilan per-bulan :
 Alasan Preterminated :
 Nominal refund :
 Sisa Cicilan :
 Pinalti :
 Sisa bunga yang belum tertagih :
 Koreksi Biaya admin :
 Koreksi bunga yang sudah tertagih :
 
 
 Syarat dan ketentuan yang berlaku disetujui oleh nasabah.
 
 Tolong bantuannya untuk tindak lanjut.
 Terima kasih.
 copy month profile PCHI",1709,
37,1711,TRUE,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Request,Permintaan Pelunasan Awal Cicilan Transaksi Ecommerce (Divisi RPT),Merchant Mengajukan Pembatalan Cicilan Terhadap Transaksi Kartu Kredit Nasabah BRI (FST),0.0,,0.0,,Agent CCT/Frontliner,CDD - Business Operation Team - MSU,"CDD - Auth,Chrgbck & UserCo - OTO",,,1.0,3.0,2.0,,,6,5,"Nasabah mengajukan pelunasan awal cicilan Belanja Ringan untuk transaksi
 
 Nama Merchant :
 Tanggal Transaksi :
 Nominal Transaksi :
 Tenor :
 Bunga :
 Kode Approval Cicilan :
 Cicilan per-bulan :
 Alasan Preterminated :
 Nominal refund :
 Sisa Cicilan :
 Pinalti :
 Sisa bunga yang belum tertagih :
 Koreksi Biaya admin :
 Koreksi bunga yang sudah tertagih :
 
 
 Syarat dan ketentuan yang berlaku disetujui oleh nasabah.
 
 Tolong bantuannya untuk tindak lanjut.
 Terima kasih.
 copy month profile PCHI",1711,
