No,Case Types,Active,User Grouping_New,Segment,Product,Sub Product,Case Category,Old Case Description,New Case Description,Required Sub-Description,Sub,Doc Intake,List Kebutuhan Dokumen,Agent SCC,Eskalasi Team 1 Full,Eskalasi Team 2 Full,Eskalasi Team 3 Full,Eskalasi Team 4 Full,Agent CCT/Frontliner,OLA Eskalasi team 1,OLA Eskalasi team 2,OLA Eskalasi team 3,OLA Eskalasi team 4,Total SLA,New SLA,New SLA.1,Unnamed: 27,Detail BRICare,external_id
11.0,1015,True,Digital Banking,Individu Umum,Loans,KTA - Digital,Complaint - Transaction,CERIA - Pembayaran Tagihan belum masuk,Nasabah Komplain Pembayaran Tagihan CERIA Melalui BRIVA Tidak Berhasil ,0.0,,1.0,"1. Screen Shot Bukti Pembayaran Briva
2. Screen Shot Tagihan Ceria 
3. Selfie KTP 2 Sisi
4. KTP",Agent CCT/Frontliner,DDB - Helpdesk,DDB - Operational - CERIA,,,1.0,4.0,2.0,,,7,6.0,6.0,match,"Nasabah melakukan pembayaran tagihan Akun CERIA
 Tagihan bulan : … ( b/s cycle )
 Tanggal : …
 Nominal : Rp. …
 Kode BRIVA :
 Melalui : ( sms banking, terminal ATM, phone banking, teller )
 Dokumen yang dibutuhkan : bukti transaksi & Screen Capture aplikasi
 ID CERIA :
 NO Hp yang didaftarkan :
 
 Tolong bantuannya untuk tindak lanjut. 
 Terima kasih.",1015
12.0,1016,True,Digital Banking,Individu Umum,Loans,KTA - Digital,Complaint - Transaction,CERIA - Komplain Autodebet,Nasabah Komplain Gagal Autodebet Pembayaran Tagihan CERIA,0.0,,1.0,"1. Screenshot Bukti Pembayaran Tagihan
2. Screen Shot Halaman Tagihan Ceria
",Agent CCT/Frontliner,DDB - Helpdesk,DDB - Operational - CERIA,,,1.0,3.0,2.0,,,6,5.0,5.0,match,"Nasabah mengajukan complain autodebet ( tidak didebet/ terdebet …. Kali )
 ID CERIA : 
 NO HP yang terdaftar : 
 Nomer Rekening :
 Atas Nama :
 Nominal yang di debet : 
 Saldo rekening saat ini : (Cek Via Agent Leader)
 Nominal saldo yang sudah dihold : (Cek Via Agent Leader)
 
 Catat informasi dari nasabah (saldo tersedia/tidak)
 Mohon ditindaklanjuti terima kasih
 
 Note : 
 Pastikan saldo rekening tersedia dan mencukupi (termasuk saldo minimum rekening Rp50.000,-)",1016
13.0,1017,True,"Card, Digital Lending & Assset",Individu Umum,Loans,KTA - Digital,Request,CERIA - Penutupan & Pembatalan Akun CERIA,Nasabah Mengajukan Penutupan & Pembatalan Akun CERIA,0.0,,1.0,"1. Screen Shot Home Ceria
2. KTP",Agent CCT/Frontliner,DDB - Helpdesk,CDD - Clf-1 Credit Card Init - DATAM,,,1.0,4.0,3.0,,,8,7.0,7.0,match,"Alasan pembatalan/penutupan aplikasi :
apakah sudah mendapatkan limit:
apakah masih ada tagihan atau cicilan yang sedang berjalan:",1017
14.0,1018,True,Digital Banking,Individu Umum,Loans,KTA - Digital,Complaint - Transaction,Nasabah Komplain Pembayaran Tagihan Ceria,Nasabah Komplain Gagal Autodebet Manual CERIA,0.0,,1.0,"1. Screen Shot Tagihan Ceria
2. Screen Shot Bukti Pembayaran",Agent CCT/Frontliner,DDB - Helpdesk,DDB - Operational - CERIA,,,1.0,3.0,2.0,,,6,5.0,5.0,match,"Nasabah melakukan pembayaran tagihan Akun CERIA				Tagihan bulan      : … ( b/s cycle )					
Tanggal            : …						
Nominal            : Rp. …						
Dokumen yang dibutuhkan : bukti transaksi pembayaran & Screen Capture tagihan					
ID CERIA :						
NO Hp yang didaftarkan :
No rekening :						
						
Tolong bantuannya untuk tindak lanjut. 						
Terima kasih.				",1018
15.0,1020,True,"Card, Digital Lending & Assset",Individu Umum,Loans,KTA - Digital,Request,CERIA - Permintaan Perubahan Data Nasabah,Nasabah Mengajukan Perubahan Data Nomor Rekening CERIA,0.0,,1.0,"1. Buku Tabungan Tampak Depan
2. KTP
3. Surat Pernyataan",Agent CCT/Frontliner,DDB - Helpdesk,CDD - Clf-1 Credit Card Init - DATAM,,,1.0,3.0,5.0,,,9,8.0,8.0,match,"Nasabah mengajukan pergantian Nomor rekening auto debet CERIA
 Dari (rekening lama) :
 Menjadi (rekening baru) : 
 Alasan :
 Alamat email untuk kirim dokumen :
 Tolong bantuannya untuk tindak lanjut. 
 Dokumen yang dibutuhkan : 
 (Buku tabungan tampak depan, Foto KTP nasabah, Surat pernyataan)
 
 Mohon bantuannya. Terima kasih.",1020
16.0,1024,True,Digital Banking,Individu Umum,Loans,KTA - Digital,Request,CERIA - Billing Statement (komplain terkait issue billing statement),Nasabah Mengajukan Permintaan Billing Statement CERIA,0.0,,0.0,,Agent CCT/Frontliner,DDB - Helpdesk,DDB - Operational - CERIA,,,1.0,2.0,2.0,,,5,4.0,4.0,match,"Nasabah menanyakan:
 Billing statement / Informasi Tagihan :
 Status Pembayaran:
 Sisa limit: 
 Fee: 
 Bunga: 
 Late charge / akurasi jumlah tagihan :
 (Sudah informasikan cara pengecekan Billing Statement melalui aplikasi CERIA)",1024
17.0,1025,True,Resolution Center,Individu Umum,Loans,KTA - Digital,Inquiry,CERIA - Kenaikan Limit,Nasabah Menanyakan Informasi Kenaikan Limit CERIA,0.0,,0.0,,Agent CCT/Frontliner,,,,,1.0,,,,,1,0.0,0.0,match,xxx,1025
18.0,1027,True,"Card, Digital Lending & Assset",Individu Umum,Loans,KTA - Digital,Request,CERIA - Permintaan Surat Lunas Kolektibilitas,Nasabah Mengajukan Surat Keterangan Lunas Kolektibilitas produk CERIA,0.0,,1.0,"1. Surat Pernyataan
2. Screen Shot Tagihan Ceria ",Agent CCT/Frontliner,CDD - Coll Card & Digital Lending-CERIA,,,,1.0,8.0,,,,9,8.0,8.0,match,"Nasabah meminta surat Kolektabilitas lancar :
 ID CERIA :
 NO HP yang terdaftar :
 Alasan pengajuan :
 (dokumen surat pernyataan dan Screen Capture info tagihan dari aplikasi CERIA)
 Mohon Bantuan untuk tindaklanjut",1027
19.0,1028,True,Digital Banking,Individu Umum,Loans,KTA - Digital,Request,"CERIA - Permintaan Keringanan Bayar, Penjadwalan Ulang Tagihan",Nasabah Mengajukan Keringanan Bayar CERIA,1.0,"1. Reschedule
2. Pelunasan Dengan Discount",1.0,"1. Screen Shot Kolekbilitas Tidak Lancar
2. Screen Shot Tagihan Ceria
3. Surat Permohonan Keringanan Bayar
4. KTP Nasabah/Ahli Waris",Agent CCT/Frontliner,CDD - Coll Card & Digital Lending-CERIA,DDB - Operational - CERIA,,,1.0,7.0,3.0,,,11,10.0,10.0,match,"Nasabah mengajukan keringan pembayaran/Penjadwalan Ulang Tagihan (reschedule)
 ID CERIA :
 NO Hp yg didaftarkan:
 Alasan :
 Nasabah masih aktif bekerja/tidak :
 Keterangan alamat kantor/rumah/nomor telpon yang baru :
 
 Dokumen yang akan dikirimkan :
 Surat permohonan nasabah dan/ atau penanggung atau ahli waris,
 Fotocopy KTP Nasabah dan atau penanggung atau ahli waris,
 tagihan yang lain (jika dibutuhkan)
 screen capture yang menunjukkan kolektibilitas tidak lancar pada aplikasi CERIA",1028
20.0,1036,True,"Card, Digital Lending & Assset",Individu Umum,Loans,KTA - Digital,Request,"CERIA - Penghapusan bunga, denda keterlambatan dll","Nasabah Mengajukan Penghapusan Bunga, Denda Keterlambatan produk CERIA",0.0,,0.0,,Agent CCT/Frontliner,CDD - Coll Card & Digital Lending-CERIA,,,,1.0,8.0,,,,9,8.0,8.0,match,"Nasabah mengajukan Penghapusan: denda keterlambatan / bunga
 ID CERIA :
 NO HP yg terdaftar :
 Tagihan bulan : ( b/s cycle )
 Nominal : Rp . …
 Alasan pengajuan : ...
 Keterangan tambahan: ( jika tidak ada, field ini dikosongkan )
 Tolong bantuannya untuk tindak lanjut.
 Terima kasih.",1036
21.0,1038,True,"Card, Digital Lending & Assset",Individu Umum,Loans,KTA - Digital,Fraud / Suspicious Transactions,CERIA - Komplain Transaksi Tidak Diakui,Nasabah Melaporkan Sanggahan Transaksi CERIA,0.0,,1.0,"1. Selfie KTP 2 Sisi
2. KTP
3. Surat Sanggahan",Agent CCT/Frontliner,DDB - Helpdesk,ORD - Fraud Management & Recovery Desk,"CDD - Auth,Chrgbck & UserCo - CHARGEBACK",,1.0,3.0,2.0,2.0,,8,7.0,7.0,match,"Nasabah melaporkan tidak merasa melakukan transaksi pada akun CERIA 
Nominal transaksi :        
Nama Merchant :                                                         
Tanggal transaksi :                                                         
No Hp nasabah :                                                         
ID CERIA :                                                                 
Keterangan tambahan :                                                         
Copy mutasi transaksi dari CLOS                                                
(Sarankan kirim dokumen : Surat pernyataan, Foto KTP, Foto KTP & Selfie)        ",1038
22.0,1100,True,Resolution Center,Individu Umum,Loans,Kartu Kredit,Inquiry,"Status Pengajuan Aplikasi, Cara & Syarat [Sanggahan pengajuan kartu kredit]",Nasabah Menanyakan Pengajuan Terkait Produk Kartu Kredit,1.0,"1. Cara, Syarat & Ketentuan
2. Status
3. Pembatalan",0.0,,Agent CCT/Frontliner,,,,,1.0,,,,,1,0.0,0.0,match,"Nasabah menanyakan syarat dan ketentuan mengajukan kartu kredit BRI, sudah dijelaskan mengenai …
 (diisi sesuai dengan penjelasan yang diberikan)
 
 rilis
 Nasabah menanyakan status aplikasi kartu kredit.
 Sudah di infokan oleh CSR status kartu kredit yang dimaksud.
 Copy dari LOS.",1100
23.0,1101,True,Operational Risk,Individu Umum,Loans,Kartu Kredit,Fraud / Suspicious Transactions,Sanggahan Pengajuan Kartu Kredit,Nasabah Melaporkan Sanggahan Kepemilikan Kartu Kredit,0.0,,1.0,"1. Surat Pernyataan Nasabah
2. KTP
3. Selfie KTP 2 Sisi
4. Surat Keterangan Bekerja Aktif",Agent CCT/Frontliner,ORD - Fraud Management & Recovery Desk,,,,1.0,10.0,,,,11,10.0,10.0,match,"Nasabah melaporkan tidak merasa pengajuan/memiliki/menggunakan kartu kredit BRI
 Nasabah melaporkan tidak merasa pengajuan/memiliki/menggunakan kartu kredit BRI
 namun cek cardlink/LOS sudah ada pengajuan/memiliki/tagihan kartu kredit BRI
 Informasi data nasabah :
 Nama Lengkap :
 Tanggal Lahir :
 Nomor KTP :
 Alamat rumah :
 Nomo kartu kredit yang terdaftar :
 Nomor Hp yang aktif :
 Copy Cur Ball dan 24 month profile dari PCHI
 (sudah sarankan kirim dokumen : KTP, selfi dg ktp, surat pernyataan kronologis, surat keterangan bekerja masih aktif)",1101
24.0,1201,True,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Complaint - Non-Transaction,Komplain aplikasi Kartu Kredit Co Branding (pengajuan kartu kredit),Nasabah Komplain Pengajuan Aplikasi Kartu Kredit Co-Branding,0.0,,0.0,,Agent CCT/Frontliner,CDD - Business Partnership Team - PRN,,,,1.0,10.0,,,,11,10.0,10.0,match,"Sudah ada hasil status pengajuan kartu kredit Co Branding di LOS :
 
 Nasabah menanyakan status pengajuan aplikasi kartu kredit
 Pengajuan melalui apa:
 Pengajuan ditanggal berapa:
 Nomor KTP:
 Nomor Ponsel yang didaftarkan:
 Sudah infokan hasil pengajuan ( infokan sesuai LOS )
 ( Copy paste hasil pengecekan LOS )
 
 
 Complain kendala pada saat pengajuan Kartu Co Branding :
 Nasabah Complain tidak dapat pengajuan Co Branding :
 Jenis kartu Co Branding :
 Alasan :
 Respon yang muncul di aplikasi :
 Digital Sign : ( terima / tidak terima )
 Alamat email :
 No Hp yang terdaftar di aplikasi :
 Keterangan tambahan :",1201
25.0,1202,True,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Request,Permintaan Kartu Tambahan,Nasabah Mengajukan Kartu Kredit Tambahan,1.0,"1. Add-on Basic
2. Add-on Supplement",1.0,1. KTP Orang Tambahan,Agent CCT/Frontliner,CDD - Clf-1 Credit Card Init - SSU,CDD - Clf-1 Credit Card Init - Verif,CDD - Clf-1 Credit Card Init - Analyst,,1.0,1.0,2.0,2.0,,6,5.0,5.0,match,"Nasabah mengajukan permintaan kartu pendamping
 Jenis Kartu : ……
 
 Mohon untuk ditindaklanjuti. Terima kasih
 Cantumkan Month Profile
 
 Nasabah mengajukan permintaan kartu tambahan
 Nama calon pemegang kartu tambahan : ……
 Status Hubungan dengan calon pemegang kartu tambahan : misal suami/ istri/ anak
 
 CSR sudah menyarankan mengirimkan dokumen berupa KTP calon pemegang kartu tambahan.
 Mohon untuk ditindaklanjuti. Terima kasih",1202
26.0,1203,True,Resolution Center,Individu Umum,Loans,Kartu Kredit,Request,Aktivasi Kartu Kredit Melalui Call Center,Nasabah Mengajukan Aktivasi Kartu Kredit,1.0,"1. Nomor Terdaftar
2. Nomor tidak Terdaftar",0.0,,Agent CCT/Frontliner,,,,,1.0,,,,,1,0.0,0.0,match,"Aktivasi kartu kredit < 6 bulan
 No kartu kredit Utama /tambahan:
 Nama pemegang kartu:
 EXP Kartu :
 Jam aktifasi :
 Data Verifikasi : sesuai / tidak sesuai
 salin status kartu kredit screen (PCHI) dan status cetak PIN di screen PCIH",1203
27.0,1204,True,Resolution Center,Individu Umum,Loans,Kartu Kredit,Request,Aktivasi Kartu Kredit Melalui Petugas Proaktivasi,Nasabah Mengajukan Aktivasi Kartu Kredit Melalui Petugas Proaktivasi,0.0,,0.0,,Agent CCT/Frontliner,SCC - Contact Center  - Telesales,,,,1.0,,,,,1,0.0,0.0,match,"Nasabah mengajukan aktivasi kartu kredit tetapi nomor telepon tidak sesuai dengan cardlink
 Nomor yang digunakan untuk menghubungi :
 salin status kartu kredit screen (PCHI)",1204
28.0,1210,True,Resolution Center,Individu Umum,Servicing,Mobile Banking,Platform & Device Support,Outbound Call Onboarding BRImo,Nasabah gagal daftar BRIMO dan dihubungi oleh Agent untuk dipandu registrasi,0.0,,0.0,,Agent CCT/Frontliner,SCC - Contact Center  - Telesales,,,,1.0,,,,,1,0.0,0.0,match,xxx,1210
29.0,1211,True,Resolution Center,Individu Umum,Loans,Kartu Kredit,Request,Program Internal Telesales (agent inbound to outbond),Nasabah Mengajukan Cicilan Kartu Kredit Melalui Telesales,1.0,"1. Transaksi >7 Hari
2. Pengajuan Loan on Phone",0.0,,Agent CCT/Frontliner,SCC - Contact Center  - Telesales,,,,1.0,1.0,,,,2,1.0,1.0,match,"Nasabah ingin mengikuti program .....
 Nomor telp yang bisa dihubungi : ....
 
 Mohon bantuan tindak lanjut. Terima kasih.
 
 Copy Month Profile PCHI",1211
30.0,1600,True,Resolution Center,Individu Umum,Loans,Kartu Kredit,Products / Promotion Inquiry,Informasi promo dan program kartu kredit,"Nasabah Menanyakan Informasi Promo, Program, dan Asuransi Kartu Kredit",1.0,"1. Program
2. Promo
3. Asuransi",0.0,,Agent CCT/Frontliner,,,,,1.0,,,,,1,0.0,0.0,match,"Nasabah menanyakan/komplain promo/fitur kartu kredit …..:
 Informasi di library : …………….
 Sudah dijelaskan sesuai pertanyaan nasabah/pemegang kartu
 (mhn dilakukan tindaklanjuti, jika informasi yang ditanyakan nsb tidak ada di library)
 nomor ponsel nasabah yang bisa dihubungi :
 
 copas mths profile pchi",1600
31.0,1700,True,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Third Party Support,Pendaftaran asuransi kerja sama kartu kredit,Nasabah Mengajukan Pendaftaran Kepesertaan Asuransi Kerja Sama Kartu Kredit,0.0,,0.0,,Agent CCT/Frontliner,CDD - Strgy&Prod Credit Card&Dgtl Lend,,,,1.0,8.0,,,,9,8.0,8.0,match,"Nasabah mengajukan pendaftaran asuransi
 Nama asuransi :
 Nomor telepon yang bisa dihubungi :
 Copy month profile pchi",1700
32.0,1701,True,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Request,Pembatalan asuransi kerja sama kartu kredit,Nasabah Mengajukan Pembatalan Kepesertaan Asuransi Kerja Sama Kartu Kredit,0.0,,0.0,,Agent CCT/Frontliner,CDD - Strgy&Prod Credit Card&Dgtl Lend,,,,1.0,8.0,,,,9,8.0,8.0,match,"Nasabah mengajukan pembatalan asuransi….(nama asuransinya)
 Alasan :
 Solusi : Menyarankan menghubungi Perusahaan Asuransi
 Copy PCHI Month Profile",1701
33.0,1703,True,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Request,Permintaan Dana Segar (Loan on phone - kartu kredit),Telesales Melakukan Penawaran Pencairan Dana Tunai Kartu Kredit,1.0,"1. Nasabah Setuju
2. Nasabah Tidak Setuju",0.0,,Agent CCT/Frontliner,SCC - Contact Center  - Telesales,CDD - Business Operation Team - MSU,,,1.0,6.0,,,,7,6.0,6.0,match,"CH bersedia ikut program Loan On Phone melalui Telesales
 Nama Ch :
 Nomor Rekening :
 Dana ditransfer :
 Tenor :
 Bunga :
 Cicilan per bulan :
 Administrasi :
 Exp date :
 AVL INSTL :
 
 
 Copy month profile pchi",1703
34.0,1707,True,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Request,Permintaan Cicilan 6 bln (Bring 6 bln),Nasabah Mengajukan Cicilan atas Transaksi kartu Kredit,1.0,"1. Cicilan 3 bulan
2. Cicilan 6 bulan
3. Cicilan 12 bulan
4. Cicilan 18 bulan
5. Cicilan 24 bulan",0.0,,Agent CCT/Frontliner,CDD - Business Operation Team - MSU,,,,1.0,5.0,,,,6,5.0,5.0,match,"Nasabah mengajukan cicilan Belanja Ringan untuk transaksi
 Tanggal : (ddmmyy)
 Nama merchant/Lokasi :
 Nominal :
 Tenor : 3/6/12/18/24 Bulan
 Bunga :
 Cicilan per-bulan :
 Exp Date Kartu :
 Biaya admin :
 Kode Approval Transaksi :
 Status Transaksi : PCSD/PCTD/PCAI
 
 
 Syarat dan ketentuan yang berlaku disetujui oleh nasabah.
 
 Tolong bantuannya untuk tindak lanjut.
 Terima kasih.
 
 copy avail installment PCIC
 copy month profile PCHI",1707
35.0,1708,True,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Request,"Permintaan Pelunasan Awal Cicilan (Refund Merchant, Dobel Cicilan, Error Cicilan)",Nasabah Mengajukan Pembatalan Cicilan Terhadap Transaksi Kartu Kredit,1.0,"1. Refund Merchant
2. Dobel Cicilan
3. Error Cicilan",0.0,,Agent CCT/Frontliner,CDD - Business Operation Team - MSU,"CDD - Auth,Chrgbck & UserCo - OTO",,,1.0,3.0,2.0,,,6,5.0,5.0,match,"Nasabah mengajukan pelunasan awal cicilan Belanja Ringan untuk transaksi
 
 Nama Merchant :
 Tanggal Transaksi :
 Nominal Transaksi :
 Tenor :
 Bunga :
 Kode Approval Cicilan :
 Cicilan per-bulan :
 Alasan Preterminated :
 Nominal refund :
 Sisa Cicilan :
 Pinalti :
 Sisa bunga yang belum tertagih :
 Koreksi Biaya admin :
 Koreksi bunga yang sudah tertagih :
 
 
 Syarat dan ketentuan yang berlaku disetujui oleh nasabah.
 
 Tolong bantuannya untuk tindak lanjut.
 Terima kasih.
 copy month profile PCHI",1708
36.0,1709,True,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Request,Permintaan Pelunasan Awal Cicilan (Request Pemegang Kartu),Nasabah Mengajukan Pelunasan Awal Cicilan,0.0,,1.0,"1. Surat Pernyataan
2. KTP
3. Kartu Kredit",Agent CCT/Frontliner,CDD - Business Operation Team - MSU,"CDD - Auth,Chrgbck & UserCo - OTO",,,1.0,3.0,3.0,,,7,6.0,6.0,match,"Nasabah mengajukan pelunasan awal cicilan Belanja Ringan untuk transaksi
 
 Nama Merchant :
 Tanggal Transaksi :
 Nominal Transaksi :
 Tenor :
 Bunga :
 Kode Approval Cicilan :
 Cicilan per-bulan :
 Alasan Preterminated :
 Nominal refund :
 Sisa Cicilan :
 Pinalti :
 Sisa bunga yang belum tertagih :
 Koreksi Biaya admin :
 Koreksi bunga yang sudah tertagih :
 
 
 Syarat dan ketentuan yang berlaku disetujui oleh nasabah.
 
 Tolong bantuannya untuk tindak lanjut.
 Terima kasih.
 copy month profile PCHI",1709
